广工大院一楼带70方花园使用率高 西南北通风采光好,广工大院,黄花岗,3室2厅 ,72.23, 南 北 , 简装 ,7,1991, 塔楼,3,4,4990000.0,"69,085元/平",VR房源 房本满五年 随时看房 
水荫直街靓位置    可停车 满5年 保养好,水荫直街,水荫,3室1厅 ,61.5, 北 东北 , 其他 ,8,1992, 塔楼,0,4,4280000.0,"69,594元/平",VR看装修 房本满五年 
璟泰大厦 证满5年 唯一 高层舒适2房 户型方正 保养好,璟泰大厦,五羊新城,2室2厅 ,100.14, 北 , 精装 ,33,2003, 塔楼,0,7,7350000.0,"73,398元/平",近地铁 VR房源 房本满五年 
地铁站500米 南向三房 有天台花园。大院管理,广园东路,沙河,2室1厅 ,73.92, 东 , 精装 ,9,1999, 塔楼,0,8,2000000.0,"27,057元/平",VR看装修 房本满五年 
流花湖畔 原装电梯三房 楼龄新 入东风西教育,越兴苑,盘福,3室1厅 ,106.65, 东南 , 其他 ,15,1996, 塔楼,0,11,7580000.0,"71,074元/平",VR房源 房本满五年 
东山公馆03年原装电梯东南向三房全明屋安静不吵,东山公馆,东山口,3室1厅 ,105.44, 东 南 , 其他 ,29,2003, 塔楼,0,29,7300000.0,"69,234元/平",近地铁 VR看装修 房本满五年 随时看房 
"业主业主诚心放卖,*到即签,换房改善,看房方便",水均岗,东风东,4室2厅 ,144.0, 东 南 北 , 简装 ,9,1998, 塔楼,42, 一年前发布,8380000.0,"58,195元/平",近地铁 VR看装修 房本满五年 随时看房 
康丽居，电梯高层四房带主套，小区管理,康丽居,越秀南,4室1厅 ,118.67, 南 西 , 简装 ,31,2001, 塔楼,10, 一年前发布,8280000.0,"69,774元/平",VR看装修 房本满五年 随时看房 
东兴小区 电梯四房 满五唯一 安静宜居 空置随时可看,东兴小区,五羊新城,4室2厅 ,111.79, 西南 西北 , 简装 ,9,1992, 塔楼,13, 7个月以前发布,6330000.0,"56,625元/平",近地铁 VR看装修 房本满五年 随时看房 
东风东路754号大院，安静不吵，格局方正 业主诚意放*,东风东路754号大院,东风东,4室2厅 ,130.74, 南 北 , 精装 ,12,1988, 塔楼,99, 一年前发布,7680000.0,"58,743元/平",VR看装修 房本满五年 随时看房 
黄花电信小区东南向已装电梯四房二厅框架结构大院管理,华侨新村,淘金,4室2厅 ,105.29, 东南 西 , 简装 ,8,1996, 塔楼,31, 7个月以前发布,6950000.0,"66,009元/平",近地铁 VR看装修 房本满五年 随时看房 
麓湖大厦景观好三房一厅诚意放卖,麓湖大厦,麓景,3室2厅 ,128.94, 东 西北 , 简装 ,23,2001, 塔楼,3, 3个月以前发布,8980000.0,"69,645元/平",近地铁 VR房源 房本满五年 随时看房 
逸雅居  东向3房  户型方正  采光通风好,逸雅居,建设路,3室2厅 ,139.14, 东 , 精装 ,30,2000, 塔楼,3, 2个月以前发布,9900000.0,"71,152元/平",近地铁 VR房源 房本满五年 随时看房 
81号大院少有的5房户型，有电梯，看房方便。,先烈中路81号大院,黄花岗,5室2厅 ,152.78, 南 , 简装 ,9,2000, 塔楼,23, 10个月以前发布,9000000.0,"58,909元/平",近地铁 VR看装修 房本满五年 随时看房 
东风广场顶楼复式 光线足面积实用 活动空间大,东风广场,东风东,5室2厅 ,226.03, 东北 , 精装 ,33,2006, 塔楼,15, 8个月以前发布,18480000.0,"81,754元/平",近地铁 VR房源 房本满五年 随时看房 
小北地铁上原装电梯高层国龙大厦户型方正走读100米,国龙大厦,小北,4室2厅 ,127.83, 东 , 精装 ,30,2005, 塔楼,32, 10个月以前发布,6380000.0,"49,911元/平",近地铁 VR房源 房本满五年 随时看房 
顶复，装修好，看白云山景区，近小北,嘉洲翠庭,小北,4室2厅 ,197.75, 西北 , 精装 ,25,2001, 塔楼,0, 2个月以前发布,18000000.0,"91,025元/平",近地铁 VR房源 房本满五年 
"麓苑阁，四房两卫，原装电梯楼,实用率高",麓苑阁,淘金,4室1厅 ,87.29, 东南 , 精装 ,9,2007, 塔楼,93, 一年前发布,4630000.0,"53,042元/平",近地铁 VR看装修 房本满五年 随时看房 
恒福阁中高层，望麓湖白云山景观好，满五唯一户型好。,恒福阁,淘金,4室2厅 ,151.0, 西北 , 简装 ,38,1997, 塔楼,0, 3个月以前发布,8500000.0,"56,292元/平",VR房源 房本满五年 随时看房 
商品房满五年，精致装修，西南北向全明屋，户型方正,国龙大厦,小北,5室2厅 ,255.67, 北 , 其他 ,30,2005, 塔楼,5, 2个月以前发布,13800000.0,"53,976元/平",近地铁 VR房源 房本满两年 随时看房 
81号大院自住精装修4房快5年商品房无按无押空闲,先烈中路81号大院,黄花岗,4室1厅 ,102.17, 东南 , 其他 ,6,2000, 塔楼,3, 1个月以前发布,5000000.0,"48,939元/平",VR看装修 房本满两年 随时看房 
越秀区物业 复式三房 带28方花园  采光好 东南 向,广园西路,桂花岗,4室2厅 ,124.66, 东南 , 简装 ,9,2000, 塔楼,3, 5个月以前发布,3380000.0,"27,114元/平",VR房源 房本满两年 随时看房 
富力御龙庭，高层南向大户型，少有放卖。,富力御龙庭,淘金,4室2厅 ,138.46, 西南 , 精装 ,27,2004, 塔楼,3, 4个月以前发布,13000000.0,"93,890元/平",近地铁 VR房源 房本满五年 随时看房 
低层5房2厅 东北向通风采光好 楼龄新环境好,聚贤阁,越秀南,5室2厅 ,74.28, 东 东北 , 精装 ,8,2000, 塔楼,19, 3个月以前发布,4500000.0,"60,582元/平",近地铁 VR房源 房本满五年 随时看房 
省委大院梅花村电梯四房两厅带主卧全明南北通透,梅花村,东风东,4室1厅 ,118.65, 南 北 东 , 精装 ,9,1990, 塔楼,102, 11个月以前发布,9380000.0,"79,057元/平",近地铁 VR房源 房本满五年 随时看房 
敞亮，70年住宅，民水民电，拎包入住,嘉诚国际公寓,水荫,1室1厅 ,40.2, 东南 , 精装 ,29,2007, 塔楼,13, 3个月以前发布,2180000.0,"54,229元/平",VR看装修 房本满五年 
水均社区 低层 房屋采光好 框架结构,水均岗,东风东,1室1厅 ,46.15, 西南 北 , 精装 ,8,1990, 塔楼,127, 4个月以前发布,2960000.0,"64,139元/平",近地铁 VR房源 房本满五年 
仓前大厦少有正规一房一厅带阳台南向,仓前大厦,西门口,1室1厅 ,39.84, 南 , 简装 ,18,1996, 塔楼,1, 3个月以前发布,1950000.0,"48,946元/平",近地铁 VR看装修 随时看房 
独栋私房，大马路边上，有铺位，有装修，看房方便。,大新路,海珠广场,4室2厅 ,56.89, 北 , 精装 ,3,2020, 平房,101, 5个月以前发布,2480000.0,"43,593元/平",近地铁 房本满五年 随时看房 
惠福西路小区 小两房 证过五年唯一 免重税,惠福西路,解放南,2室1厅 ,37.97, 东南 , 其他 ,6,1988, 塔楼,3,11,1050000.0,"27,654元/平",近地铁 房本满五年 
嘉诚国际 70年使用年限 交通方便,嘉诚国际公寓,水荫,2室1厅 ,37.0, 东 , 简装 ,29,2007, 塔楼,1, 3个月以前发布,2130000.0,"57,568元/平",房本满五年 
东山雅筑高层三房带大阳台 少有放卖户型 南北对流,东山雅筑,东风东,3室2厅 ,108.61, 北 , 精装 ,33,2002, 塔楼,0,7,8330000.0,"76,684元/平",近地铁 房本满五年 
六榕大厦 5室1厅 北,六榕大厦,西门口,5室1厅 ,253.34, 北 , 其他 ,8,1995, 塔楼,0,3,5060000.0,"19,974元/平",近地铁 房本满两年 
农讲所商圈 原装电梯 户型方正 视野开阔 交通方便,骏文雅苑,农讲所,2室1厅 ,78.16, 东 , 精装 ,31,2015, 塔楼,0,8,6980000.0,"89,304元/平",近地铁 房本满五年 
低层三房南向 厅出阳台 安静舒适,东华南路,东湖,3室1厅 ,75.0, 南 , 精装 ,9,1999, 塔楼,1, 1个月以前发布,3650000.0,"48,667元/平",近地铁 房本满五年 随时看房 
光塔路 1室0厅 东 东南,光塔路,西门口,1室0厅 ,11.08, 东 东南 , 简装 ,8,1988, 塔楼,0, 1个月以前发布,380000.0,"34,297元/平",近地铁 房本满五年 
原装电梯三房带主套，厅出阳台，近地铁 生活便利,雅景阁,越秀南,3室2厅 ,109.66, 东北 , 精装 ,23,2000, 塔楼,5, 2个月以前发布,5220000.0,"47,602元/平",VR房源 房本满五年 
房满五年，高层 视野不错，采光充足，配套齐全,锦城花园,东风东,2室1厅 ,84.42, 北 , 简装 ,32,1999, 塔楼,11, 4个月以前发布,6450000.0,"76,381元/平",VR房源 房本满五年 
杨箕 八一 低层 正规两房 南北对流 满五年 税点低,寺右一横路,杨箕,2室1厅 ,54.34, 南 北 , 简装 ,8,1980, 塔楼,0,16,2650000.0,"48,768元/平",VR房源 房本满五年 随时看房 
铁一 电梯 三房一厅 框架 采光充足 户型方正,西元岗小区,杨箕,3室1厅 ,91.16, 东 西 , 简装 ,8,1993, 塔楼,0,15,7500000.0,"82,273元/平",近地铁 VR看装修 房本满五年 随时看房 
东方广场 2室1厅 北,东方广场,环市东,2室1厅 ,75.0, 北 , 精装 ,32,1998, 塔楼,0,12,6500000.0,"86,667元/平",近地铁 VR房源 房本满五年 随时看房 
培正过5年，精装修，实用三房，少有放盘。,东华东路,东山口,3室1厅 ,49.88, 东 西 , 其他 ,9,1995, 塔楼,0,10,3980000.0,"79,792元/平",近地铁 VR看装修 房本满五年 随时看房 
华侨乐园 3室2厅 东南,华侨乐园,淘金,3室2厅 ,114.41, 东南 , 其他 ,18,1995, 塔楼,0,14,7500000.0,"65,554元/平",VR看装修 房本满五年 
越秀上品轩 2室2厅 东,越秀上品轩,西门口,2室2厅 ,83.18, 东 , 精装 ,31,2010, 塔楼,1,16,6160000.0,"74,057元/平",近地铁 VR看装修 房本满两年 
清水濠，满五免重税，双阳台框架结构,清水濠小区,越秀南,3室2厅 ,119.34, 南 , 精装 ,9,1990, 塔楼,1,15,6780000.0,"56,813元/平",近地铁 VR看装修 房本满五年 
商品房满五年，高楼层，双阳台望江，单边位，精装修,文德广场,越秀南,3室1厅 ,88.76, 南 , 精装 ,29,2000, 塔楼,0,14,6600000.0,"74,358元/平",近地铁 VR房源 房本满五年 
海印花园，少有5房大户型，东南靓向,海印花园,东湖,5室2厅 ,161.6, 东南 , 其他 ,31,2000, 塔楼,0,13,12000000.0,"74,258元/平",近地铁 VR看装修 房本满五年 
科学院小区 花园 大三房 框架结构 满五年 安静双阳台,先烈中路81号大院,黄花岗,3室1厅 ,77.33, 南 , 简装 ,8,1994, 板楼,0,8,4650000.0,"60,132元/平",近地铁 VR看装修 房本满五年 随时看房 
环市东路466号大院 3室2厅 东南,环市东路466号大院,环市东,3室2厅 ,68.82, 东南 , 精装 ,7,1994, 塔楼,0,4,4580000.0,"66,551元/平",VR房源 房本满五年 
81号大院 方正大三房 南向 全明屋厅出阳台 平层电梯,先烈中路81号大院,黄花岗,3室1厅 ,80.28, 南 , 其他 ,7,2000, 塔楼,0,8,5500000.0,"68,511元/平",VR房源 房本满五年 
雅荷塘 满五唯一 电梯大三房 大院管理 厅出阳台,仓边路35号大院,公园前,3室2厅 ,136.16, 东 , 简装 ,19,1998, 塔楼,0,5,7800000.0,"57,286元/平",近地铁 VR房源 房本满五年 
嘉颐居   东南向  标准两房,嘉颐居,建设路,2室1厅 ,68.69, 东南 , 其他 ,8,2006, 塔楼,0,3,3900000.0,"56,777元/平",近地铁 VR房源 房本满五年 
省一级5号线小北站+麓湖天然氧吧+电梯房+高层视野开阔,金麓山庄,麓景,3室1厅 ,84.19, 西北 , 简装 ,9,2003, 塔楼,0,5,3300000.0,"39,198元/平",近地铁 VR房源 房本满五年 
瑶台花园 2室1厅 东,瑶台花园,三元里,2室1厅 ,68.48, 东 , 其他 ,9,1996, 塔楼,0,6,1620000.0,"23,657元/平",近地铁 VR房源 房本满五年 
正规东南向原装电梯两房一厅  产权清晰,洛桑美地,东川路,2室1厅 ,56.03, 东南 , 其他 ,18,2001, 塔楼,1, 6个月以前发布,3600000.0,"64,252元/平",近地铁 VR看装修 房本满两年 随时看房 
东山口培正，平层五房两厅三阳台，准电梯空置随时交房,新河浦一横路,东山口,5室2厅 ,173.13, 南 , 精装 ,6,1999, 板楼,2,19,18000000.0,"103,969元/平",VR房源 房本满五年 
东山上品南北对流大四房少有放盘 高楼层视野景观好,东海嘉园,五羊新城,4室2厅 ,164.61, 南 , 精装 ,27,2016, 塔楼,1, 1个月以前发布,20000000.0,"121,500元/平",近地铁 VR看装修 房本满两年 随时看房 
环市东商圈 宜安小区 精装修四房二厅,宜安小区,建设路,3室1厅 ,64.44, 西南 , 精装 ,8,1994, 塔楼,0,23,3960000.0,"61,453元/平",VR房源 房本满两年 随时看房 
建设五马路35号大院 规划局房改房原装电梯正规大三房,建设五马路35号大院,建设路,3室1厅 ,96.9, 南 北 , 简装 ,20,1998, 塔楼,0,22,8100000.0,"83,592元/平",近地铁 VR看装修 房本满五年 随时看房 
越秀区 瑶台花园 两房 简装 证过五年 近地铁,瑶台花园,三元里,2室1厅 ,67.86, 北 南 , 简装 ,9,1996, 塔楼,3,24,1450000.0,"21,368元/平",近地铁 VR房源 房本满五年 随时看房 
平层电梯楼 法院房改房 有车位 三面采光实用面积大,仓边路,农讲所,3室1厅 ,79.48, 南 北 , 其他 ,9,1990, 塔楼,1,29,4900000.0,"61,651元/平",近地铁 VR看装修 房本满五年 随时看房 
院子管理 安静舒适 5房方正实用 双阳台 套内119方,云鹤园,环市东,5室1厅 ,147.32, 东南 , 精装 ,32,2004, 塔楼,2, 6个月以前发布,11500000.0,"78,062元/平",近地铁 VR看装修 房本满五年 
大院管理  准电梯房 大户之家 一个房产证有两套房,下塘新村,麓景,7室2厅 ,225.96, 东 东南 西南 , 精装 ,9,1990, 板楼,21, 一年前发布,9800000.0,"43,371元/平",近地铁 VR房源 房本满五年 
兰亭璟濠 楼龄新 小区电梯三房 南北对流 附带*大露台,兰亭璟濠,人民路,3室1厅 ,132.69, 东 南 北 , 精装 ,32,2013, 塔楼,123, 一年前发布,9000000.0,"67,828元/平",VR房源 房本满两年 
文德先生，复式三房，交通便利，配套完善，,文德先生,越秀南,3室2厅 ,77.81, 东南 , 精装 ,38,2013, 板塔结合,321, 一年前发布,4380000.0,"56,291元/平",近地铁 房本满两年 
文德先生  全明房 四阳台  望江采光好,文德先生,越秀南,4室2厅 ,137.43, 东 南 西 , 简装 ,38,2013, 板塔结合,20, 4个月以前发布,12500000.0,"90,956元/平",近地铁 VR房源 房本满两年 
农讲所地铁 四房 四阳台 业主自住 精装修,仓边路,农讲所,4室2厅 ,152.0, 东南 , 精装 ,9,1990, 塔楼,155, 一年前发布,6800000.0,"44,737元/平",近地铁 VR看装修 房本满五年 
农讲所电梯四房 三代同堂 中层南北对流 户型方正,仓边路,农讲所,4室2厅 ,129.14, 东南 , 简装 ,9,1990, 塔楼,16, 7个月以前发布,6240000.0,"48,320元/平",近地铁 VR看装修 房本满五年 
天伦花园 精装南向4+1带主套 中高层 建六 看房随时约,天伦花园,建设路,5室1厅 ,143.76, 东 南 , 精装 ,22,2005, 塔楼,16, 7个月以前发布,14200000.0,"98,776元/平",近地铁 VR看装修 房本满五年 
省委党校原装电梯楼。楼龄新，通风采光好,省委党校大院,建设路,3室2厅 ,111.13, 东北 , 精装 ,21,2000, 塔楼,10, 3个月以前发布,8680000.0,"78,107元/平",近地铁 VR房源 房本满两年 
淘金北，大院管理，房屋南北对流，安静，环境干净,淘金北路,淘金,3室1厅 ,106.29, 南 , 简装 ,9,1995, 塔楼,18, 10个月以前发布,5880000.0,"55,321元/平",VR看装修 房本满五年 
黄华路，框架，平层电梯大四房，三面采光，双阳台,黄华路,建设路,4室2厅 ,110.05, 南 , 简装 ,9,1990, 塔楼,73, 一年前发布,6800000.0,"61,791元/平",近地铁 VR看装修 房本满五年 
传世之宅 大户人家 电梯高层 尽享四面开阔视野,兴城大厦,五羊新城,4室4厅 ,177.54, 南 北 , 精装 ,30,2004, 塔楼,86, 一年前发布,13490000.0,"75,983元/平",近地铁 VR房源 房本满两年 
农小 满五唯一精装3房 犀牛路 近地铁 南北朝向,犀牛路,环市东,3室2厅 ,113.85, 东南 , 精装 ,6,1989, 塔楼,54, 一年前发布,6530000.0,"57,357元/平",VR看装修 房本满五年 
恒福阁高层大面积单位，业主诚心放卖,恒福阁,淘金,3室2厅 ,145.6, 北 , 精装 ,36,1997, 塔楼,16, 一年前发布,7600000.0,"52,198元/平",VR房源 房本满五年 
新华楼 东风东 产权清晰 满五年商品房 电梯,新华楼,水荫,3室2厅 ,128.02, 南 , 简装 ,13,2000, 塔楼,2, 2个月以前发布,12600000.0,"98,423元/平",近地铁 VR看装修 房本满五年 
东越雅居电梯高层 方正实用楼龄新净 业主自住预约看楼,东越雅居,农讲所,5室1厅 ,144.47, 东南 , 其他 ,30,2010, 塔楼,1,27,10000000.0,"69,219元/平",近地铁 VR房源 房本满五年 
解放北路(越秀区) 2室1厅 南,解放北路(越秀区),解放北,2室1厅 ,62.0, 南 , 简装 ,9,1990, 塔楼,0,28,1400000.0,"22,581元/平",VR看装修 房本满五年 
小北地铁，全明两房，厅出阳台，停车方便，环境舒适,科技馆大院,麓景,2室2厅 ,50.42, 东北 , 简装 ,9,1993, 塔楼,1,21,1780000.0,"35,304元/平",近地铁 VR房源 房本满五年 
望花园  带平台  采光好  阳台无遮挡 该楼层少放盘,淘金家园二三期,淘金,4室2厅 ,150.73, 东北 , 精装 ,28,2006, 塔楼,0,16,15990000.0,"106,084元/平",VR房源 房本满五年 
高层东南向两房，景观黄花岗公园，视野开阔。,淘金家园二三期,淘金,2室1厅 ,95.04, 东南 , 精装 ,28,2005, 塔楼,0,28,10000000.0,"105,219元/平",VR房源 房本满五年 
水荫路电梯三房，户型方正，产权清晰，看房方便,水荫路,水荫,3室2厅 ,82.13, 东 , 其他 ,9,1993, 塔楼,0,26,4250000.0,"51,748元/平",VR看装修 房本满两年 
淘金地铁口 安静三房 自用天台花园 诚心放卖 华侨,华侨新村,淘金,3室1厅 ,85.0, 南 , 简装 ,10,2000, 塔楼,0,17,5650000.0,"66,471元/平",VR看装修 房本满五年 
正佳东方国际 1室1厅 南,正佳东方国际,淘金,1室1厅 ,69.0, 南 , 精装 ,55,2009, 塔楼,0,22,1400000.0,"20,290元/平",近地铁 房本满两年 随时看房 
雅景花园 大四房格局 住家装修,雅景花园,水荫,4室1厅 ,191.96, 东南 , 其他 ,30,1995, 塔楼,5, 5个月以前发布,12000000.0,"62,514元/平",近地铁 VR房源 房本满五年 
建设大马路 满五年不唯一  户型方正实用 一楼复式,省委党校大院,建设路,5室3厅 ,153.89, 南 北 , 其他 ,8,1988, 板楼,16, 6个月以前发布,10600000.0,"68,881元/平",近地铁 VR房源 房本满两年 
装修保养好 安静宜居，格局方正,东山雅筑,东风东,5室2厅 ,196.23, 东南 南 北 , 精装 ,33,2006, 塔楼,40, 一年前发布,15050000.0,"76,684元/平",近地铁 VR房源 房本满五年 
正规三房+南北对流+近地铁+近越秀公园,小北路,小北,3室1厅 ,82.59, 东南 , 简装 ,6,1988, 板楼,200, 一年前发布,4130000.0,"50,007元/平",近地铁 VR看装修 房本满五年 
北京路地铁大户型住家、、、、、,名门越秀,北京路,4室2厅 ,240.42, 东南 , 其他 ,29,2000, 塔楼,25, 一年前发布,15000000.0,"62,391元/平",近地铁 VR房源 房本满五年 
南方永福国际大厦高楼层电梯四房 视野开阔安静 满五年,南方永福国际大厦,黄花岗,4室2厅 ,124.47, 西南 , 其他 ,31,2000, 塔楼,2, 5个月以前发布,10000000.0,"80,341元/平",近地铁 VR看装修 房本满五年 
东方文德广场 交通便利正规。带主套，,东方文德广场,农讲所,4室2厅 ,141.36, 东南 , 精装 ,35,2015, 塔楼,143, 一年前发布,17000000.0,"120,261元/平",VR看装修 房本满五年 
麓景路地段大面积四房，北向望麓湖公园，景色优美,峻峰大厦,麓景,4室1厅 ,187.13, 北 , 简装 ,19,2009, 塔楼,3, 7个月以前发布,13550000.0,"72,410元/平",近地铁 VR房源 房本满五年 
大面积原装电梯楼 南向望江 视野开阔,侨力大厦,解放南,4室1厅 ,170.69, 南 , 简装 ,30,2003, 塔楼,13, 6个月以前发布,9600000.0,"56,243元/平",近地铁 VR房源 房本满五年 
小区管理。三面采光通风楼层好。,东风东路,东风东,5室2厅 ,172.06, 东 南 北 , 简装 ,8,1998, 塔楼,29, 一年前发布,6600000.0,"38,359元/平",近地铁 VR看装修 房本满两年 
东山雅筑育才板块低密度大面积4房3卫,东山雅筑,东风东,4室2厅 ,162.91, 南 北 , 精装 ,33,2000, 塔楼,26, 6个月以前发布,12500000.0,"76,684元/平",近地铁 VR房源 房本满五年 
铁一 羊和园 过五年唯一单位 东南朝向,羊和园,杨箕,4室2厅 ,178.5, 东南 , 其他 ,29,1997, 塔楼,5, 7个月以前发布,15200000.0,"85,155元/平",近地铁 VR看装修 房本满五年 
近雕塑公园 双地铁 通透格局 大院管理 视野宽阔,下塘西路,麓景,5室2厅 ,108.73, 南 , 其他 ,9,1995, 塔楼,0, 3个月以前发布,4050000.0,"37,249元/平",VR看装修 房本满两年 
下塘西路 单边位四房 采光通风好 户型方正 满五年唯一,下塘西路,麓景,4室3厅 ,116.0, 东 , 简装 ,9,1993, 塔楼,14, 一年前发布,4300000.0,"37,069元/平",近地铁 VR看装修 房本满五年 
越秀花园小区嘉和苑 高层望广州塔精装东向两房,嘉和苑,东风西,2室1厅 ,62.85, 东 东南 南 , 其他 ,19,2004, 塔楼,1,14,4000000.0,"63,644元/平",VR看装修 房本满五年 
电梯两房，东南朝向，有大院安静宜居，少放盘,淘金坑,淘金,2室2厅 ,64.0, 东南 , 精装 ,9,1998, 塔楼,0,4,5120000.0,"80,000元/平",近地铁 VR房源 房本满五年 
通风采光好，格局方正实用，配套设施齐全，交通便利,正佳东方国际,淘金,2室1厅 ,139.25, 东南 西南 , 简装 ,55,2009, 塔楼,5, 一年前发布,3550000.0,"25,494元/平",近地铁 房本满五年 
越秀花果山庄 五房二厅二卫 满五免重税 原装电梯，,花果山庄,桂花岗,5室2厅 ,167.41, 东南 , 精装 ,8,2000, 塔楼,33, 一年前发布,8430000.0,"50,356元/平",VR房源 房本满五年 
满五，北京路地铁交通方便， 文德路  少税,文明路,农讲所,2室1厅 ,36.42, 东南 , 精装 ,3,1990, 板楼,4, 一年前发布,2750000.0,"75,508元/平",VR看装修 房本满五年 
桂花岗 2室1厅 东南,桂花岗,桂花岗,2室1厅 ,51.7, 东南 , 简装 ,5,1996, 塔楼,8, 5个月以前发布,2400000.0,"46,422元/平",近地铁 VR看装修 房本满两年 随时看房 
东山新天地 楼龄新 保养好 出租好 户型方正 交通便利,富力东山新天地,杨箕,2室2厅 ,90.25, 南 , 精装 ,38,2017, 塔楼,7, 4个月以前发布,5500000.0,"60,942元/平",近地铁 房本满五年 随时看房 
房子出入配套成熟，离市场近，离公园近。环境好。,桂花岗,桂花岗,2室1厅 ,58.3, 南 西 , 简装 ,9,1996, 塔楼,3, 4个月以前发布,2150000.0,"36,879元/平",近地铁 VR看装修 房本满五年 随时看房 
富力宜居 3室2厅 东 南,富力宜居,东川路,3室2厅 ,116.53, 东 南 , 简装 ,21,2002, 塔楼,2,25,7600000.0,"65,220元/平",近地铁 VR看装修 房本满两年 随时看房 
农讲所 精装小两房 厅出阳台 雅荷塘 光线好,仓边路,农讲所,1室1厅 ,35.81, 东 , 精装 ,9,1991, 塔楼,1,29,1498000.0,"41,832元/平",近地铁 VR房源 房本满两年 随时看房 
黄花电信小区南向框架一房  加装电梯 大院管理,华侨新村,淘金,1室1厅 ,37.26, 南 , 精装 ,8,1992, 板楼,0,21,2700000.0,"72,464元/平",近地铁 VR看装修 房本满五年 随时看房 
满五不唯一 安静 南北向 实用率高 精装三房带后花园,恒福苑,淘金,3室1厅 ,61.16, 南 北 , 其他 ,6,1990, 板楼,0,22,3450000.0,"56,410元/平",VR看装修 房本满五年 随时看房 
原装电梯大三房，红火炬，看房方便，过五年免重税,置地大厦,东川路,3室2厅 ,113.51, 南 , 简装 ,32,2000, 塔楼,2,28,6850000.0,"60,348元/平",近地铁 VR看装修 房本满五年 随时看房 
桂花楼楼上标准两房 光线通风好,解放北路(越秀区),解放北,2室1厅 ,58.69, 东 , 简装 ,9,1990, 塔楼,0, 1个月以前发布,1280000.0,"21,810元/平",VR看装修 房本满五年 随时看房 
此房源满五唯一  诚意放卖  楼下环境好,德政中路,农讲所,2室1厅 ,39.0, 东 , 其他 ,9,1990, 塔楼,0,23,1700000.0,"43,590元/平",近地铁 VR看装修 房本满五年 随时看房 
业主急卖 全明屋 轻松三房设计 满5免重税,东郊市场,杨箕,2室1厅 ,67.27, 南 北 , 简装 ,9,1990, 塔楼,0,31,3300000.0,"49,057元/平",近地铁 VR看装修 房本满五年 随时看房 
万科金色家园 南北实用两房  安静,万科金色家园,东风东,2室1厅 ,94.5, 南 北 , 精装 ,33,2008, 塔楼,0,31,10800000.0,"114,286元/平",VR看装修 房本满两年 随时看房 
越秀区三元里地铁 瑶泉新苑低层南向 采光好 可公积金,瑶泉新苑,三元里,1室1厅 ,26.25, 南 , 简装 ,9,1996, 塔楼,0,21,750000.0,"28,572元/平",近地铁 VR看装修 房本满两年 随时看房 
黄花新村 2室1厅 南 北,黄花新村,淘金,2室1厅 ,78.78, 南 北 , 简装 ,7,1985, 塔楼,0,18,3880000.0,"49,252元/平",VR看装修 房本满五年 随时看房 
横枝岗 大院管理 框架结构 户型方正,横枝岗56号大院,麓景,2室1厅 ,71.1, 南 北 , 其他 ,5,1992, 塔楼,0,27,3100000.0,"43,601元/平",VR看装修 房本满五年 随时看房 
寺右二马路 安静实用三房 交通便利,寺右二马路,五羊新城,3室2厅 ,91.57, 西南 , 其他 ,9,1989, 塔楼,0,22,5000000.0,"54,604元/平",近地铁 VR看装修 房本满两年 
越秀区 （彩虹桥地铁）一线湖景,流花广场,东风西,3室1厅 ,84.52, 东北 东南 , 精装 ,17,1998, 塔楼,1,16,3300000.0,"39,045元/平",VR房源 房本满两年 随时看房 
保利时光里拥翠小区 高层电梯 框架三房 直达天台花园,拥翠小区,建设路,3室2厅 ,71.72, 东南 西 , 其他 ,9,1996, 板楼,5, 1个月以前发布,4900000.0,"68,322元/平",近地铁 VR看装修 房本满两年 
五羊新城 大三房 带主套 位置安静 近地铁,五羊商住中心,五羊新城,3室2厅 ,101.64, 东 , 其他 ,9,2000, 塔楼,0,25,5700000.0,"56,081元/平",近地铁 VR房源 房本满两年 
德政中路单位房改户型方正 三房南北通透 加电梯进行中,德政中路,农讲所,3室2厅 ,103.5, 东 南 北 , 简装 ,9,1990, 塔楼,0,29,4180000.0,"40,387元/平",VR看装修 房本满五年 
老东山 高实用率大三房带主卫 小区内安静舒适,寺右东小区,五羊新城,3室1厅 ,83.54, 南 北 , 其他 ,9,1991, 塔楼,0,22,5300000.0,"63,443元/平",近地铁 VR看装修 房本满两年 
东堤湾3+1房东南向望花园，产权满五封闭小区安静不吵,富力东堤湾,杨箕,3室2厅 ,119.96, 东南 , 简装 ,31,2004, 塔楼,3,26,13980000.0,"116,539元/平",近地铁 VR房源 房本满五年 
封闭式小区 省级登峰 停车方便 双地铁 近麓湖 安静,黄田小区,麓景,3室1厅 ,78.9, 西南 西北 , 精装 ,9,1988, 塔楼,0,24,3230000.0,"40,938元/平",近地铁 VR房源 房本满五年 
越秀区山顶小区 间隔方正 厅出阳台南向 通风采光好,北站路北站新街,机场路,2室1厅 ,53.29, 南 北 , 简装 ,7,2001, 板楼,0,25,1390000.0,"26,084元/平",VR房源 房本满两年 
东风广场五期，次新楼龄，小区管理，安静南向望花园,东风广场,东风东,2室2厅 ,93.73, 东南 , 精装 ,31,2015, 塔楼,0, 1个月以前发布,7670000.0,"81,754元/平",近地铁 VR看装修 房本满两年 
