低密度舒适小区 优质配套 业主很诚意,光大花园中海锦榕湾,工业大道北,3室2厅 ,109.59, 南 , 简装 ,33,2010, 塔楼,1,7,8600000.0,"78,475元/平",VR看装修 房本满五年 随时看房 
此房满五年非唯一 免重税 高楼层采光通风好,晓燕湾,江燕路,2室2厅 ,67.53, 东 , 简装 ,9,1999, 塔楼,14, 2个月以前发布,2130000.0,"31,542元/平",VR房源 房本满五年 
双地铁交会 金影花园  小户型两房，产权清晰满五唯一,金影花园,客村,2室1厅 ,38.0, 西 , 精装 ,8,1997, 塔楼,5, 2个月以前发布,1260000.0,"33,158元/平",近地铁 VR房源 房本满五年 
满五唯一 原装电梯 正规一房一厅,南珠广场,江燕路,1室1厅 ,45.43, 西南 , 简装 ,9,1998, 塔楼,9, 7个月以前发布,1870000.0,"41,163元/平",近地铁 VR看装修 房本满五年 
大院管理  环境优雅 采光好  诚意放卖  刚需一房,晓园新村晓园东,昌岗,1室1厅 ,27.95, 西 , 精装 ,6,2005, 塔楼,61, 6个月以前发布,700000.0,"25,045元/平",近地铁 VR看装修 房本满两年 
合生广场 实用单间 保养新净 可住家办公,合生广场,广州大道南,1室0厅 ,47.2, 北 , 精装 ,26,2012, 塔楼,0, 6个月以前发布,900000.0,"19,068元/平",房本满五年 
正南向 望花园 电梯楼 贼安静,金碧花园第一金碧,金碧,2室1厅 ,62.82, 南 , 精装 ,15,1998, 塔楼,63, 4个月以前发布,3080000.0,"49,029元/平",近地铁 VR房源 房本满五年 
装修保养好，过五不唯一，产权清晰， 格局好,南洲名苑,东晓南,2室1厅 ,53.56, 南 , 简装 ,9,1997, 塔楼,0, 1个月以前发布,2350000.0,"43,877元/平",近地铁 VR看装修 房本满五年 
准电梯两房  南向  地铁10米,翠怡小区,昌岗,2室1厅 ,66.23, 东南 , 其他 ,8,1994, 塔楼,0, 1个月以前发布,2200000.0,"33,218元/平",近地铁 VR房源 房本满两年 
金碧花园第三期 电梯高层两房 东南向看花园 证过五年,金碧花园第三金碧,金碧,2室1厅 ,66.79, 东南 , 精装 ,32,2005, 塔楼,28, 2个月以前发布,3550000.0,"53,152元/平",近地铁 VR看装修 房本满五年 
广州塔板块小面积带大阳台，诚意有优势,珠江新岸公寓,滨江东,1室0厅 ,44.09, 西 , 简装 ,32,2009, 塔楼,22, 11个月以前发布,1830000.0,"41,507元/平",近地铁 VR看装修 房本满五年 
马赛克 满五唯一 东南向大阳台 精装修 电梯出方案中,保利红棉花园,江燕路,2室1厅 ,49.31, 东南 , 精装 ,9,1997, 塔楼,99, 11个月以前发布,1700000.0,"34,476元/平",近地铁 VR房源 房本满五年 
满五唯一 望花园 近地铁 小区管理 有电梯位 诚心卖,雅致花园,江燕路,2室1厅 ,62.0, 西南 , 简装 ,9,1998, 塔楼,1, 1个月以前发布,2050000.0,"33,065元/平",近地铁 VR看装修 房本满五年 
加装电梯房 户型方正实用 装修保养很漂亮 带平台花园,侨诚花园宝通街,东晓南,2室1厅 ,49.02, 东 , 精装 ,9,1997, 塔楼,70, 一年前发布,1980000.0,"40,392元/平",VR看装修 房本满两年 
赤岗路89号烟厂宿舍  电梯东南向两房 户型方正实用,赤岗路89号大院,赤岗,2室1厅 ,71.28, 南 , 精装 ,9,1996, 塔楼,16, 4个月以前发布,2800000.0,"39,282元/平",近地铁 VR看装修 房本满五年 
翠馨华庭 复式单位 安静看游泳池,翠馨华庭,广州大道南,2室1厅 ,29.9, 西南 , 简装 ,24,2003, 塔楼,0, 1个月以前发布,1180000.0,"39,465元/平",VR看装修 房本满五年 
电梯两房 园区管理 环境安静 视野开阔,海逸花园,江南大道中,2室1厅 ,76.99, 南 , 精装 ,31,2002, 塔楼,14, 8个月以前发布,3050000.0,"39,616元/平",近地铁 VR房源 房本满五年 
晓港湾漾日云天 电梯搞层  通风采光好,晓港湾,东晓南,2室2厅 ,67.75, 南 北 东北 , 简装 ,31,2004, 塔楼,93, 5个月以前发布,3160000.0,"46,643元/平",近地铁 VR房源 房本满五年 
怡雅居 满五唯一 高层视野通风好,怡雅居,赤岗,2室1厅 ,50.55, 南 , 简装 ,9,1998, 塔楼,33, 5个月以前发布,1350000.0,"26,707元/平",VR看装修 房本满五年 
此房格局通透 安静舒适 视野开阔 配套设施好 交通便利,尚领时代,东晓南,1室1厅 ,57.65, 南 , 精装 ,18,2006, 塔楼,38, 4个月以前发布,2370000.0,"41,111元/平",VR房源 房本满两年 
保利红棉花园  加装电梯已公示,保利红棉花园,江燕路,2室1厅 ,50.5, 南 , 简装 ,9,1997, 塔楼,4, 7个月以前发布,1750000.0,"34,654元/平",近地铁 VR看装修 房本满五年 
江南美景花园二期 原户型三房 户型方正 生活配套完善,江南美景花园,新港西,3室1厅 ,81.85, 北 , 简装 ,19,2015, 塔楼,3, 3个月以前发布,4450000.0,"54,368元/平",近地铁 VR房源 房本满两年 
广纸小区 2室2厅 南,广纸小区,工业大道中,2室2厅 ,61.6, 南 , 简装 ,8,1994, 塔楼,6, 1个月以前发布,1600000.0,"25,975元/平",近地铁 VR看装修 房本满五年 
金玫瑰苑 封闭式管理小区 东南向 证满五年 格局方正,嘉鸿花园金玫瑰苑,东晓南,2室2厅 ,69.7, 南 东 , 简装 ,27,1999, 塔楼,1, 1个月以前发布,3220000.0,"46,198元/平",近地铁 VR看装修 房本满五年 
此房采光好，格局方正，业主诚心出卖,赤岗苑,赤岗,2室1厅 ,54.11, 西 , 简装 ,9,1997, 塔楼,18, 4个月以前发布,1680000.0,"31,048元/平",近地铁 VR看装修 房本满五年 
瑞宝花园电梯三楼 带107.6㎡私家平台花园 采光通风好,瑞宝花园,东晓南,2室2厅 ,78.9, 东 西南 , 简装 ,9,1998, 塔楼,10, 3个月以前发布,3100000.0,"39,291元/平",近地铁 VR看装修 房本满五年 
德佑推荐 希少全南两房 楼龄新格局靓 下楼就是地铁,会展世界城,万胜围,2室2厅 ,86.23, 南 , 精装 ,7,2014, 平房,10, 3个月以前发布,8600000.0,"99,734元/平",近地铁 VR看装修 房本满五年 
穗花新村 正规两房 南向望花园  采光好,穗花新村,昌岗,2室1厅 ,55.86, 南 , 简装 ,9,1995, 塔楼,12, 4个月以前发布,2500000.0,"44,755元/平",近地铁 VR看装修 房本满五年 
纵横公寓 70年产权住宅 高层精装修一房一厅 过五年,纵横公寓,赤岗,1室1厅 ,62.18, 南 北 , 精装 ,30,2012, 塔楼,4, 1个月以前发布,2250000.0,"36,186元/平",VR房源 房本满五年 
蟠龙社区 南向全明屋 采光好 框架 安静舒适 生活便利,前进路(海珠),前进路,2室1厅 ,57.3, 东南 , 简装 ,7,1983, 塔楼,55, 5个月以前发布,1500000.0,"26,179元/平",近地铁 VR看装修 房本满五年 
纵横70年产权  琶洲电商板块 明火民电,纵横公寓,赤岗,1室1厅 ,62.18, 北 , 精装 ,30,2012, 塔楼,22, 4个月以前发布,2190000.0,"35,221元/平",VR看装修 随时看房 
纵横70年产权小两房 可以民火 各付各税 近互联网总部,纵横公寓,赤岗,2室1厅 ,61.6, 北 , 精装 ,30,2012, 塔楼,22, 5个月以前发布,2180000.0,"35,390元/平",VR看装修 随时看房 
2017年新楼龄 原装电梯大三房,南田路,宝岗,3室2厅 ,103.29, 西南 , 精装 ,22,2017, 板塔结合,119, 4个月以前发布,4000000.0,"38,726元/平",近地铁 VR看装修 
南田路原装电梯小区中底层实用大三房 满五年 带平台,宝岗大厦,宝岗,3室1厅 ,86.76, 南 , 简装 ,31,1999, 塔楼,1,19,2980000.0,"34,348元/平",房本满五年 随时看房 
过五年 通风采光效果好 一梯两户稀有房产,中信君庭,滨江东,2室2厅 ,171.41, 北 , 精装 ,33,2004, 塔楼,2, 3个月以前发布,18800000.0,"109,679元/平",房本满五年 
出入门禁 有保安管理楼龄新 大两房 采光好 南北对流,南晖苑,工业大道中,2室1厅 ,72.4, 南 , 简装 ,9,2001, 塔楼,0,5,1650000.0,"22,791元/平",近地铁 房本满五年 
金碧花园第三金碧 3室1厅 南,金碧花园第三金碧,金碧,3室1厅 ,101.25, 南 , 简装 ,26,2005, 塔楼,1,2,5300000.0,"52,346元/平",近地铁 房本满两年 
翠城花园 靓装 两房 实用 满五唯一 省级无占 格局正,翠城花园,江燕路,2室2厅 ,75.8, 东 , 精装 ,32,2009, 塔楼,0,7,4680000.0,"61,742元/平",近地铁 房本满五年 
满五年东南向安静望花园，产权清晰，拎包入住看房方便,金碧花园第三金碧,金碧,3室2厅 ,123.18, 东南 , 简装 ,32,2005, 板塔结合,2, 2个月以前发布,5990000.0,"48,629元/平",近地铁 VR房源 房本满五年 
穗花中层 双地铁 近晓港公园 无占用！,穗花新村,昌岗,3室1厅 ,61.69, 南 东北 , 简装 ,9,1995, 塔楼,64, 5个月以前发布,3020000.0,"48,955元/平",近地铁 VR看装修 房本满五年 
琶洲总部板块 近双地铁封闭小区 电梯费已交 东南两房,赤岗苑,赤岗,2室1厅 ,72.11, 东南 , 简装 ,9,1997, 塔楼,28, 一年前发布,2230000.0,"30,925元/平",近地铁 VR看装修 房本满五年 
金碧花园 全明屋精装电梯两房 免sui 广州塔夜景,金碧花园第二金碧,金碧,2室2厅 ,66.15, 北 , 精装 ,33,2000, 塔楼,11, 2个月以前发布,3050000.0,"46,108元/平",近地铁 VR房源 房本满五年 
第二金碧花园~碧水闲庭  新净中层电梯两房 靓盘 急,金碧花园第二金碧,金碧,2室1厅 ,67.78, 南 北 , 精装 ,32,2000, 塔楼,4,31,2880000.0,"42,491元/平",近地铁 VR看装修 房本满五年 
南向两房    电梯  业主诚心卖 过五唯一,金碧花园第一金碧,金碧,2室2厅 ,66.07, 南 , 简装 ,15,2000, 塔楼,5, 1个月以前发布,2480000.0,"37,536元/平",近地铁 VR看装修 房本满五年 
房子楼龄新 过五年交易省税 小区配备空中花园,滨江瑞城,东晓南,3室2厅 ,90.23, 东北 , 精装 ,31,2009, 板楼,11, 1个月以前发布,4300000.0,"47,656元/平",近地铁 VR房源 房本满五年 
穗花少有南向电梯三房  没占用，,穗花新村,昌岗,3室2厅 ,63.25, 东南 , 简装 ,9,1995, 塔楼,14, 1个月以前发布,3200000.0,"50,593元/平",近地铁 VR看装修 房本满五年 
精装修，正南向，单边位，南北对流，4房2卫,万丰花园,前进路,4室2厅 ,115.0, 南 , 精装 ,26,1999, 塔楼,18, 3个月以前发布,5560000.0,"48,348元/平",近地铁 VR房源 房本满五年 
此房满五年新装修小区单边位采光通风充足阳台景观无遮,南景园,江燕路,3室2厅 ,93.89, 西北 , 精装 ,18,2001, 塔楼,11, 3个月以前发布,4450000.0,"47,396元/平",近地铁 VR看装修 房本满五年 
绿茵南向电梯两房，满五年 上车盘。,绿茵翠庭,赤岗,2室1厅 ,66.71, 南 , 简装 ,10,2002, 塔楼,21, 4个月以前发布,2550000.0,"38,226元/平",VR看装修 房本满五年 
东银广场 安静三房带主套 近公园和地铁 可谈,东银广场,前进路,3室1厅 ,110.0, 西北 , 精装 ,32,2009, 塔楼,30, 2个月以前发布,4900000.0,"44,546元/平",近地铁 VR房源 房本满五年 
昌岗地铁口，水厂大院满五唯一的物业，,江南大道南水厂宿舍,昌岗,1室1厅 ,41.73, 南 , 简装 ,7,1990, 塔楼,120, 3个月以前发布,980000.0,"23,485元/平",近地铁 VR看装修 房本满五年 
翠城2房，安静望花园，满五少税费，省级，近地铁。,翠城花园,江燕路,2室1厅 ,78.88, 西南 , 精装 ,33,2009, 塔楼,24, 4个月以前发布,4600000.0,"58,317元/平",近地铁 VR房源 房本满五年 
此房过五年唯一，大型小区低层，配套成熟，绿化好。,天鹅湾,工业大道北,1室1厅 ,42.25, 东北 , 精装 ,31,2006, 塔楼,27, 一年前发布,2580000.0,"61,066元/平",近地铁 VR看装修 房本满五年 
2013年楼龄次新楼 东西对流 高层视野好,罗马家园,沥滘,3室2厅 ,92.62, 东 西 , 精装 ,25,2014, 塔楼,12, 2个月以前发布,3640000.0,"39,282元/平",VR看装修 房本满五年 
保利红棉 单边位三房 双阳台 满五年唯一,保利红棉花园,江燕路,3室2厅 ,76.44, 西北 , 精装 ,9,1997, 塔楼,4, 2个月以前发布,2700000.0,"35,322元/平",近地铁 VR看装修 房本满五年 
保利花园 一楼带60方左右花园 正规三房 保养新 户型好,保利花园(海珠),工业大道中,3室2厅 ,78.19, 北 , 精装 ,6,2001, 板楼,36, 3个月以前发布,4750000.0,"60,750元/平",VR看装修 房本满五年 
昌岗路值得买的小区两房 南方花园 厅房全明 满五唯一,南方花园,昌岗,2室1厅 ,57.0, 西北 北 , 精装 ,9,1998, 塔楼,16, 5个月以前发布,2590000.0,"45,439元/平",近地铁 VR房源 房本满五年 
满五年，近江品质小区 省级同福 视野开阔无遮挡,君华江畔豪园,滨江西,2室1厅 ,48.0, 南 , 精装 ,18,2012, 塔楼,54, 3个月以前发布,2880000.0,"60,000元/平",近地铁 VR看装修 房本满五年 
过五唯一免重税 8号线双地铁康怡花苑东南向大两房、,康怡花苑,新港西,2室2厅 ,76.86, 东南 , 精装 ,9,1994, 塔楼,123, 一年前发布,2240000.0,"29,144元/平",近地铁 VR看装修 房本满五年 
自住，南北、满五唯一、 小三房、,保利红棉花园,江燕路,3室2厅 ,64.37, 南 北 , 精装 ,9,1997, 塔楼,56, 6个月以前发布,2180000.0,"33,867元/平",近地铁 VR看装修 房本满五年 
嘉鸿花园 电梯高层东南向三房 证过五年 看房方便,嘉鸿花园,东晓南,3室2厅 ,92.45, 东 东南 , 精装 ,12,1999, 塔楼,22, 3个月以前发布,3490000.0,"37,751元/平",近地铁 VR看装修 房本满五年 
晓港公园旁 一手业主 电梯中层 南北对流三房 过五唯一,东银广场,前进路,3室1厅 ,91.37, 东 西 西北 东北 , 简装 ,32,2009, 塔楼,35, 9个月以前发布,4280000.0,"46,843元/平",近地铁 VR看装修 房本满五年 
业主诚意放卖 格局通透 配套设施齐全 交通便利,金碧花园第三金碧,金碧,3室2厅 ,104.96, 北 , 简装 ,32,2005, 塔楼,1, 11个月以前发布,5400000.0,"51,449元/平",近地铁 VR看装修 房本满五年 
近琶洲满5年唯一南向精装两房电梯筹备中有地下车位,赤岗苑,赤岗,2室1厅 ,64.26, 南 , 精装 ,9,1997, 塔楼,56, 4个月以前发布,2150000.0,"33,458元/平",近地铁 VR看装修 房本满五年 
小区管理 实用三房 通风对流 保养好,保利百合花园二期,江燕路,3室2厅 ,101.65, 南 , 其他 ,15,2004, 塔楼,26, 4个月以前发布,4280000.0,"42,106元/平",近地铁 VR看装修 房本满五年 
罗马家园  精装三房  业主急 随时可以签合同,罗马家园,沥滘,3室2厅 ,108.17, 北 , 精装 ,18,2007, 塔楼,3, 1个月以前发布,4250000.0,"39,282元/平",近地铁 VR房源 房本满五年 
满五年，近江品质小区 省级同福 视野开阔无遮挡,君华江畔豪园,滨江西,2室1厅 ,48.0, 南 , 精装 ,18,2012, 塔楼,54, 3个月以前发布,2880000.0,"60,000元/平",近地铁 VR看装修 房本满五年 
琶洲总部板块 近双地铁封闭小区 电梯费已交 东南两房,赤岗苑,赤岗,2室1厅 ,72.11, 东南 , 简装 ,9,1997, 塔楼,28, 一年前发布,2230000.0,"30,925元/平",近地铁 VR看装修 房本满五年 
大型小区 电梯中楼层 满五唯一精装修南北对流 急 出,鸿运花园,赤岗,2室1厅 ,60.4, 南 , 精装 ,8,1995, 塔楼,47, 4个月以前发布,2780000.0,"46,027元/平",近地铁 VR看装修 房本满五年 
满五年东南向安静望花园，产权清晰，拎包入住看房方便,金碧花园第三金碧,金碧,3室2厅 ,123.18, 东南 , 简装 ,32,2005, 板塔结合,2, 2个月以前发布,5990000.0,"48,629元/平",近地铁 VR房源 房本满五年 
满五年，电梯在用，视野开阔，交通便利，配套设施齐全,洪德雅苑,同福,2室1厅 ,48.28, 南 , 简装 ,9,1998, 塔楼,2, 1个月以前发布,1760000.0,"36,455元/平",近地铁 VR看装修 房本满五年 
嘉鸿花园 电梯高层东南向三房 证过五年 看房方便,嘉鸿花园,东晓南,3室2厅 ,92.45, 东 东南 , 精装 ,12,1999, 塔楼,22, 3个月以前发布,3490000.0,"37,751元/平",近地铁 VR看装修 房本满五年 
南向两房    电梯  业主诚心卖 过五唯一,金碧花园第一金碧,金碧,2室2厅 ,66.07, 南 , 简装 ,15,2000, 塔楼,5, 1个月以前发布,2480000.0,"37,536元/平",近地铁 VR看装修 房本满五年 
金碧花园 全明屋精装电梯两房 免sui 广州塔夜景,金碧花园第二金碧,金碧,2室2厅 ,66.15, 北 , 精装 ,33,2000, 塔楼,11, 2个月以前发布,3050000.0,"46,108元/平",近地铁 VR房源 房本满五年 
江湾花园 加装电梯 南向大2房 装修保养好 小区靠江边,江湾花苑,滨江中,2室1厅 ,70.62, 南 , 精装 ,8,1999, 塔楼,67, 7个月以前发布,3480000.0,"49,278元/平",VR房源 房本满五年 
2013年楼龄次新楼 东西对流 高层视野好,罗马家园,沥滘,3室2厅 ,92.62, 东 西 , 精装 ,25,2014, 塔楼,12, 2个月以前发布,3640000.0,"39,282元/平",VR看装修 房本满五年 
自住物业 2年内精装修 电梯中层 南北对流户型,英豪花园,东晓南,2室2厅 ,74.4, 北 , 精装 ,28,2005, 板楼,2, 2个月以前发布,3780000.0,"50,807元/平",近地铁 VR房源 房本满两年 
自住，南北、满五唯一、 小三房、,保利红棉花园,江燕路,3室2厅 ,64.37, 南 北 , 精装 ,9,1997, 塔楼,56, 6个月以前发布,2180000.0,"33,867元/平",近地铁 VR看装修 房本满五年 
晓港公园旁 一手业主 电梯中层 南北对流三房 过五唯一,东银广场,前进路,3室1厅 ,91.37, 东 西 西北 东北 , 简装 ,32,2009, 塔楼,35, 9个月以前发布,4280000.0,"46,843元/平",近地铁 VR看装修 房本满五年 
第二金碧花园~碧水闲庭  新净中层电梯两房 靓盘 急,金碧花园第二金碧,金碧,2室1厅 ,67.78, 南 北 , 精装 ,32,2000, 塔楼,4,31,2880000.0,"42,491元/平",近地铁 VR看装修 房本满五年 
保利红棉 单边位三房 双阳台 满五年唯一,保利红棉花园,江燕路,3室2厅 ,76.44, 西北 , 精装 ,9,1997, 塔楼,4, 2个月以前发布,2700000.0,"35,322元/平",近地铁 VR看装修 房本满五年 
穗花中层 双地铁 近晓港公园 无占用！,穗花新村,昌岗,3室1厅 ,61.69, 南 东北 , 简装 ,9,1995, 塔楼,64, 5个月以前发布,3020000.0,"48,955元/平",近地铁 VR看装修 房本满五年 
保利花园 一楼带60方左右花园 正规三房 保养新 户型好,保利花园(海珠),工业大道中,3室2厅 ,78.19, 北 , 精装 ,6,2001, 板楼,36, 3个月以前发布,4750000.0,"60,750元/平",VR看装修 房本满五年 
昌岗路值得买的小区两房 南方花园 厅房全明 满五唯一,南方花园,昌岗,2室1厅 ,57.0, 西北 北 , 精装 ,9,1998, 塔楼,16, 5个月以前发布,2590000.0,"45,439元/平",近地铁 VR房源 房本满五年 
沙园双地铁站 安静社区 框架中层两房 装修保养好,沙园,沙园,2室1厅 ,44.49, 南 北 , 精装 ,7,2002, 塔楼,161, 3个月以前发布,1520000.0,"34,165元/平",近地铁 VR看装修 房本满两年 
英豪阳光320 南向两房 高层开阔,英豪花园,东晓南,2室2厅 ,73.93, 南 , 精装 ,28,2009, 板楼,29, 3个月以前发布,3680000.0,"49,777元/平",近地铁 VR看装修 房本满五年 
高层电梯省级，厅出阳台南向方正视野开阔,赤岗二街3-7号,赤岗,2室1厅 ,72.85, 南 , 简装 ,9,1990, 塔楼,23, 3个月以前发布,2560000.0,"35,141元/平",VR看装修 房本满五年 
小区管理 实用三房 通风对流 保养好,保利百合花园二期,江燕路,3室2厅 ,101.65, 南 , 其他 ,15,2004, 塔楼,26, 4个月以前发布,4280000.0,"42,106元/平",近地铁 VR看装修 房本满五年 
满5年 南向低层三房 户型方正实用 装修保养好,万华花园,东晓南,3室2厅 ,89.68, 南 , 精装 ,8,2005, 板楼,88, 4个月以前发布,3590000.0,"40,032元/平",近地铁 VR看装修 房本满五年 
侨诚花园 满五唯一 电梯房 全明屋三房两卫 精装修,侨诚花园,东晓南,3室2厅 ,92.43, 西南 , 精装 ,9,1999, 塔楼,92, 7个月以前发布,3680000.0,"39,814元/平",近地铁 VR房源 房本满五年 
中海名都 高层无遮挡 望江 满五唯一,中海名都,滨江中,2室1厅 ,83.61, 西北 , 精装 ,39,2004, 塔楼,14, 4个月以前发布,5750000.0,"68,772元/平",VR看装修 房本满五年 
海意名苑 满五唯一 安静有阳光 中层两房 全明屋,海意名苑,江南大道中,2室1厅 ,50.01, 东北 , 精装 ,10,1999, 塔楼,81, 7个月以前发布,1800000.0,"35,993元/平",近地铁 VR房源 房本满五年 
保利物业 电梯高层五房 望花园 正南向 厅出大阳台,保利百合花园,江燕路,5室2厅 ,125.88, 东南 , 精装 ,18,2004, 塔楼,225, 2个月以前发布,7050000.0,"56,006元/平",近地铁 VR房源 房本满两年 
好赞好房 竖厅两居室 中楼层采光好 楼下即地铁口,金碧花园第三金碧,金碧,2室1厅 ,73.43, 东北 , 精装 ,32,2005, 塔楼,4, 1个月以前发布,3980000.0,"54,202元/平",近地铁 VR看装修 房本满五年 
市二宫 花园小区 怡安花园 南向 两房 中低楼层海实,怡安花园,滨江中,2室1厅 ,67.24, 南 , 简装 ,9,1999, 塔楼,11, 2个月以前发布,2580000.0,"38,371元/平",VR看装修 房本满五年 
装修保养好，过五不唯一，产权清晰， 格局好,南洲名苑,东晓南,2室1厅 ,53.56, 南 , 简装 ,9,1997, 塔楼,0, 1个月以前发布,2350000.0,"43,877元/平",近地铁 VR看装修 房本满五年 
准电梯两房  南向  地铁10米,翠怡小区,昌岗,2室1厅 ,66.23, 东南 , 其他 ,8,1994, 塔楼,0, 1个月以前发布,2200000.0,"33,218元/平",近地铁 VR房源 房本满两年 
正南向 望花园 电梯楼 贼安静,金碧花园第一金碧,金碧,2室1厅 ,62.82, 南 , 精装 ,15,1998, 塔楼,63, 4个月以前发布,3080000.0,"49,029元/平",近地铁 VR房源 房本满五年 
顺景雅苑  南向电梯两房  精装  2000年  87%实用,顺景雅苑,新港西,2室2厅 ,54.04, 南 , 其他 ,13,2000, 塔楼,10, 1个月以前发布,2880000.0,"53,294元/平",VR房源 房本满五年 
晓港湾中层步梯 采光通风好 格局方正 证满五年唯一,晓港湾,东晓南,2室1厅 ,41.49, 东北 , 简装 ,9,1999, 塔楼,24, 2个月以前发布,1250000.0,"30,128元/平",近地铁 VR看装修 房本满五年 
此房 正对花园不临街 安静优雅。,绿茵翠庭,赤岗,2室1厅 ,66.86, 西南 西 , 精装 ,10,2002, 塔楼,29, 3个月以前发布,2630000.0,"39,336元/平",VR看装修 房本满五年 
穗花新村 南北对流 采光好 户型实用,穗花新村,昌岗,2室1厅 ,56.0, 东南 , 简装 ,10,1995, 塔楼,1, 1个月以前发布,2780000.0,"49,643元/平",近地铁 VR看装修 房本满五年 
户型方正望喷泉水池，高楼层视野好,金碧花园第一金碧,金碧,2室2厅 ,72.32, 西南 , 精装 ,22,2000, 塔楼,121, 一年前发布,3050000.0,"42,174元/平",近地铁 VR房源 房本满五年 
第一金碧花园 楼梯两房 户型方正 满五年,金碧花园第一金碧,金碧,2室1厅 ,53.42, 南 北 , 简装 ,6,2000, 塔楼,222, 8个月以前发布,2330000.0,"43,617元/平",近地铁 VR房源 房本满五年 
尚领时代 电梯两房 封闭式小区 安静优美,尚领时代,东晓南,2室1厅 ,74.85, 南 , 简装 ,18,2006, 塔楼,9, 2个月以前发布,3080000.0,"41,149元/平",近地铁 VR房源 房本满五年 
凤阳小区 小区管理  满五唯一 准加电梯 业主诚心卖,凤阳小区,江燕路,2室1厅 ,64.8, 东 , 简装 ,9,2000, 塔楼,20, 3个月以前发布,1550000.0,"23,920元/平",近地铁 VR看装修 房本满五年 
江南美景花园二期 原户型三房 户型方正 生活配套完善,江南美景花园,新港西,3室1厅 ,81.85, 北 , 简装 ,19,2015, 塔楼,3, 3个月以前发布,4450000.0,"54,368元/平",近地铁 VR房源 房本满两年 
广纸小区 2室2厅 南,广纸小区,工业大道中,2室2厅 ,61.6, 南 , 简装 ,8,1994, 塔楼,6, 1个月以前发布,1600000.0,"25,975元/平",近地铁 VR看装修 房本满五年 
保利红棉花园  加装电梯已公示,保利红棉花园,江燕路,2室1厅 ,50.5, 南 , 简装 ,9,1997, 塔楼,4, 7个月以前发布,1750000.0,"34,654元/平",近地铁 VR看装修 房本满五年 
金碧花园第二金碧 1室1厅 东 东南 南,金碧花园第二金碧,金碧,1室1厅 ,27.64, 东 东南 南 , 精装 ,33,2000, 塔楼,5, 2个月以前发布,1090000.0,"39,436元/平",近地铁 VR房源 房本满五年 
金玫瑰苑 封闭式管理小区 东南向 证满五年 格局方正,嘉鸿花园金玫瑰苑,东晓南,2室2厅 ,69.7, 南 东 , 简装 ,27,1999, 塔楼,1, 1个月以前发布,3220000.0,"46,198元/平",近地铁 VR看装修 房本满五年 
此房采光好，格局方正，业主诚心出卖,赤岗苑,赤岗,2室1厅 ,54.11, 西 , 简装 ,9,1997, 塔楼,18, 4个月以前发布,1680000.0,"31,048元/平",近地铁 VR看装修 房本满五年 
沙园优美小区 马赛克外墙楼龄新 中层视野开阔,沙园,沙园,2室1厅 ,68.95, 东南 , 其他 ,9,2002, 塔楼,17, 3个月以前发布,1860000.0,"26,977元/平",近地铁 VR看装修 房本满五年 
满五年产权清晰，户型实用，中间楼层楼间距开阔,金碧花园第三金碧,金碧,2室1厅 ,79.88, 北 , 简装 ,32,2005, 塔楼,21, 9个月以前发布,4050000.0,"50,702元/平",近地铁 VR看装修 房本满五年 
聚德花园 大型小区 原装电梯高层 视野广阔 适合居住,聚德花园,赤岗,2室1厅 ,70.38, 北 , 简装 ,29,1997, 塔楼,2, 1个月以前发布,2480000.0,"35,238元/平",VR看装修 房本满五年 
侨诚花园  电梯两房 东南向望花园 户型实用,侨诚花园,东晓南,2室2厅 ,49.1, 东南 , 简装 ,9,1998, 塔楼,7, 2个月以前发布,1900000.0,"38,697元/平",近地铁 VR看装修 房本满五年 
大型小区交通方便电梯小两房正望花园,海富花园,江燕路,2室1厅 ,51.52, 北 , 简装 ,10,2000, 塔楼,10, 5个月以前发布,2130000.0,"41,344元/平",近地铁 VR房源 房本满五年 
原装电梯，封闭式小区 ，近地铁,鸿荣阁,江燕路,2室1厅 ,70.98, 东北 , 精装 ,9,2000, 塔楼,47, 7个月以前发布,2750000.0,"38,744元/平",VR房源 房本满五年 
中层阳台视野开阔，采光充足，配套设施齐,顺华名庭,新港西,2室2厅 ,77.21, 西 , 简装 ,20,2001, 塔楼,3,23,2645000.0,"34,258元/平",近地铁 房本满两年 
琶洲总部板块 封闭式管理 一房一厅,怡雅居,赤岗,1室1厅 ,39.63, 西南 , 简装 ,9,1998, 塔楼,1,23,1300000.0,"32,804元/平",近地铁 房本满两年 
小区花园标准一房一厅户型方正 采光好 楼层适中 笋,保利红棉花园,江燕路,1室1厅 ,33.16, 南 , 精装 ,9,1997, 塔楼,0,16,980000.0,"29,554元/平",房本满五年 
晓港湾 中层小三房 西南向 位置安静舒适,晓港湾,东晓南,2室2厅 ,91.16, 西南 , 精装 ,23,1999, 塔楼,1, 1个月以前发布,2850000.0,"31,264元/平",近地铁 房本满五年 
南北通透 高层4房 视野开阔 望江景观好 无遮挡,保利天悦花园,万胜围,4室2厅 ,197.59, 南 北 , 精装 ,32,2015, 塔楼,11, 4个月以前发布,33450000.0,"169,290元/平",房本满两年 
紫龙府3+1房，单边位，采光通风好，装修保养好！,珠江帝景苑合生紫龙府,滨江东,4室1厅 ,147.01, 西北 , 精装 ,30,2013, 塔楼,179, 4个月以前发布,8030000.0,"54,593元/平",近地铁 房本满两年 
