双地铁 临江物业 户型方正 装修新净,悦涛雅苑,黄埔区府,2室2厅 ,67.36, 北 , 精装 ,13,2000, 塔楼,0,6,2820000.0,"41,865元/平",近地铁 VR房源 房本满五年 随时看房 
萝岗区府板块 央企保利 罗兰精装南向三房,保利罗兰国际,科学城,3室2厅 ,97.66, 南 , 精装 ,32,2018, 塔楼,0,2,3050000.0,"31,161元/平",近地铁 VR看装修 房本满两年 
美丽的三房两卫，功能布局好，楼层好视野宽阔,广州绿地城,知识城,3室2厅 ,94.17, 南 , 精装 ,33,2017, 板塔结合,24, 10个月以前发布,2680000.0,"28,460元/平",VR看装修 房本满两年 
科学城实地常春藤优质南向大三房,实地常春藤,科学城,3室1厅 ,94.85, 南 , 精装 ,32,2015, 塔楼,0, 1个月以前发布,2280000.0,"24,038元/平",VR看装修 房本满两年 
城市花园 证过五年 看房方便 南向 通风采光好,万科城市花园,文冲,2室1厅 ,67.97, 西南 , 精装 ,18,2003, 塔楼,162, 一年前发布,2800000.0,"41,176元/平",近地铁 VR看装修 房本满五年 
黄埔花园 东南向望江 楼龄2010年 满五唯一,黄埔花园,黄埔区府,3室2厅 ,94.69, 南 , 精装 ,16,2009, 塔楼,34, 4个月以前发布,3670000.0,"38,662元/平",近地铁 VR房源 房本满五年 
万科金色悦府，楼龄新高楼层三房，视野好,万科金色悦府,文冲,3室1厅 ,82.69, 北 , 简装 ,31,2012, 塔楼,2, 1个月以前发布,3750000.0,"45,294元/平",近地铁 VR看装修 房本满五年 
保利三房包税诚心卖 中高层可望江 近地铁鱼珠CBD配套,保利学府里,大沙地,3室2厅 ,79.15, 北 , 精装 ,32,2015, 塔楼,3, 1个月以前发布,4600000.0,"58,118元/平",近地铁 VR看装修 房本满两年 
泰景花园  地铁五号线  电梯三房  采光不错,泰景花园,黄埔区府,3室2厅 ,96.12, 东 北 , 精装 ,9,2004, 塔楼,25, 4个月以前发布,3360000.0,"34,915元/平",近地铁 VR房源 房本满两年 
公园旁东南向三房   实用率高  通风采光好。,怡港花园,黄埔区府,3室1厅 ,86.95, 东南 , 简装 ,9,1999, 塔楼,51, 4个月以前发布,2780000.0,"31,973元/平",近地铁 VR看装修 房本满五年 
全新装修三房 户型方正 交通便利 配套齐,怡港花园,黄埔区府,3室2厅 ,102.95, 北 , 精装 ,9,2003, 塔楼,96, 一年前发布,3450000.0,"33,509元/平",近地铁 VR看装修 房本满五年 
中鼎君和名城 中高层 东北向2房 11月满五唯一,中鼎君和名城,黄埔区府,2室1厅 ,74.22, 北 , 精装 ,33,2015, 塔楼,9, 1个月以前发布,3310000.0,"44,551元/平",近地铁 VR看装修 房本满五年 
东荟城 满五 ，楼栋位置好，装修保养好，可拎包入住,万科东荟城,香雪,3室2厅 ,96.16, 南 , 精装 ,28,2015, 塔楼,5, 1个月以前发布,3700000.0,"38,478元/平",VR看装修 房本满五年 
满五唯一税费少，户型方正，楼层好，带平台,宏康花园四期康慧苑,开发东区,2室2厅 ,76.26, 北 , 其他 ,7,2005, 塔楼,6, 2个月以前发布,1580000.0,"20,719元/平",VR房源 房本满五年 
有钥匙证满五年，金色梦想二期，自住保养好，拎包入住,万科金色梦想,香雪,3室2厅 ,86.41, 东北 , 精装 ,29,2015, 板塔结合,28, 5个月以前发布,2750000.0,"31,826元/平",VR房源 房本满五年 
交通便利 配套成熟 小区安静 环境好 空气清新 商品房,合景天峻广场,知识城,1室0厅 ,34.53, 南 , 毛坯 ,25,2019, 板塔结合,14, 一年前发布,350000.0,"10,137元/平",近地铁 房本满五年 随时看房 
大壮国际广场 南向复式 业主诚心出*,大壮国际广场,科学城,1室1厅 ,48.56, 南 , 其他 ,17,2014, 板塔结合,2, 一年前发布,880000.0,"18,122元/平",近地铁 房本满五年 随时看房 
交通便利 配套成熟 小区安静 环境好 空气清新 商品房,合景天峻广场,知识城,1室1厅 ,34.53, 北 , 毛坯 ,25,2019, 板塔结合,1, 2个月以前发布,340000.0,"9,847元/平",近地铁 房本满两年 随时看房 
科城山庄南向大单间  看房提前约,科城山庄锦泽园,科学城,1室0厅 ,39.67, 南 , 精装 ,18,2015, 塔楼,15, 10个月以前发布,1560000.0,"39,118元/平",近地铁 VR房源 房本满五年 随时看房 
雅居乐富春山居  满五年南向小户型  环境优美,雅居乐富春山居,科学城,1室0厅 ,49.9, 南 , 精装 ,9,2014, 塔楼,63, 5个月以前发布,1500000.0,"29,869元/平",近地铁 VR房源 房本满五年 随时看房 
证过五年  南向望花园   采光通透  上车两房,金碧世纪花园,大沙地,2室2厅 ,68.47, 南 , 精装 ,17,2004, 塔楼,39, 3个月以前发布,3070000.0,"44,838元/平",VR房源 房本满五年 随时看房 
科城山庄单间 安静望花园 房子全新未入住,科城山庄峻森园,科学城,1室0厅 ,36.33, 北 , 精装 ,18,2015, 塔楼,6, 2个月以前发布,1430000.0,"39,118元/平",VR看装修 房本满两年 随时看房 
科城山庄锦泽园 精装一房 满五年,科城山庄锦泽园,科学城,1室1厅 ,35.07, 北 , 精装 ,18,2015, 塔楼,47, 3个月以前发布,1380000.0,"39,118元/平",近地铁 VR看装修 房本满五年 随时看房 
科城山庄北向单间 高层视野开阔 方便看房,科城山庄锦泽园,科学城,2室3厅 ,35.0, 北 , 精装 ,18,2015, 塔楼,156, 一年前发布,1370000.0,"39,118元/平",近地铁 VR看装修 房本满五年 随时看房 
通风才刚好，业主有心卖，看房方便,锦林山庄,科学城,1室0厅 ,40.9, 南 , 精装 ,8,2008, 塔楼,37, 4个月以前发布,1150000.0,"28,056元/平",VR看装修 房本满五年 随时看房 
金碧世纪 业主包增值税 高层南向 全新装修  交通便利,金碧世纪花园,大沙地,2室1厅 ,65.35, 南 , 精装 ,32,2006, 塔楼,52, 3个月以前发布,3150000.0,"48,202元/平",VR房源 房本满两年 随时看房 
知识城  单间  视野开阔 业主诚意卖,合景天峻广场,知识城,1室0厅 ,34.5, 北 , 其他 ,25,2019, 板塔结合,15, 4个月以前发布,360000.0,"10,435元/平",近地铁 房本满两年 随时看房 
金碧世纪花园 2室1厅 南,金碧世纪花园,大沙地,2室1厅 ,68.31, 南 , 精装 ,17,2004, 板楼,1, 1个月以前发布,3120000.0,"45,675元/平",VR房源 房本满两年 随时看房 
中海誉城南苑 2室1厅 西北,中海誉城南苑,香雪,2室1厅 ,79.77, 西北 , 其他 ,33,2015, 塔楼,0,4,2600000.0,"32,594元/平",VR房源 房本满两年 随时看房 
怡港花园正规南向两房，满五年免增值税,怡港花园,黄埔区府,2室1厅 ,88.82, 南 , 其他 ,9,2003, 塔楼,0,5,2980000.0,"33,509元/平",近地铁 VR房源 房本满五年 随时看房 
此房产权清晰，满五唯一高楼层保养好，采光佳,龙光峰景华庭,科学城,3室1厅 ,89.6, 西北 , 简装 ,18,2009, 塔楼,0,5,2560000.0,"28,463元/平",VR房源 房本满五年 随时看房 
次新房 高层 大三房 望山景 户型方正 视野宽阔,丰逸尚居,文冲,3室1厅 ,98.84, 北 , 简装 ,29,2012, 塔楼,0,4,3790000.0,"38,345元/平",近地铁 VR房源 房本满五年 随时看房 
富力悦禧花园高层精装三房  自住保养好,富力悦禧花园,开发东区,3室1厅 ,98.98, 南 北 , 精装 ,33,2017, 塔楼,0,19,2900000.0,"29,299元/平",VR看装修 房本满两年 随时看房 
地铁口精装南向三房，望花园，业主忍痛割爱,合景天峻广场,知识城,3室2厅 ,90.28, 南 , 精装 ,31,2019, 塔楼,0,17,1380000.0,"15,286元/平",房本满五年 随时看房 
水西地铁口萝岗敏捷广场5米层高复式可明火,萝岗敏捷广场,科学城,4室2厅 ,83.71, 南 , 其他 ,19,2016, 板塔结合,0,12,2150000.0,"25,684元/平",近地铁 房本满两年 随时看房 
满五年，大三房，看房花园安静，没欠款，置换诚卖,越秀岭南山畔,科学城,3室1厅 ,137.14, 东南 南 , 其他 ,32,2014, 塔楼,0,3,4420000.0,"32,175元/平",近地铁 VR看装修 房本满五年 
东港花园 3室2厅 南,东港花园,文冲,3室2厅 ,92.0, 南 , 精装 ,24,2013, 塔楼,0,6,4380000.0,"47,609元/平",近地铁 VR看装修 房本满五年 
天伦东时区 2梯6户 中高层四房 证过五年唯一物业,天伦东时区,黄埔区府,4室2厅 ,123.39, 东南 , 精装 ,18,2009, 塔楼,0,15,6000000.0,"48,627元/平",近地铁 VR房源 房本满两年 
南向4房  拎包入住  楼下商场  生活便利,佳兆业城市广场,沙村,4室3厅 ,91.74, 南 , 其他 ,37,2019, 塔楼,0,12,3600000.0,"39,242元/平",VR房源 房本满两年 
近地铁 自带配套  复式三房两卫,黄埔万科中心,文冲,3室2厅 ,66.3, 北 , 精装 ,22,2016, 塔楼,1,27,1300000.0,"19,608元/平",近地铁 房本满两年 随时看房 
业主急卖，双拼南向别墅，中间楼栋，花园120方,沁园,香雪,5室3厅 ,312.0, 西南 , 毛坯 ,4, 暂无数据 , 双拼别墅 ,1,29,19800000.0,"63,462元/平",VR房源 房本满两年 随时看房 
全新精装三房业主诚心急转......,时代天韵,知识城,3室1厅 ,121.72, 东南 , 精装 ,20,2018, 塔楼,0,15,3992000.0,"32,797元/平",近地铁 VR看装修 房本满两年 随时看房 
业主急卖，保养好，楼栋位置安静，中间楼层采光充足,中海誉城南苑,香雪,2室1厅 ,80.01, 北 东北 , 简装 ,33,2015, 塔楼,1,12,2550000.0,"31,872元/平",VR房源 房本满两年 随时看房 
省电力一局 电梯三房  高层东南向,省电力一局,夏园,3室1厅 ,87.0, 东南 , 简装 ,9,1990, 塔楼,0,15,2100000.0,"24,138元/平",VR房源 房本满五年 随时看房 
万科山景城叠墅 带露台  使用率高 四房三卫户型方正,万科山景城,科学城,4室2厅 ,74.89, 南 , 精装 ,4,2015, 塔楼,0,14,5380000.0,"71,839元/平",VR房源 房本满两年 随时看房 
中高层的大三房，视野好 ，采光好,金碧领秀国际,黄埔区府,3室1厅 ,100.75, 东北 , 简装 ,33,2007, 塔楼,0,14,4350000.0,"43,124元/平",近地铁 VR房源 房本满五年 随时看房 
中间楼层 安静不吵 户型方正 视野开阔 满五年,宏康花园五期宏康东筑,开发东区,2室1厅 ,78.64, 西 , 其他 ,22,2009, 塔楼,0,7,1750000.0,"22,254元/平",VR房源 房本满五年 随时看房 
此房产权清晰，高楼层，采光，视野好。,龙光峰景华庭,科学城,3室1厅 ,92.41, 北 , 其他 ,18,2009, 塔楼,1,11,2640000.0,"28,463元/平",VR看装修 房本满两年 随时看房 
万科新里程  品质小区  近地铁  配套成熟 望山景,万科新里程,科学城,3室2厅 ,88.81, 东北 , 其他 ,25,2009, 塔楼,0,9,2990000.0,"33,601元/平",近地铁 VR看装修 房本满五年 随时看房 
实地常春藤精装三房。看花园视野开阔。户型方正,实地常春藤,科学城,3室2厅 ,99.81, 南 , 其他 ,25,2018, 塔楼,0,11,2420000.0,"24,247元/平",VR看装修 房本满两年 随时看房 
户型方正 安静舒适 业主诚意卖 看房方便,实地常春藤,科学城,2室2厅 ,70.12, 北 , 精装 ,33,2017, 塔楼,154, 6个月以前发布,1570000.0,"22,391元/平",VR看装修 房本满两年 
高层2房 满五唯一 格局方正便宜 业主诚心放卖,万科新里程,科学城,2室2厅 ,75.46, 东北 , 简装 ,25,2009, 塔楼,26, 3个月以前发布,2540000.0,"33,601元/平",近地铁 VR看装修 房本满五年 
金碧世纪花园 南向 中高层三房 满五年 采光好户型方正,金碧世纪花园,大沙地,3室2厅 ,93.88, 南 , 精装 ,17,2003, 塔楼,25, 5个月以前发布,4400000.0,"46,869元/平",VR看装修 房本满五年 
龙光峰景华庭 2房 精装修  通风采光好 阳台利用空间大,龙光峰景华庭,科学城,2室2厅 ,74.72, 北 , 精装 ,18,2009, 塔楼,104, 6个月以前发布,2130000.0,"28,463元/平",VR看装修 房本满五年 
锐丰中心 2室1厅 南,锐丰中心,香雪,2室1厅 ,54.29, 南 , 精装 ,22,2016, 塔楼,5, 1个月以前发布,780000.0,"14,368元/平",近地铁 房本满五年 
房子中间楼层，户型好，视野开阔,实地常春藤,科学城,3室2厅 ,91.0, 东南 , 精装 ,33,2018, 塔楼,0,5,2160000.0,"23,737元/平",VR房源 房本满两年 
精装两房 中间楼层，光线充足 望花园,万科东荟城,香雪,2室2厅 ,70.36, 西北 , 精装 ,33,2016, 塔楼,54, 6个月以前发布,2650000.0,"37,664元/平",VR看装修 房本满两年 
中海南苑一房  中楼层  业主诚心卖  包增值税,中海誉城南苑,香雪,1室1厅 ,52.69, 西 , 精装 ,33,2015, 塔楼,86, 7个月以前发布,1680000.0,"31,885元/平",VR看装修 房本满两年 
富春山居一房一厅，精装修，满五不唯一，未占用。,雅居乐富春山居,科学城,1室1厅 ,66.0, 北 , 精装 ,9,2014, 塔楼,28, 3个月以前发布,1980000.0,"29,869元/平",近地铁 VR房源 房本满五年 
南向 单间  视野采光好 楼龄新,科城山庄峻森园,科学城,1室0厅 ,40.02, 南 , 精装 ,18,2015, 塔楼,5, 3个月以前发布,1570000.0,"39,118元/平",VR房源 房本满两年 
单边位北向望花园，​厅出阳台两房，自住装修保养好,金碧世纪花园,大沙地,2室1厅 ,71.79, 北 , 精装 ,17,2004, 塔楼,27, 3个月以前发布,3490000.0,"48,615元/平",VR看装修 房本满五年 
科城山庄南北对流精装单间 近地铁 交通便利,科城山庄峻森园,科学城,1室1厅 ,36.33, 北 , 精装 ,18,2015, 塔楼,6, 3个月以前发布,1430000.0,"39,118元/平",VR看装修 房本满五年 
地铁口准拆物业 东南向好楼层 小区至好楼栋 满五年,港湾一村,大沙地,2室1厅 ,62.41, 东南 , 简装 ,7,1995, 塔楼,1,16,2060000.0,"33,008元/平",房本满两年 
港湾路 一楼两房 满五唯一 业主诚心卖 可以谈,港湾路,大沙地,2室1厅 ,58.97, 南 , 精装 ,8,1995, 塔楼,0,9,1800000.0,"30,524元/平",房本满五年 
业主诚心放卖，近地铁，看花园。。。。,合景天峻广场,知识城,1室1厅 ,36.72, 南 , 精装 ,32,2019, 塔楼,0, 1个月以前发布,340000.0,"9,260元/平",房本满五年 随时看房 
业主诚心放卖，近地铁，看花园。。,合景天峻广场,知识城,1室1厅 ,36.72, 南 , 精装 ,32,2019, 塔楼,0, 1个月以前发布,340000.0,"9,260元/平",房本满两年 随时看房 
业主诚心放卖，近地铁，采光好。。,合景天峻广场,知识城,1室1厅 ,36.36, 南 , 精装 ,32,2019, 塔楼,0, 1个月以前发布,340000.0,"9,351元/平",房本满两年 随时看房 
此房户型方正适中，东南向大三房，视野采光好通风好.,万科山景城,科学城,3室2厅 ,94.33, 南 , 精装 ,34,2015, 塔楼,7, 一年前发布,3150000.0,"33,394元/平",房本满两年 随时看房 
黄埔知识城 绿地城南北大四房 户型方正 业主诚心放卖,广州绿地城,知识城,4室2厅 ,143.76, 南 , 精装 ,33,2017, 板塔结合,4, 10个月以前发布,3600000.0,"25,042元/平",房本满两年 
保利越秀岭南林语两房，户型方正，满五唯一,保利越秀岭南林语,科学城,2室2厅 ,73.88, 北 , 精装 ,32,2016, 塔楼,0, 1个月以前发布,2520000.0,"34,110元/平",房本满五年 
东城雅苑大三房，东南向望花园，高楼层采光视野好,东城雅苑,开发东区,3室2厅 ,108.58, 东南 , 精装 ,12,2005, 塔楼,17, 一年前发布,2450000.0,"22,565元/平",VR房源 房本满两年 随时看房 
户型方正，交通便利，近双岗地铁，采光通风好。,黄埔万科中心,文冲,2室2厅 ,50.86, 北 , 精装 ,22,2016, 塔楼,149, 一年前发布,1030000.0,"20,252元/平",近地铁 房本满五年 
房源位置好，独栋凤凰楼层，诚出看房有K随时可看,万科东荟城,香雪,4室2厅 ,142.45, 南 北 , 其他 ,33,2016, 塔楼,1,12,7000000.0,"49,141元/平",VR看装修 房本满两年 随时看房 
4房少有户型，满五唯一，视野开阔，采光充足,万科城市花园,文冲,4室2厅 ,119.47, 东北 , 其他 ,18,2003, 塔楼,0,8,4920000.0,"41,176元/平",近地铁 VR看装修 房本满五年 
南向高层望江，安静视野好，装修保养不错，带阳台,黄埔万科中心,文冲,4室1厅 ,66.05, 南 , 其他 ,22,2016, 塔楼,0,4,1330000.0,"20,137元/平",近地铁 房本满两年 
小户型 出租中 配套便利 适合老人居住,港湾路,大沙地,1室1厅 ,32.11, 南 , 简装 ,4,1978, 板楼,69, 11个月以前发布,770000.0,"23,981元/平",VR看装修 房本满五年 
格局方正 南朝向 采光通风好 中底楼层,珠江嘉园,科学城,2室2厅 ,79.5, 南 西南 , 精装 ,32,2017, 塔楼,5, 一年前发布,1450000.0,"18,239元/平",VR看装修 房本满两年 
长岭居小区南向两房  笋盘   满五唯一,珠江嘉园,科学城,2室2厅 ,79.21, 南 , 精装 ,32,2015, 塔楼,96, 10个月以前发布,1520000.0,"19,190元/平",VR看装修 房本满两年 
岭南林语满五唯一 楼层好保养好 业主诚心出*,保利越秀岭南林语,科学城,2室2厅 ,75.78, 东北 , 精装 ,32,2016, 塔楼,10, 3个月以前发布,2700000.0,"35,630元/平",VR看装修 房本满五年 
满五唯一省重税，鱼珠CBD旁，楼龄新，易上车,金碧世纪花园,大沙地,2室1厅 ,63.99, 北 , 精装 ,32,2005, 塔楼,4, 1个月以前发布,2900000.0,"45,320元/平",VR房源 房本满五年 
包增值税 小区中间位置 安静无遮挡 业主诚心出,中海誉城南苑,香雪,2室1厅 ,79.82, 北 , 精装 ,33,2015, 塔楼,29, 4个月以前发布,2520000.0,"31,572元/平",VR看装修 房本满两年 
高楼层，视野宽阔，全屋定制新装修，产权清晰满五唯一,金碧世纪花园,大沙地,2室1厅 ,64.32, 北 , 精装 ,32,2006, 塔楼,2, 1个月以前发布,3150000.0,"48,974元/平",VR房源 房本满五年 
岭南林语 两房含车位出 265含车位,保利越秀岭南林语,科学城,2室1厅 ,76.4, 北 , 其他 ,32,2016, 塔楼,6, 2个月以前发布,2600000.0,"34,032元/平",VR看装修 房本满五年 
格局方正 高层南向 采光通风好 满五唯一 精装修保养好,珠江嘉园,科学城,2室2厅 ,79.5, 南 , 精装 ,32,2015, 塔楼,14, 2个月以前发布,1650000.0,"20,755元/平",VR看装修 房本满五年 
5号线文冲地铁口  万科城市花园 户型方正  过五唯一,万科城市花园,文冲,2室1厅 ,70.23, 西南 , 精装 ,11,2003, 塔楼,45, 6个月以前发布,2900000.0,"41,176元/平",近地铁 VR看装修 房本满五年 
南北对流格局、视野宽阔、采光充足、配套设施齐全。,雅居乐富春山居,科学城,4室2厅 ,242.36, 南 北 , 精装 ,25,2016, 塔楼,20, 一年前发布,7240000.0,"29,869元/平",近地铁 VR房源 房本满两年 
东荟城  大三房，视野开阔，望小区园林，装修保养好,万科东荟城,香雪,3室2厅 ,98.32, 南 , 精装 ,28,2015, 塔楼,2, 2个月以前发布,3850000.0,"39,158元/平",VR看装修 房本满两年 
满五不唯一，小区门口位，南向看别墅,龙光峰景华庭,科学城,3室2厅 ,92.27, 南 , 简装 ,18,2009, 塔楼,1, 1个月以前发布,2630000.0,"28,463元/平",VR看装修 房本满五年 
东荟城南向大3房 中高楼层 近地铁 视野无遮挡,万科东荟城,香雪,3室2厅 ,98.57, 南 , 精装 ,33,2016, 塔楼,17, 10个月以前发布,3850000.0,"39,059元/平",VR看装修 房本满两年 
中海北苑，满五2房，自带40方独立平台花园,中海誉城北苑,香雪,2室2厅 ,76.53, 北 , 精装 ,33,2012, 塔楼,20, 10个月以前发布,2250000.0,"29,401元/平",VR看装修 房本满五年 
奥园春晓 3室2厅 南,奥园春晓,科学城,3室2厅 ,89.86, 南 , 其他 ,18,2014, 塔楼,4, 5个月以前发布,3200000.0,"35,611元/平",VR看装修 房本满两年 
岭南林语自住两房保养好 中高楼层 望自然山体,保利越秀岭南林语,科学城,2室2厅 ,76.3, 南 北 , 精装 ,32,2016, 塔楼,28, 5个月以前发布,2620000.0,"34,339元/平",VR看装修 房本满五年 
春树里刚需小三房 环境舒适 采光好  阳台看公园,时代春树里,香雪,3室2厅 ,81.71, 东北 , 精装 ,35,2017, 塔楼,53, 3个月以前发布,2480000.0,"30,352元/平",VR看装修 房本满两年 
东南两房安静望花园 视野无遮挡采光充足 新装修保养好,万科新里程,科学城,2室2厅 ,77.07, 南 , 精装 ,25,2009, 塔楼,9, 2个月以前发布,2590000.0,"33,601元/平",VR看装修 房本满两年 
南向三房 望小区园林 安静舒适 通风采光好,科城山庄峻森园,科学城,3室2厅 ,88.62, 南 , 精装 ,18,2015, 塔楼,2, 1个月以前发布,3470000.0,"39,118元/平",VR房源 房本满两年 
实用3房，植树公园美景尽收眼里，全屋定制,时代春树里,香雪,3室2厅 ,81.75, 北 , 精装 ,34,2016, 塔楼,6, 3个月以前发布,2700000.0,"33,028元/平",VR看装修 房本满两年 
小三房户型 满五唯一 自住保养好,万科东荟城,香雪,3室2厅 ,86.8, 南 , 精装 ,23,2016, 塔楼,12, 4个月以前发布,3500000.0,"40,323元/平",VR看装修 房本满五年 
含车位 业主诚心放卖 楼层好 望花园 含全屋定制家私,万科幸福誉,知识城,3室2厅 ,88.72, 南 , 精装 ,34,2014, 板塔结合,7, 1个月以前发布,2650000.0,"29,870元/平",近地铁 VR看装修 房本满两年 
锦林南北对流三房，带前后花园，位置安静，少有放卖,锦林山庄,科学城,3室2厅 ,93.8, 南 , 精装 ,3, 塔楼 , 联排别墅 ,3, 1个月以前发布,2640000.0,"28,056元/平",VR房源 房本满五年 
实用小三房 方正户型 税费可谈 业主自住,时代春树里,香雪,3室2厅 ,82.0, 东 东北 , 精装 ,35,2017, 塔楼,18, 3个月以前发布,2480000.0,"30,244元/平",VR看装修 房本满两年 
A区大三房通风采光好 近地铁 视野开阔  满五唯一,万科东荟城,香雪,3室2厅 ,100.0, 东南 , 精装 ,33,2016, 塔楼,9, 2个月以前发布,3900000.0,"39,000元/平",VR看装修 房本满五年 
金梦安静2房，保养好，无欠款包增,万科金色梦想,香雪,2室2厅 ,64.93, 西北 , 精装 ,34,2015, 板塔结合,14, 6个月以前发布,2220000.0,"34,191元/平",VR看装修 房本满两年 
万科东荟城，C10栋小区中间位置，精装修3房看小区花园,万科东荟城,香雪,3室1厅 ,85.79, 北 , 精装 ,33,2016, 塔楼,1, 1个月以前发布,3180000.0,"37,068元/平",VR看装修 房本满五年 
万科金色梦想 3室2厅 南,万科金色梦想,香雪,3室2厅 ,95.46, 南 , 其他 ,34,2015, 板塔结合,0,15,3400000.0,"35,618元/平",VR看装修 房本满两年 
房源位置好，安静不吵，视野开阔，业主诚意出,万科东荟城,香雪,2室1厅 ,76.1, 西北 , 精装 ,33,2016, 塔楼,0,10,3000000.0,"39,422元/平",VR看装修 房本满两年 
凯信东方华庭两房。方正户型，中间楼层看房方便,凯信东方华庭,开发东区,2室1厅 ,79.9, 北 , 其他 ,17,2005, 塔楼,1,11,1890000.0,"23,655元/平",近地铁 VR看装修 房本满五年 
金融街东南向三房，房东自住，房子保养好,金融街融穗御府,科学城,3室2厅 ,84.58, 南 东南 , 精装 ,30,2016, 塔楼,0,7,3260000.0,"38,544元/平",VR房源 房本满两年 
悦禧电梯高层两房，业主急卖。近天河,富力悦禧花园,开发东区,2室1厅 ,75.1, 北 , 精装 ,33,2015, 塔楼,0,14,2000000.0,"26,632元/平",VR房源 房本满两年 
此房产权清晰，位于小区门口，舒适。,龙光峰景华庭,科学城,3室2厅 ,89.6, 东 , 其他 ,18,2009, 塔楼,1,14,2560000.0,"28,463元/平",VR看装修 房本满五年 
富力悦禧高层南北对流大三房，南望山景，北靠花园,富力悦禧花园,开发东区,3室2厅 ,98.98, 南 , 其他 ,33,2017, 塔楼,0,12,2900000.0,"29,299元/平",VR看装修 房本满两年 
房子动静分离，中楼层南向三房，小区人口密度低,科城山庄锦泽园,科学城,3室2厅 ,101.63, 南 北 , 精装 ,18,2015, 塔楼,0,8,3980000.0,"39,118元/平",近地铁 VR看装修 房本满五年 
品牌开发商 金梦南向三房 自住保养好,万科金色梦想,香雪,3室2厅 ,94.65, 南 , 精装 ,29,2015, 板塔结合,0,13,3480000.0,"36,768元/平",VR看装修 房本满两年 
中海誉城南苑 三房二卫 满五唯一 望花园,中海誉城南苑,香雪,3室2厅 ,95.17, 南 , 其他 ,33,2015, 塔楼,1,13,3372000.0,"35,432元/平",VR看装修 房本满五年 
南向大三房，户型方正，采光好交通便利配套设施齐全,越秀岭南山畔,科学城,3室1厅 ,130.64, 南 , 精装 ,32,2014, 塔楼,0,12,4210000.0,"32,175元/平",近地铁 VR看装修 房本满两年 
房源位置好，望小区花园，安静不吵，装修保养好,万科东荟城,香雪,4室1厅 ,123.68, 南 , 其他 ,28,2016, 塔楼,0,14,5280000.0,"42,691元/平",VR房源 房本满五年 
怡港花园 满五年 中高层光线好 厅出阳台 新装修保养好,怡港花园,黄埔区府,2室1厅 ,73.76, 东 , 其他 ,9,1999, 塔楼,0,13,2480000.0,"33,509元/平",近地铁 VR房源 房本满五年 
园中园中层南北对流三房 安静景观好 证满五年 无抵押,怡港花园,黄埔区府,3室1厅 ,99.62, 南 北 , 简装 ,11,2002, 塔楼,100,8,3340000.0,"33,509元/平",近地铁 VR房源 房本满五年 
东城雅苑电梯南向大三房，中高楼层，楼栋无遮挡,东城雅苑,开发东区,3室2厅 ,131.3, 南 , 简装 ,21,2005, 塔楼,0,13,2900000.0,"22,087元/平",VR房源 房本满五年 
东港花园 近地铁 南向大三房 电梯高层,东港花园,文冲,3室2厅 ,92.79, 东南 , 精装 ,24,2013, 塔楼,0,13,4000000.0,"43,109元/平",近地铁 VR看装修 房本满五年 
万科东荟城东南向安静大三房，满五唯一,万科东荟城,香雪,3室2厅 ,100.0, 南 , 精装 ,32,2016, 板塔结合,0,9,4300000.0,"43,000元/平",VR看装修 房本满五年 
常春藤四房，南向看花园，视野开阔,实地常春藤,科学城,4室2厅 ,118.09, 东南 , 其他 ,32,2017, 塔楼,0,12,2990000.0,"25,320元/平",VR房源 房本满两年 
实地常春藤 3室1厅 北,实地常春藤,科学城,3室1厅 ,95.73, 北 , 其他 ,32,2015, 塔楼,0,9,2150000.0,"22,459元/平",VR房源 房本满两年 
龙光安静南向三房，户型方正，配套齐全,龙光峰景华庭,科学城,3室1厅 ,91.57, 西南 , 精装 ,18,2009, 塔楼,0,9,2610000.0,"28,463元/平",VR房源 房本满五年 
实地常春藤 小区中间位置 东南向三房,实地常春藤,科学城,3室2厅 ,90.35, 东南 , 精装 ,33,2017, 塔楼,0,11,2200000.0,"24,350元/平",VR看装修 房本满两年 
黄陂地铁口 中间楼栋 安静舒适 有车位可带,雅居乐富春山居,科学城,5室3厅 ,329.61, 南 北 , 其他 ,25,2016, 塔楼,0,15,9850000.0,"29,869元/平",近地铁 VR房源 房本满五年 
中间楼层，望花园，视野开阔，装修保养好，出入方便,万科东荟城,香雪,2室2厅 ,70.36, 东北 , 精装 ,33,2016, 塔楼,0,7,2750000.0,"39,085元/平",VR房源 房本满两年 
时代春树里四房  南向 单边位  通风采光好,时代春树里,香雪,4室2厅 ,113.0, 南 , 其他 ,27,2016, 塔楼,0,4,3900000.0,"34,514元/平",VR看装修 房本满两年 
爱特城精装两房，望小区园林景观好，位置安静不吵,越秀保利爱特城,香雪,2室1厅 ,72.2, 东北 , 其他 ,32,2016, 塔楼,0,8,2000000.0,"27,701元/平",VR看装修 房本满两年 
自住装修标准高，南向三房，户型方正实用。诚心卖,越秀保利爱特城,香雪,3室2厅 ,100.02, 东南 , 其他 ,32,2016, 塔楼,0,6,3000000.0,"29,995元/平",VR看装修 房本满两年 
南向江景 金融城次新 保利学府里 独栋单边 央企开发,保利学府里,大沙地,3室1厅 ,102.5, 南 , 其他 ,32,2015, 塔楼,1,6,6500000.0,"63,415元/平",近地铁 VR看装修 房本满两年 
