此小区位于广州后花园之都从化流溪河。,翰林国际,旧城区,4室2厅 ,118.34, 南 , 精装 ,11,2018, 板楼,14, 10个月以前发布,1080000.0,"9,127元/平",VR看装修 房本满两年 随时看房 
流溪河边 环境优美 实用率高 95方105*,珠光流溪御景,赤草,3室1厅 ,95.94, 北 , 毛坯 ,7,2013, 暂无数据,12, 一年前发布,830000.0,"8,652元/平",VR房源 房本满五年 随时看房 
厅出阳台阳台开阔无遮挡，小区环境安静优美,珠光流溪御景,赤草,3室2厅 ,113.5, 南 北 , 精装 ,26,2012, 塔楼,24, 一年前发布,1300000.0,"11,454元/平",VR看装修 房本满两年 随时看房 
大城云山 楼层好 地铁700米 毛坯可自行装修喜欢的风格,大城云山,太平镇,3室2厅 ,96.28, 东北 , 毛坯 ,11,2013, 塔楼,80, 10个月以前发布,1100000.0,"11,426元/平",近地铁 VR看装修 房本满五年 随时看房 
花林湖畔实用三房 月供轻松，业主换房急着转让,利泰花林湖畔,鳌头镇,3室2厅 ,99.0, 北 , 毛坯 ,9,2012, 塔楼,7, 11个月以前发布,700000.0,"7,071元/平",VR看装修 房本满两年 随时看房 
此房满五年，正南向大三房大厅，采光好，急*格便宜,逸泉山庄,赤草,3室2厅 ,135.05, 南 , 毛坯 ,5,2006, 暂无数据,15, 一年前发布,1650000.0,"12,218元/平",近地铁 VR看装修 房本满五年 随时看房 
四面环山   空气清新   青山绿水,景业荔都,江浦街,2室2厅 ,87.02, 西北 , 精装 ,26,2017, 塔楼,9, 5个月以前发布,590000.0,"6,781元/平",VR房源 房本满两年 随时看房 
成熟地段，出行便捷，格局方正，景观美好,盛会青云府,江浦街,3室2厅 ,118.54, 东北 , 精装 ,18,2015, 塔楼,7, 5个月以前发布,2380000.0,"20,078元/平",近地铁 VR房源 房本满两年 随时看房 
业主诚心卖，证过五不唯一。。。。。。。。,珠光流溪御景,赤草,3室2厅 ,105.0, 南 东南 , 简装 ,6,2010, 板塔结合,88, 9个月以前发布,890000.0,"8,477元/平",VR看装修 房本满两年 随时看房 
电梯南向  2梯4户  南北对流,云星钱隆天誉,太平镇,3室2厅 ,117.76, 南 , 毛坯 ,25,2017, 塔楼,1, 一年前发布,1450000.0,"12,314元/平",VR看装修 房本满两年 随时看房 
小区绿化好，交通便利，生活配套成熟,人盛巴厘天地,神岗镇,3室1厅 ,124.91, 东南 , 毛坯 ,17,2012, 塔楼,0, 10个月以前发布,1200000.0,"9,607元/平",VR看装修 房本满两年 随时看房 
此物业是地铁口，高速路口，生活方便。,上城湾畔东区,江浦街,3室1厅 ,95.5, 南 , 其他 ,15,2008, 塔楼,6, 11个月以前发布,1700000.0,"17,802元/平",近地铁 VR看装修 房本满两年 随时看房 
紧靠派街高速要道  交通方便  轻松进入广州繁华圈,雅居乐小院流溪,赤草,4室2厅 ,147.39, 南 , 毛坯 ,18,2015, 塔楼,3, 11个月以前发布,1550000.0,"10,517元/平",VR看装修 房本满两年 随时看房 
叠厅设计户型新意，大四房，采光好,珠江壹城,神岗镇,4室2厅 ,144.75, 东南 , 精装 ,28,2017, 板塔结合,4, 2个月以前发布,1540000.0,"10,640元/平",近地铁 VR看装修 房本满两年 随时看房 
大城云山 地铁口物业 毛坯三房 朝南 满五年,大城云山,太平镇,3室2厅 ,111.73, 东南 , 毛坯 ,17,2016, 塔楼,21, 一年前发布,1230000.0,"11,009元/平",近地铁 VR看装修 房本满五年 随时看房 
紫泉翠荔嘉园  南北对流   户型方正,紫泉翠荔嘉园,太平镇,3室2厅 ,89.77, 南 , 精装 ,6,2007, 塔楼,19, 一年前发布,1280000.0,"14,259元/平",VR看装修 房本满五年 随时看房 
怡景楼 生活方便 交通便利 看房方便,从化怡景楼,太平镇,3室2厅 ,111.96, 东南 , 其他 ,8,2010, 塔楼,0, 1个月以前发布,1050000.0,"9,379元/平",VR房源 房本满五年 随时看房 
电梯大三房 中高楼层 采光充足 业主诚心卖,大城云山,太平镇,3室2厅 ,113.59, 南 北 , 毛坯 ,11,2016, 塔楼,0, 一年前发布,1500000.0,"13,206元/平",近地铁 VR看装修 房本满五年 随时看房 
地铁口 出小区门口105国道，交通便利，视野宽阔,大城云山,太平镇,2室2厅 ,92.63, 东南 , 精装 ,17,2016, 塔楼,32, 一年前发布,1150000.0,"12,415元/平",近地铁 VR看装修 房本满五年 随时看房 
大城云山 近地铁口 南向视野开阔 大三房,大城云山,太平镇,3室2厅 ,121.6, 南 , 毛坯 ,22,2018, 塔楼,0, 一年前发布,1400000.0,"11,514元/平",近地铁 VR看装修 房本满两年 随时看房 
楼层好，南北对流，格局好，视野宽,紫泉翠荔嘉园,太平镇,3室2厅 ,90.34, 南 北 , 精装 ,6,2006, 板楼,9, 2个月以前发布,1060000.0,"11,734元/平",VR看装修 房本满五年 随时看房 
小区绿化好，交通便利，生活配套成熟,人盛巴厘天地,神岗镇,3室2厅 ,127.03, 东南 , 毛坯 ,17,2012, 塔楼,2, 一年前发布,1070000.0,"8,424元/平",VR看装修 房本满五年 随时看房 
电梯洋房，小区管理3房2厅2卫。,荔林春晓,太平镇,3室2厅 ,94.33, 南 , 毛坯 ,18,2016, 塔楼,2, 一年前发布,1260000.0,"13,358元/平",近地铁 VR看装修 房本满两年 随时看房 
大城云山 楼层好 地铁700米 毛坯可自行装修喜欢的风格,大城云山,太平镇,3室2厅 ,96.28, 东北 , 毛坯 ,11,2013, 塔楼,80, 10个月以前发布,1100000.0,"11,426元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五年，正南向大三房大厅，采光好，急*格便宜,逸泉山庄,赤草,3室2厅 ,135.05, 南 , 毛坯 ,5,2006, 暂无数据,15, 一年前发布,1650000.0,"12,218元/平",近地铁 VR看装修 房本满五年 随时看房 
四面环山   空气清新   青山绿水,景业荔都,江浦街,2室2厅 ,87.02, 西北 , 精装 ,26,2017, 塔楼,9, 5个月以前发布,590000.0,"6,781元/平",VR房源 房本满两年 随时看房 
成熟地段，出行便捷，格局方正，景观美好,盛会青云府,江浦街,3室2厅 ,118.54, 东北 , 精装 ,18,2015, 塔楼,7, 5个月以前发布,2380000.0,"20,078元/平",近地铁 VR房源 房本满两年 随时看房 
业主诚心卖，证过五不唯一。。。。。。。。,珠光流溪御景,赤草,3室2厅 ,105.0, 南 东南 , 简装 ,6,2010, 板塔结合,88, 9个月以前发布,890000.0,"8,477元/平",VR看装修 房本满两年 随时看房 
紧靠派街高速要道  交通方便  轻松进入广州繁华圈,雅居乐小院流溪,赤草,4室2厅 ,147.39, 南 , 毛坯 ,18,2015, 塔楼,3, 11个月以前发布,1550000.0,"10,517元/平",VR看装修 房本满两年 随时看房 
小区绿化好，交通便利，生活配套成熟,人盛巴厘天地,神岗镇,3室1厅 ,124.91, 东南 , 毛坯 ,17,2012, 塔楼,0, 10个月以前发布,1200000.0,"9,607元/平",VR看装修 房本满两年 随时看房 
电梯南向  2梯4户  南北对流,云星钱隆天誉,太平镇,3室2厅 ,117.76, 南 , 毛坯 ,25,2017, 塔楼,1, 一年前发布,1450000.0,"12,314元/平",VR看装修 房本满两年 随时看房 
此物业是地铁口，高速路口，生活方便。,上城湾畔东区,江浦街,3室1厅 ,95.5, 南 , 其他 ,15,2008, 塔楼,6, 11个月以前发布,1700000.0,"17,802元/平",近地铁 VR看装修 房本满两年 随时看房 
巴厘天地三房，户型方正，采光好，居住舒适,人盛巴厘天地,神岗镇,3室2厅 ,104.93, 东南 , 毛坯 ,17,2011, 塔楼,2, 一年前发布,920000.0,"8,768元/平",VR看装修 房本满五年 随时看房 
精装修，温馨两房，碧桂园物业，安全舒心,君源御湖城,江浦街,2室2厅 ,80.28, 东北 , 精装 ,16,2012, 塔楼,1, 1个月以前发布,700000.0,"8,720元/平",VR看装修 房本满五年 随时看房 
花林湖畔实用三房，南向，业主换房诚意放卖,利泰花林湖畔,鳌头镇,3室2厅 ,99.99, 南 , 毛坯 ,11,2012, 塔楼,3, 10个月以前发布,750000.0,"7,501元/平",VR看装修 房本满五年 随时看房 
配套齐全，有公园，有河堤散步，距离地铁口,雅居乐滨江花园,江浦街,3室2厅 ,118.0, 南 , 毛坯 ,11,2007, 塔楼,4, 11个月以前发布,2320000.0,"19,662元/平",近地铁 VR看装修 房本满五年 随时看房 
户型方正，格局通透，采光好，望花园,人盛巴厘天地,神岗镇,3室2厅 ,101.65, 东 , 毛坯 ,17,2013, 塔楼,1, 一年前发布,1100000.0,"10,822元/平",VR看装修 房本满五年 随时看房 
地铁口  低密度四合围院  大四房 买一层多一层用,荔山雅筑,赤草,4室2厅 ,126.53, 东 西 , 毛坯 ,6,2008, 板楼,11, 一年前发布,1480000.0,"11,697元/平",VR看装修 房本满两年 随时看房 
精装修 很少住 楼层好 视野宽阔 采光充好,名城御景绿洲,江浦街,3室2厅 ,122.25, 北 , 精装 ,27,2014, 塔楼,2, 6个月以前发布,1750000.0,"14,315元/平",近地铁 VR看装修 房本满两年 随时看房 
满五唯一税费低，实用率高，格局方正，毛坯四房大阳台,逸泉山庄,赤草,4室2厅 ,151.48, 南 北 , 毛坯 ,15,2010, 塔楼,9, 一年前发布,1780000.0,"11,751元/平",近地铁 VR看装修 房本满五年 随时看房 
逸泉映翠温馨三房，户型实用，望花园中层，安静舒适,逸泉映翠,江浦街,3室2厅 ,94.03, 北 , 毛坯 ,24,2015, 塔楼,1, 8个月以前发布,950000.0,"10,104元/平",VR看装修 房本满两年 随时看房 
珠光御景山水城实用三房 楼栋位置好 望花园,珠光御景山水城,江浦街,3室2厅 ,91.57, 北 , 毛坯 ,18,2013, 塔楼,3, 6个月以前发布,880000.0,"9,611元/平",VR看装修 房本满两年 随时看房 
叠墅中间位 南北对流户型 视线好,大城云山,太平镇,3室2厅 ,134.52, 东南 , 毛坯 ,3, 塔楼 , 联排别墅 ,1, 5个月以前发布,1980000.0,"14,720元/平",近地铁 VR房源 房本满两年 随时看房 
采光户型格局好，前后花园方正实用，毛坯可塑性强,逸泉山庄,赤草,4室2厅 ,142.46, 东南 , 毛坯 ,3,2010, 板塔结合,34, 一年前发布,2800000.0,"19,655元/平",VR房源 房本满五年 随时看房 
房子满五唯一低税，户型方正实用，高层视野开阔无遮挡,珠光流溪御景,赤草,3室2厅 ,113.52, 北 , 毛坯 ,23,2012, 板楼,9, 一年前发布,1200000.0,"10,571元/平",VR看装修 房本满五年 随时看房 
御湖城 三房靓户型 业主着急出手 看房方便 靓楼层,君源御湖城,江浦街,3室2厅 ,99.26, 东南 , 毛坯 ,16,2012, 塔楼,0, 2个月以前发布,850000.0,"8,564元/平",VR看装修 房本满五年 随时看房 
小区配套设施齐全，生活便利，入住率高，环境好。,珠光流溪御景,赤草,4室2厅 ,263.25, 南 , 其他 ,3,2015, 暂无数据,3, 9个月以前发布,3800000.0,"14,435元/平",VR房源 房本满两年 随时看房 
精装修，温馨两房，碧桂园物业，安全舒心,君源御湖城,江浦街,2室2厅 ,80.28, 东北 , 精装 ,16,2012, 塔楼,1, 1个月以前发布,700000.0,"8,720元/平",VR看装修 房本满五年 随时看房 
地铁口别·墅 三面采光 大花园 带车库,逸泉山庄,赤草,5室2厅 ,205.0, 南 , 毛坯 ,3,2005, 暂无数据,16, 一年前发布,4160000.0,"20,293元/平",VR房源 房本满五年 随时看房 
君源御湖城 6室3厅 南 北,君源御湖城,江浦街,6室3厅 ,373.81, 南 北 , 毛坯 ,4,2013, 塔楼,0, 7个月以前发布,4000000.0,"10,701元/平",VR房源 房本满两年 随时看房 
精装修 很少住 楼层好 视野宽阔 采光充好,名城御景绿洲,江浦街,3室2厅 ,122.25, 北 , 精装 ,27,2014, 塔楼,2, 6个月以前发布,1750000.0,"14,315元/平",近地铁 VR看装修 房本满两年 随时看房 
巴厘天地，绿化较高，适合居住。,人盛巴厘天地,神岗镇,3室2厅 ,128.98, 南 , 其他 ,17,2012, 塔楼,1, 一年前发布,1630000.0,"12,638元/平",VR看装修 房本满五年 随时看房 
满五唯一税费低，实用率高，格局方正，毛坯四房大阳台,逸泉山庄,赤草,4室2厅 ,151.48, 南 北 , 毛坯 ,15,2010, 塔楼,9, 一年前发布,1780000.0,"11,751元/平",近地铁 VR看装修 房本满五年 随时看房 
户型方正  采光通透  此房满五唯一,紫泉翠荔嘉园,太平镇,3室2厅 ,90.56, 东南 , 毛坯 ,6,2008, 塔楼,1, 3个月以前发布,950000.0,"10,491元/平",VR看装修 房本满五年 随时看房 
逸泉映翠 南北对流户型 靓楼层 单边位 格局方正 实用,逸泉映翠,江浦街,3室2厅 ,136.62, 南 , 毛坯 ,24,2015, 塔楼,6, 11个月以前发布,1200000.0,"8,784元/平",VR看装修 房本满五年 随时看房 
巴厘天地三房，户型方正，采光好，居住舒适,人盛巴厘天地,神岗镇,3室2厅 ,104.93, 东南 , 毛坯 ,17,2011, 塔楼,2, 一年前发布,920000.0,"8,768元/平",VR看装修 房本满五年 随时看房 
户型方正，格局通透，采光好，望花园,人盛巴厘天地,神岗镇,3室2厅 ,101.65, 东 , 毛坯 ,17,2013, 塔楼,1, 一年前发布,1100000.0,"10,822元/平",VR看装修 房本满五年 随时看房 
地铁口，视野开阔，可做复式，南北对流，配套成熟,逸泉山庄,赤草,3室1厅 ,95.0, 南 , 精装 ,15,2011, 塔楼,7, 一年前发布,1280000.0,"13,474元/平",近地铁 VR看装修 房本满两年 随时看房 
地铁口  低密度四合围院  大四房 买一层多一层用,荔山雅筑,赤草,4室2厅 ,126.53, 东 西 , 毛坯 ,6,2008, 板楼,11, 一年前发布,1480000.0,"11,697元/平",VR看装修 房本满两年 随时看房 
小城大院 2室1厅 北,小城大院,旺城片区,2室1厅 ,83.54, 北 , 毛坯 ,22,2011, 塔楼,1, 4个月以前发布,1180000.0,"14,125元/平",VR看装修 房本满两年 随时看房 
望流溪河   户型方正   采光好   2梯3户,紫泉流溪湾,太平镇,3室1厅 ,128.77, 西南 , 毛坯 ,17,2015, 板楼,3, 一年前发布,1800000.0,"13,979元/平",VR看装修 房本满两年 随时看房 
南向大三房，一梯两户，业主急*,紫泉流溪湾,太平镇,3室2厅 ,137.71, 东南 , 毛坯 ,10,2016, 板楼,6, 一年前发布,1650000.0,"11,982元/平",VR看装修 房本满五年 随时看房 
2梯4户，景色优美，格局通透，采光充足,紫泉流溪湾,太平镇,3室2厅 ,89.63, 东南 , 毛坯 ,15,2015, 板楼,9, 一年前发布,1050000.0,"11,715元/平",VR看装修 房本满五年 随时看房 
高楼层空气对流 视野开阔三房两厅一卫,荔林春晓,太平镇,3室2厅 ,81.82, 东南 , 毛坯 ,18,2016, 塔楼,18, 一年前发布,1160000.0,"14,178元/平",近地铁 VR看装修 房本满两年 随时看房 
小三房，带前后花园，简装，格局方正。,紫泉流溪湾,太平镇,3室2厅 ,88.63, 东南 , 简装 ,17,2016, 板楼,13, 一年前发布,1400000.0,"15,797元/平",VR房源 房本满五年 随时看房 
东方夏湾拿边位大花园别墅，南北对流，视野开阔,东方夏湾拿,太平镇,5室2厅 ,275.78, 东南 北 , 毛坯 ,3, 板塔结合 , 独栋别墅 ,6, 6个月以前发布,4800000.0,"17,406元/平",VR房源 房本满两年 随时看房 
上城湾畔  单证114方 带主套 有装修,上城湾畔东区,江浦街,3室2厅 ,114.65, 北 , 精装 ,15,2009, 塔楼,18, 11个月以前发布,1750000.0,"15,264元/平",近地铁 VR看装修 房本满五年 随时看房 
小区绿化的环境好 生活配件完善,紫泉翠荔嘉园,太平镇,3室1厅 ,90.99, 西南 , 精装 ,18,2010, 塔楼,4, 6个月以前发布,1100000.0,"12,090元/平",VR看装修 房本满五年 随时看房 
东南向中高楼层/流溪河边景观/无遮挡/免征豪-宅-税,珠光流溪御景,赤草,3室2厅 ,128.55, 东南 , 毛坯 ,18,2014, 塔楼,3, 4个月以前发布,1340000.0,"10,424元/平",VR看装修 房本满两年 随时看房 
富力泉天下 4室2厅 东南 南 东北,富力泉天下,温泉镇,4室2厅 ,218.83, 东南 南 东北 , 精装 ,3,2015, 塔楼,2, 5个月以前发布,3880000.0,"17,731元/平",VR房源 房本满两年 随时看房 
从化温泉望谷       温馨2房2厅,望谷温泉小镇,温泉镇,2室2厅 ,87.02, 西北 , 毛坯 ,18,2013, 塔楼,10, 一年前发布,580000.0,"6,666元/平",VR房源 房本满五年 随时看房 
西南朝向，视野宽阔，通透格局，楼层好,大城云山,太平镇,3室2厅 ,111.63, 西南 , 毛坯 ,17,2016, 塔楼,0, 一年前发布,1560000.0,"13,975元/平",近地铁 VR看装修 房本满两年 随时看房 
此房产权清晰，南北对流的户型，单边位，视野好。,雅居乐小院流溪,赤草,4室2厅 ,148.54, 南 北 , 毛坯 ,16,2015, 塔楼,16, 7个月以前发布,1300000.0,"8,752元/平",VR看装修 房本满五年 随时看房 
西南向，包车位精装拎包入住，多额外20平望江的房子,雅居乐小院流溪,赤草,4室1厅 ,116.43, 西南 , 精装 ,18,2013, 板塔结合,9, 一年前发布,1500000.0,"12,884元/平",VR看装修 房本满五年 随时看房 
全明户型  南北对流户型  正规4居室,富力泉天下,温泉镇,4室4厅 ,218.0, 南 , 毛坯 ,3,2014, 塔楼,14, 一年前发布,2150000.0,"9,863元/平",VR房源 房本满两年 随时看房 
上城湾畔C区别墅 4室2厅 东南,上城湾畔C区别墅,江浦街,4室2厅 ,349.0, 东南 , 毛坯 ,3, 板塔结合 , 独栋别墅 ,6, 11个月以前发布,4650000.0,"13,324元/平",VR房源 房本满五年 随时看房 
雅居乐物业，地铁口，大四房近江边，业主诚心卖。,雅居乐小院流溪,赤草,4室2厅 ,148.54, 东南 西北 , 毛坯 ,16,2015, 塔楼,2, 2个月以前发布,1550000.0,"10,435元/平",VR看装修 房本满五年 随时看房 
雅居乐开发管理 流溪河边 近地铁口 南北对流,雅居乐小院流溪,赤草,5室2厅 ,291.0, 西南 东北 , 毛坯 ,3, 塔楼 , 联排别墅 ,1, 2个月以前发布,3200000.0,"10,997元/平",VR房源 房本满五年 随时看房 
东方夏湾拿边位大花园别墅，视野开阔，环境幽雅,东方夏湾拿,太平镇,3室2厅 ,205.65, 西南 , 简装 ,3,2009, 板塔结合,16, 一年前发布,3900000.0,"18,965元/平",VR房源 房本满五年 随时看房 
地铁口，环境好，交通便利，宜居宜商,大城云山,太平镇,2室2厅 ,81.96, 南 , 毛坯 ,9,2016, 塔楼,26, 一年前发布,980000.0,"11,958元/平",近地铁 VR看装修 房本满五年 随时看房 
绿化高环境好，格局方正适合中老年人居住。,人盛巴厘天地,神岗镇,2室2厅 ,72.37, 南 东北 , 简装 ,17,2012, 塔楼,1, 一年前发布,750000.0,"10,364元/平",VR看装修 房本满两年 随时看房 
地铁14号线电梯小区房业主急出*,人盛巴厘天地,神岗镇,3室1厅 ,117.0, 南 , 毛坯 ,17,2012, 塔楼,2, 一年前发布,1250000.0,"10,684元/平",VR看装修 房本满五年 随时看房 
雅居乐小院流溪 4室2厅 南 北,雅居乐小院流溪,赤草,4室2厅 ,193.9, 南 北 , 毛坯 ,4,2014, 塔楼,1, 4个月以前发布,2150000.0,"11,089元/平",VR看装修 房本满两年 随时看房 
南向大三房，一梯两户，业主急*,紫泉流溪湾,太平镇,3室2厅 ,137.71, 东南 , 毛坯 ,10,2016, 板楼,6, 一年前发布,1650000.0,"11,982元/平",VR看装修 房本满五年 随时看房 
高楼层空气对流 视野开阔三房两厅一卫,荔林春晓,太平镇,3室2厅 ,81.82, 东南 , 毛坯 ,18,2016, 塔楼,18, 一年前发布,1160000.0,"14,178元/平",近地铁 VR看装修 房本满两年 随时看房 
小三房，带前后花园，简装，格局方正。,紫泉流溪湾,太平镇,3室2厅 ,88.63, 东南 , 简装 ,17,2016, 板楼,13, 一年前发布,1400000.0,"15,797元/平",VR房源 房本满五年 随时看房 
2梯4户，景色优美，格局通透，采光充足,紫泉流溪湾,太平镇,3室2厅 ,89.63, 东南 , 毛坯 ,15,2015, 板楼,9, 一年前发布,1050000.0,"11,715元/平",VR看装修 房本满五年 随时看房 
户型方正  采光通透  此房满五唯一,紫泉翠荔嘉园,太平镇,3室2厅 ,90.56, 东南 , 毛坯 ,6,2008, 塔楼,1, 3个月以前发布,950000.0,"10,491元/平",VR看装修 房本满五年 随时看房 
望流溪河   户型方正   采光好   2梯3户,紫泉流溪湾,太平镇,3室1厅 ,128.77, 西南 , 毛坯 ,17,2015, 板楼,3, 一年前发布,1800000.0,"13,979元/平",VR看装修 房本满两年 随时看房 
风云岭湿地公园就在小区门口，户型好近市区,雍禾苑,新城片区,3室2厅 ,88.6, 东北 , 毛坯 ,18,2012, 塔楼,2, 5个月以前发布,1265000.0,"14,278元/平",VR看装修 房本满五年 随时看房 
雅居乐开发管理 流溪河边 近地铁口 大四房,雅居乐小院流溪,赤草,3室2厅 ,140.71, 南 , 毛坯 ,17,2013, 塔楼,1, 一年前发布,1700000.0,"12,082元/平",VR看装修 房本满两年 随时看房 
上城湾畔C区别墅 4室2厅 东南,上城湾畔C区别墅,江浦街,4室2厅 ,349.0, 东南 , 毛坯 ,3, 板塔结合 , 独栋别墅 ,6, 11个月以前发布,4650000.0,"13,324元/平",VR房源 房本满五年 随时看房 
低楼层 大三房  采光好 南北对流,紫泉翠荔嘉园,太平镇,3室2厅 ,105.0, 西南 , 简装 ,6,2006, 板楼,1, 7个月以前发布,1190000.0,"11,334元/平",VR看装修 房本满五年 随时看房 
视野开阔 通风采光好 装修保养新 环境优美,富力泉天下,温泉镇,2室2厅 ,84.1, 东北 , 精装 ,18,2014, 塔楼,1, 9个月以前发布,770000.0,"9,156元/平",VR看装修 房本满五年 随时看房 
独栋别墅 楼顶能看流溪河 花园大 地势高 环境好,富力泉天下,温泉镇,5室2厅 ,228.25, 东南 , 毛坯 ,1,2012, 塔楼,0, 3个月以前发布,2620000.0,"11,479元/平",VR房源 房本满两年 随时看房 
此户型南北对流，有大露台!位置佳，安静，近人工湖。,逸泉山庄,赤草,3室2厅 ,143.97, 南 北 , 精装 ,4,2001, 塔楼,26, 一年前发布,2000000.0,"13,892元/平",近地铁 VR房源 房本满两年 随时看房 
全明户型  南北对流户型  正规4居室,富力泉天下,温泉镇,4室4厅 ,218.0, 南 , 毛坯 ,3,2014, 塔楼,14, 一年前发布,2150000.0,"9,863元/平",VR房源 房本满两年 随时看房 
西南向，包车位精装拎包入住，多额外20平望江的房子,雅居乐小院流溪,赤草,4室1厅 ,116.43, 西南 , 精装 ,18,2013, 板塔结合,9, 一年前发布,1500000.0,"12,884元/平",VR看装修 房本满五年 随时看房 
雅居乐 流溪河边  南北对流 独栋别·墅实用200%,雅居乐小院流溪,赤草,8室3厅 ,568.65, 南 北 , 毛坯 ,3, 塔楼 , 双拼别墅 ,0, 2个月以前发布,6680000.0,"11,748元/平",VR房源 房本满两年 随时看房 
西南朝向，视野宽阔，通透格局，楼层好,大城云山,太平镇,3室2厅 ,111.63, 西南 , 毛坯 ,17,2016, 塔楼,0, 一年前发布,1560000.0,"13,975元/平",近地铁 VR看装修 房本满两年 随时看房 
从化温泉望谷       温馨2房2厅,望谷温泉小镇,温泉镇,2室2厅 ,87.02, 西北 , 毛坯 ,18,2013, 塔楼,10, 一年前发布,580000.0,"6,666元/平",VR房源 房本满五年 随时看房 
紫泉翠荔嘉园  大小区  绿化好  管理好,紫泉翠荔嘉园,太平镇,3室2厅 ,89.34, 南 , 简装 ,6,2007, 塔楼,21, 一年前发布,1080000.0,"12,089元/平",VR看装修 房本满五年 随时看房 
从化温泉富力泉天下 休闲度假精装三房 一线流溪河景,富力泉天下,温泉镇,3室2厅 ,110.13, 南 , 精装 ,18,2013, 塔楼,3, 10个月以前发布,920000.0,"8,354元/平",VR看装修 房本满两年 随时看房 
电梯高层  2梯4户  时代印象旁,云星钱隆天誉,太平镇,4室2厅 ,133.78, 南 , 毛坯 ,25,2017, 塔楼,3, 6个月以前发布,1586000.0,"11,856元/平",VR看装修 房本满两年 随时看房 
地铁口四房、低密度、环境优美、雅居乐物业管理,雅居乐小院流溪,赤草,4室2厅 ,149.68, 东南 , 毛坯 ,6,2017, 塔楼,11, 10个月以前发布,1550000.0,"10,356元/平",VR看装修 房本满两年 随时看房 
此房满两年，南北对流 ，电梯两房，无遮挡。,华标荔苑,太平镇,2室2厅 ,89.65, 东北 , 毛坯 ,12,2013, 塔楼,25, 一年前发布,1180000.0,"13,163元/平",近地铁 VR看装修 房本满五年 随时看房 
业主急卖，证过二，有抵押，业主自还,雅居乐小院流溪,赤草,3室2厅 ,116.44, 北 , 毛坯 ,16,2015, 塔楼,1, 11个月以前发布,1330000.0,"11,423元/平",VR看装修 房本满两年 随时看房 
格局方正无改动，低楼层，大四房带主套。,雅居乐小院流溪,赤草,4室2厅 ,140.37, 南 , 毛坯 ,17,2013, 塔楼,1, 11个月以前发布,1250000.0,"8,906元/平",VR看装修 房本满两年 随时看房 
地铁口四房、一线河景、环境优美、雅居乐物业管理,雅居乐小院流溪,赤草,4室2厅 ,147.39, 南 北 , 毛坯 ,18,2015, 塔楼,2, 1个月以前发布,1550000.0,"10,517元/平",VR看装修 房本满两年 随时看房 
大城云山，地铁口600米东南向电梯3房,大城云山,太平镇,3室2厅 ,105.4, 东南 北 , 其他 ,22,2018, 塔楼,35, 一年前发布,1250000.0,"11,860元/平",近地铁 VR看装修 房本满两年 随时看房 
紫泉流溪湾  电梯三房  格局方正,紫泉流溪湾,太平镇,3室2厅 ,127.66, 东南 , 毛坯 ,18,2016, 板楼,0, 一年前发布,1650000.0,"12,925元/平",VR看装修 房本满两年 随时看房 
交通便利，生活配套全，业主急卖,星汇峰,太平镇,3室1厅 ,100.03, 南 , 毛坯 ,6,2010, 平房,16, 一年前发布,1200000.0,"11,997元/平",VR看装修 房本满五年 随时看房 
大城云山   电梯三房看房方便,大城云山,太平镇,3室2厅 ,125.04, 东南 , 毛坯 ,17,2013, 塔楼,4, 一年前发布,1750000.0,"13,996元/平",近地铁 VR看装修 房本满两年 随时看房 
户型好，格局好，视野宽阔，采光充足,紫泉翠荔嘉园,太平镇,3室1厅 ,103.0, 南 北 , 其他 ,6,2006, 板楼,0, 5个月以前发布,1180000.0,"11,457元/平",VR看装修 房本满五年 随时看房 
比邻流溪河 环境优美 空气清新 设计时尚美观大方,雅居乐小院流溪,赤草,3室2厅 ,129.81, 东南 , 毛坯 ,17,2013, 塔楼,5, 一年前发布,1450000.0,"11,171元/平",VR看装修 房本满五年 随时看房 
大4房2厅联排户型， 南北对流。,东方夏湾拿,太平镇,4室2厅 ,208.0, 南 , 毛坯 ,2,2009, 板塔结合,24, 一年前发布,3300000.0,"15,866元/平",VR房源 房本满两年 随时看房 
雅居乐小院流溪 中高层 三房两厅 望江,雅居乐小院流溪,赤草,3室2厅 ,94.0, 南 , 毛坯 ,16,2015, 塔楼,3, 4个月以前发布,980000.0,"10,426元/平",VR看装修 房本满五年 随时看房 
雅居乐开发管理 紧·邻流溪河 环境优美 大四房,雅居乐小院流溪,赤草,4室2厅 ,117.86, 东南 , 精装 ,16,2015, 塔楼,12, 一年前发布,1238000.0,"10,504元/平",VR看装修 房本满五年 随时看房 
望谷温泉小镇 3室2厅 南,望谷温泉小镇,温泉镇,3室2厅 ,164.65, 南 , 其他 ,18,2013, 塔楼,2, 3个月以前发布,1800000.0,"10,933元/平",VR房源 房本满两年 随时看房 
雅居乐 流溪河边 边位 3房2厅楼层好采光好实用,雅居乐小院流溪,赤草,3室2厅 ,130.1, 北 , 毛坯 ,17,2013, 塔楼,0, 5个月以前发布,1320000.0,"10,147元/平",VR房源 房本满两年 随时看房 
小区后临流溪河，前近地铁口，南向，格局方正,雅居乐小院流溪,赤草,3室2厅 ,140.71, 南 , 毛坯 ,17,2013, 塔楼,5, 5个月以前发布,1250000.0,"8,884元/平",VR看装修 房本满五年 随时看房 
