合一国际 南向 三房有主套 漂亮装修  中空大厅,合一国际,同和,3室1厅 ,69.16, 南 , 精装 ,18,2006, 塔楼,44, 9个月以前发布,3380000,"48,873元/平",近地铁 VR房源 房本满两年 随时看房 
本房看花园 南北都有飘窗晾晒 户型方正，原装电梯。,梅苑小区,梅花园,3室2厅 ,92.07, 北 , 精装 ,9,2001, 塔楼,2, 1个月以前发布,3780000,"41,056元/平",近地铁 VR看装修 房本满五年 
乐得花园，电梯洋房，满五唯一 ，装修好  东南靓向,乐得花园,黄边,3室1厅 ,69.31, 东南 , 精装 ,9,1999, 塔楼,38, 7个月以前发布,2050000,"29,578元/平",VR看装修 房本满五年 
云山诗意 带主卫 满五年 中层 花园泳池美景 采光好,云山诗意,黄边,3室2厅 ,101.1, 北 , 精装 ,18,2008, 塔楼,3, 1个月以前发布,4300000,"42,533元/平",近地铁 VR看装修 房本满五年 
荷塘月色，中层精装两房，刚需实用有心卖,白云高尔夫花园荷塘月色,黄石,2室1厅 ,67.94, 北 , 精装 ,11,2002, 塔楼,45, 4个月以前发布,2800000,"41,213元/平",近地铁 VR看装修 房本满五年 
南湖荔苑 精装修 位置安静 看房方便,荔苑公寓,南湖,3室2厅 ,112.05, 东 西 , 精装 ,8,2000, 塔楼,8, 一年前发布,1700000,"15,172元/平",VR看装修 房本满两年 
富力桃园 东南向2房望花园 安静 产权满五且唯一,富力桃园,罗冲围,2室2厅 ,75.82, 东南 , 精装 ,16,2004, 塔楼,50, 5个月以前发布,2580000,"34,028元/平",VR房源 房本满五年 
新世界锦云峰 中高楼层精装三房 五年唯一 可拎包入住,岭南新世界锦云峰,嘉禾望岗,3室2厅 ,94.35, 东北 , 精装 ,30,2013, 塔楼,92, 6个月以前发布,4180000,"44,304元/平",VR看装修 房本满五年 
秀山一品轻奢三房，两梯两户，户型方正，南北通透！,隆泰逸品君庭,桂花岗,3室2厅 ,117.81, 南 北 , 精装 ,18,2012, 塔楼,4, 5个月以前发布,5380000,"45,667元/平",VR看装修 房本满两年 
业主诚心放卖，过五年唯一，业主是二手业主，是商品房,南航新村,新市,3室1厅 ,85.98, 西 , 精装 ,17,1997, 塔楼,15, 2个月以前发布,1800000,"20,936元/平",VR看装修 房本满五年 
隆康花园小区少有户型，满五唯一，交通便利，配套齐全,隆康花园,白云大道南,3室1厅 ,90.51, 西北 , 简装 ,9,2002, 塔楼,32, 4个月以前发布,3550000,"39,223元/平",近地铁 VR看装修 房本满五年 
满五唯一 低楼层 采光通风好 近地铁 大型小区管理,白云雅苑,同德围,1室1厅 ,32.5, 南 , 简装 ,9,2006, 塔楼,0,19,850000,"26,154元/平",近地铁 VR看装修 房本满五年 
低层，保养好，业主诚意  南北对流,恒德苑,同德围,2室1厅 ,65.29, 东南 , 简装 ,10,1997, 塔楼,2,22,1320000,"20,218元/平",近地铁 VR看装修 房本满五年 
云苑新村，平层电梯，精装一居室，拎包入住,广园云苑新村,景泰,1室1厅 ,32.1, 东 , 精装 ,9,1999, 塔楼,1,22,880000,"27,415元/平",VR看装修 房本满五年 
富力半岛花园 通透靓房 通风透光 视野开阔 诚心急卖,富力半岛花园,罗冲围,2室2厅 ,66.04, 东南 西北 , 精装 ,18,2002, 塔楼,1,28,2380000,"36,039元/平",VR看装修 房本满两年 
金满电梯房，双阳台，南向方正，视线好。,金满家园,金沙洲,2室1厅 ,67.49, 东南 , 其他 ,9,1998, 塔楼,34, 11个月以前发布,1680000,"24,893元/平",近地铁 VR看装修 房本满五年 随时看房 
佳地新都，中层楼梯，一房一厅，业主诚卖！地铁口物业,佳地新都,新市,1室1厅 ,42, 南 , 简装 ,9,1994, 塔楼,5, 4个月以前发布,690000,"16,429元/平",VR看装修 房本满五年 随时看房 
岭南新世界   南向两房  位置安静,岭南新世界,嘉禾望岗,2室1厅 ,74.38, 南 , 简装 ,15,2005, 塔楼,38, 11个月以前发布,3350000,"45,039元/平",近地铁 VR房源 房本满五年 随时看房 
低楼层，过五，采光好，方正实用，交通便利。,泽德花苑,同德围,1室1厅 ,38.74, 南 北 , 简装 ,9,1998, 塔楼,10, 2个月以前发布,880000,"22,716元/平",近地铁 VR看装修 房本满五年 随时看房 
万方园南向看花园小户型 电梯中高层,万方园,机场路,1室0厅 ,32.84, 南 , 精装 ,18,1999, 塔楼,24, 3个月以前发布,890000,"27,102元/平",近地铁 VR看装修 房本满五年 随时看房 
保利春天里 2室2厅 南,保利春天里,金沙洲,2室2厅 ,75.85, 南 , 简装 ,11,2011, 塔楼,7, 1个月以前发布,2600000,"34,279元/平",近地铁 VR看装修 房本满五年 随时看房 
松涛北苑 永泰地铁 户型方正 刚需上车盘,松涛北苑,永泰,1室1厅 ,42.45, 北 , 精装 ,9,1999, 塔楼,10, 5个月以前发布,750000,"17,668元/平",近地铁 VR看装修 房本满五年 随时看房 
金域蓝湾三房 中层满五笋盘 户型方正 看房方便,金域蓝湾,金沙洲,3室2厅 ,99, 西北 , 精装 ,12,2008, 塔楼,114, 一年前发布,4050000,"40,910元/平",近地铁 VR看装修 房本满五年 随时看房 
原装电梯 中高层，无遮挡，采光好，拎包入住看房方便,城西花园,金沙洲,2室1厅 ,63.81, 西南 , 精装 ,15,1999, 塔楼,13, 3个月以前发布,1990000,"31,187元/平",近地铁 VR看装修 房本满五年 随时看房 
原装电梯笋两房 南向 城西电梯醉低,城西花园,金沙洲,2室1厅 ,74.27, 西南 , 简装 ,15,1999, 塔楼,77, 一年前发布,1950000,"26,256元/平",近地铁 VR房源 房本满两年 随时看房 
城西花园 二房 安静舒适 方便看房,城西花园,金沙洲,2室1厅 ,60.61, 西 西北 , 精装 ,9,1999, 塔楼,16, 2个月以前发布,1650000,"27,224元/平",近地铁 VR看装修 房本满五年 随时看房 
西城苑实用一房 大阳台 地铁13号线松溪站,西城苑,罗冲围,1室1厅 ,41.74, 东北 , 精装 ,9,2002, 塔楼,107, 一年前发布,700000,"16,771元/平",VR看装修 房本满五年 随时看房 
松涛北苑 南向2房 格局方正 采光好,松涛北苑,永泰,2室1厅 ,47.83, 南 , 精装 ,5,1999, 塔楼,64, 4个月以前发布,950000,"19,863元/平",近地铁 VR看装修 房本满两年 随时看房 
明珠小户型两房，机场路白云新城旁，成熟商圈，满五年,白云明珠广场,机场路,2室1厅 ,52.02, 南 , 简装 ,14,1996, 塔楼,39, 一年前发布,1350000,"25,952元/平",VR看装修 房本满五年 随时看房 
新装修  户型方正 业主诚心卖 看房方便,富力半岛花园,罗冲围,1室1厅 ,41, 东北 , 精装 ,22,2005, 塔楼,8, 2个月以前发布,1450000,"35,366元/平",VR看装修 房本满五年 随时看房 
白云畔山花园中楼层大两房，看房方便,白云畔山花园,梅花园,2室1厅 ,78.35, 东北 , 精装 ,8,2003, 塔楼,35, 3个月以前发布,2200000,"28,080元/平",近地铁 VR房源 房本满五年 
此房近梅花园地铁站 白云山脚下 电梯高层视野好,擎山苑,梅花园,2室2厅 ,69.86, 西北 , 简装 ,17,2005, 塔楼,18, 5个月以前发布,2100000,"30,061元/平",近地铁 VR房源 房本满五年 
满五唯一，保养新净，中楼层，采光充足，看房方便。,保利西海岸汇海花园,金沙洲,3室2厅 ,83.2, 西 , 精装 ,26,2010, 塔楼,62, 一年前发布,3030000,"36,419元/平",VR看装修 房本满五年 
满5唯一 双阳台 楼层好 视野宽阔 采光充足,御金沙澜山,金沙洲,4室2厅 ,171.42, 东南 , 精装 ,24,2012, 塔楼,41, 11个月以前发布,8280000,"48,303元/平",近地铁 VR看装修 房本满五年 
房源户型方正，中低层南向单位，静谧居住宜人。,景松苑,大金钟路,2室1厅 ,55.44, 南 , 精装 ,9,1997, 板楼,27, 3个月以前发布,1490000,"26,876元/平",VR房源 房本满五年 
岗贝路口 实用小两房 东南向 可拎包入住 刚需精选好房,机安宿舍,机场路,2室1厅 ,50.85, 东南 , 精装 ,9,1995, 塔楼,12, 3个月以前发布,990000,"19,470元/平",VR看装修 房本满五年 
地铁口 春兰花园 电梯 西南向 刚需小两房,广信春兰花园,京溪,2室1厅 ,49.92, 西南 , 简装 ,9,1995, 塔楼,38, 7个月以前发布,1900000,"38,061元/平",近地铁 VR看装修 房本满五年 
同雅苑电梯中层采光好，封闭小区管理环境好，配套齐全,同德花园同雅苑,同德围,2室1厅 ,59.07, 东 , 简装 ,9,1998, 塔楼,1, 2个月以前发布,1450000,"24,548元/平",近地铁 VR看装修 房本满五年 
房屋产权清晰，诚心卖房，格局方正，视野无遮挡,又一居花园,机场路,1室1厅 ,41.79, 南 , 简装 ,9,1998, 塔楼,16, 2个月以前发布,1050000,"25,126元/平",近地铁 VR看装修 房本满五年 
保利汇海花园 东南三房 看花园 满五年税费低,保利西海岸汇海花园,金沙洲,3室2厅 ,89, 东南 , 精装 ,25,2010, 塔楼,16, 6个月以前发布,3050000,"34,270元/平",VR看装修 房本满五年 
【安静望山景，南向视野开阔无遮挡，楼层靓，税费低】,金湖雅苑,沙太北,3室2厅 ,98.51, 东南 南 , 精装 ,19,1999, 塔楼,0, 1个月以前发布,2480000,"25,176元/平",VR看装修 房本满五年 
江岸花园  南向三房 格局方正 望花园,保利江岸花园,金沙洲,3室1厅 ,97.19, 南 , 精装 ,33,2013, 塔楼,11, 9个月以前发布,3500000,"36,012元/平",近地铁 VR看装修 房本满五年 
汇海花园 南向望花园 长阳台 保养好,保利西海岸汇海花园,金沙洲,3室1厅 ,96.89, 东南 , 精装 ,15,2010, 塔楼,1, 4个月以前发布,3600000,"37,156元/平",VR看装修 房本满两年 
中层，格局方正 够五年。采光好,上步花园,同德围,2室1厅 ,61, 东南 北 , 精装 ,9,1998, 塔楼,20, 2个月以前发布,1350000,"22,132元/平",近地铁 VR看装修 房本满五年 
此房满五唯一，户型方正，南北对流，装修保养好,岭南新世界锦云峰,嘉禾望岗,3室2厅 ,94.44, 北 , 精装 ,30,2013, 塔楼,17, 4个月以前发布,4250000,"45,003元/平",VR看装修 房本满五年 
中海金沙馨园三房 满五 南北对流 视野开阔 采光通风好,中海金沙馨园二期东区,金沙洲,3室2厅 ,98, 南 北 , 精装 ,18,2011, 塔楼,3, 1个月以前发布,3300000,"33,674元/平",近地铁 VR看装修 房本满五年 
低楼层，采、光好，业主诚意放盘,汇美西苑,同德围,2室1厅 ,49.51, 南 , 精装 ,9,1998, 塔楼,18, 9个月以前发布,1190000,"24,036元/平",近地铁 VR看装修 房本满五年 
阳光花园 电梯房 业主已交全额电梯费用,阳光花园,同德围,2室1厅 ,61.46, 东南 , 其他 ,9,1997, 塔楼,19, 8个月以前发布,1410000,"22,942元/平",VR房源 房本满五年 
高尔夫花园西区大三房 满五税少近地铁 带45平空中花园,白云高尔夫花园西区,黄石,3室2厅 ,95.17, 北 , 简装 ,11,1999, 塔楼,23, 7个月以前发布,2650000,"27,845元/平",VR看装修 房本满五年 
保利汇海花园 三房望花园 业主新装修保养好 拎包入住,保利西海岸汇海花园,金沙洲,3室1厅 ,84, 西北 , 精装 ,26,2010, 塔楼,96, 一年前发布,2980000,"35,477元/平",VR看装修 房本满五年 
同和地铁口 云东小区 一室一厅 户型方正,云东小区,同和,1室1厅 ,46.44, 南 , 简装 ,7,1997, 塔楼,12, 7个月以前发布,1180000,"25,410元/平",近地铁 VR看装修 房本满五年 
高楼层，户型方正，南北对流，采光通风好,白云花园,新市,2室1厅 ,53.3, 北 , 精装 ,9,1993, 塔楼,1, 2个月以前发布,1100000,"20,638元/平",VR看装修 房本满五年 
靓！刚需实用两房 | 装修新颖,白沙新村,机场路,2室1厅 ,52.51, 南 , 简装 ,9,1998, 塔楼,207, 一年前发布,950000,"18,092元/平",VR看装修 房本满五年 
松涛北苑中层电梯大三房，户型方正，近地铁，业主诚卖,松涛北苑,永泰,3室2厅 ,108.37, 北 , 精装 ,10,1999, 塔楼,3, 1个月以前发布,2500000,"23,070元/平",近地铁 VR房源 房本满五年 
富力半岛花园 西南向步梯两房 装修保养时尚新净,富力半岛花园,罗冲围,2室1厅 ,64.14, 西南 , 精装 ,7,1998, 塔楼,7, 3个月以前发布,1850000,"28,844元/平",VR看装修 房本满两年 
锦云峰中楼层 看白云山 保养好 已满五年 业主诚心出,岭南新世界锦云峰,嘉禾望岗,2室2厅 ,81.53, 南 北 , 精装 ,32,2013, 塔楼,48, 3个月以前发布,3600000,"44,156元/平",VR看装修 房本满五年 
锦翠苑两房中楼层 采光通风和装修保养都不错 户型方正,锦翠苑(增槎路),罗冲围,2室1厅 ,67.71, 东南 , 精装 ,7,2004, 塔楼,19, 一年前发布,2180000,"32,197元/平",VR房源 房本满五年 
小区管理  电梯中层   户型方正  满五物业,百事佳新村A区,景泰,3室1厅 ,74.85, 东 , 精装 ,7,1996, 板楼,11, 10个月以前发布,2350000,"31,397元/平",VR看装修 房本满五年 
满五年税费省，南向方正实用，安静明亮，中楼层,康雅花园,机场路,2室1厅 ,69.02, 东南 , 简装 ,9,1999, 塔楼,0, 1个月以前发布,1490000,"21,588元/平",VR看装修 房本满五年 
广州富力城  东向大两房 视野好,富力城北区,夏茅,2室2厅 ,86.14, 东 东南 , 精装 ,17,2010, 塔楼,14, 一年前发布,2280000,"26,469元/平",VR看装修 房本满五年 
麓湖山脚下空气好 户型方正 电梯 满五年,御鹿华轩,麓景,2室1厅 ,73.54, 东 , 简装 ,9,2000, 塔楼,4, 2个月以前发布,2550000,"34,676元/平",VR房源 房本满五年 
富力桃园 C区大面积三房 无遮挡视野开阔 业主诚意出,富力桃园,罗冲围,3室1厅 ,143.35, 南 , 简装 ,30,2006, 塔楼,14, 4个月以前发布,4400000,"30,695元/平",VR房源 房本满两年 
金德苑封闭小区 电梯两房 近地铁 有铭德上,金德苑,同德围,2室1厅 ,57.54, 北 , 简装 ,9,1997, 塔楼,12, 3个月以前发布,1550000,"26,938元/平",近地铁 VR看装修 房本满五年 
金桂园少有东向两房，格局方正，采光好,金桂园,桂花岗,2室2厅 ,85.5, 东 , 简装 ,15,2000, 塔楼,3, 2个月以前发布,2900000,"33,919元/平",近地铁 VR看装修 房本满五年 
精品小区 低楼层 采光通风好 格局靓 近地铁 适合刚需,岭南花园,同德围,2室2厅 ,78.83, 东 东南 , 精装 ,6,2001, 板楼,1, 1个月以前发布,2530000,"32,095元/平",近地铁 VR看装修 房本满五年 
白天鹅花园 正规三房 户型方正 望花园 安静,白天鹅花园,沙太北,3室2厅 ,103.49, 北 , 精装 ,17,2005, 塔楼,6, 2个月以前发布,3900000,"37,685元/平",VR房源 房本满五年 
云山居 3室2厅 西,云山居,元下田,3室2厅 ,102.95, 西 , 精装 ,5,2000, 塔楼,3, 2个月以前发布,2700000,"26,227元/平",VR看装修 房本满五年 
8号线小坪站  精装修  自住保养新净  方便看房,馨雅居,石井,2室1厅 ,58.72, 北 , 精装 ,9,2000, 塔楼,96, 一年前发布,1040000,"17,712元/平",近地铁 VR看装修 房本满五年 
富力桃园 东南向 望江 中楼层实用三房,富力桃园,罗冲围,3室1厅 ,91.15, 东南 , 精装 ,31,2009, 塔楼,215, 4个月以前发布,3780000,"41,471元/平",VR房源 房本满五年 
越秀区电梯小区，大型花园，老人小孩的都喜爱！,御景花园,机场路,2室1厅 ,45.87, 东南 , 精装 ,9,2009, 塔楼,2, 1个月以前发布,1300000,"28,341元/平",近地铁 VR看装修 房本满五年 
倚绿山庄精装修大四房，三阳台，安静舒适空气好,倚绿山庄,同和,4室2厅 ,158.86, 南 , 精装 ,5,2000, 塔楼,90, 一年前发布,4500000,"28,327元/平",近地铁 VR房源 房本满五年 
准电梯梅园大厦两房 满五年唯一，看房方便,梅园大厦,梅花园,2室1厅 ,83, 东 , 简装 ,9,1999, 塔楼,94, 一年前发布,2060000,"24,820元/平",近地铁 VR看装修 房本满五年 
8号线小坪站  馨雅居南向  精装厅出二房 自住看房方便,馨雅居,石井,2室1厅 ,61.33, 东南 , 精装 ,9,2008, 塔楼,88, 5个月以前发布,1230000,"20,056元/平",近地铁 VR看装修 房本满五年 
满五年税费低 大两房 房间宽敞明亮 视野开阔,梅宾东宿舍,梅花园,2室2厅 ,67, 北 西 , 简装 ,9,1999, 塔楼,19, 5个月以前发布,1900000,"28,359元/平",近地铁 VR看装修 房本满五年 
锦云峰高层3房  满五年唯一   视野好,岭南新世界锦云峰,嘉禾望岗,3室1厅 ,94.6, 北 , 精装 ,30,2013, 塔楼,2, 1个月以前发布,4200000,"44,398元/平",近地铁 VR看装修 房本满五年 
富力城南区7字阳台，望公园！！,富力城南区,夏茅,3室2厅 ,124.12, 东 东南 , 精装 ,18,2005, 塔楼,3, 2个月以前发布,3670000,"29,569元/平",VR看装修 房本满五年 
富力桃园D区南向4房  采光通风好  中高楼层 视野开阔,富力桃园,罗冲围,4室2厅 ,199.74, 东南 , 精装 ,29,2007, 塔楼,20, 9个月以前发布,7500000,"37,549元/平",近地铁 VR房源 房本满五年 
店长推荐 地铁沿线 精装三房 有小花园 满五不唯一,同和云苑新村,同和,3室2厅 ,88.86, 西 , 精装 ,8,2000, 塔楼,31, 4个月以前发布,2050000,"23,070元/平",近地铁 VR看装修 房本满五年 
百荣园 精致两房 居家好房 免装修,百荣园,机场路,2室1厅 ,69.74, 西南 , 精装 ,9,2000, 塔楼,35, 3个月以前发布,1550000,"22,226元/平",VR房源 房本满两年 
罗冲围电梯高层南向三房，采光通风好,圣雅堡,罗冲围,3室2厅 ,103, 南 , 精装 ,18,2009, 塔楼,7, 8个月以前发布,3000000,"29,127元/平",VR房源 房本满五年 
合一国际 南向方正3房 通风采光好 满五唯一税费少,合一国际,同和,3室2厅 ,114.84, 南 , 精装 ,23,2006, 塔楼,35, 5个月以前发布,4850000,"42,233元/平",近地铁 VR房源 房本满五年 
瑞晖花园  2室  格局方正  楼层好 保养新 安静舒适,瑞晖花园,石井,2室2厅 ,82.41, 东北 , 简装 ,6,1990, 塔楼,14, 2个月以前发布,1480000,"17,959元/平",VR看装修 房本满两年 
满五唯一，户型方正，交通便利，配套成熟,金碧新城,石井,2室1厅 ,68.94, 西南 , 简装 ,11,2004, 塔楼,60, 7个月以前发布,2150000,"31,187元/平",VR房源 房本满五年 
东湖映月 双证 大平层南向四房 采光充足,东湖映月,龙归,4室2厅 ,95.85, 南 , 简装 ,33,2012, 塔楼,22, 6个月以前发布,2390000,"24,935元/平",近地铁 VR看装修 房本满五年 
14年次新小区 精装大三房带露台，格局方正实用率高,圣地天河星荟,京溪,3室2厅 ,119.25, 东北 , 精装 ,10,2011, 塔楼,84, 3个月以前发布,5600000,"46,961元/平",近地铁 VR看装修 房本满五年 
南北对流    近地铁   近同德公园     户型方正,嘉柏居,同德围,3室2厅 ,99.35, 北 , 简装 ,12,2000, 塔楼,45, 6个月以前发布,2480000,"24,963元/平",近地铁 VR房源 房本满五年 
富力桃园 望花园带主套3房 户型方正 精装修 拎包可住,富力桃园,罗冲围,3室2厅 ,123.89, 西南 , 其他 ,29,2007, 塔楼,12, 2个月以前发布,4400000,"35,516元/平",VR房源 房本满五年 
同和精装修三房 满五唯一税费低 南向望花园 安静舒适,倚绿山庄,同和,3室2厅 ,106.81, 西南 , 精装 ,6,2000, 塔楼,61, 6个月以前发布,3050000,"28,556元/平",近地铁 VR房源 房本满五年 
岭南新世界B区，南向三房，安静望花园，清新舒适,岭南新世界,嘉禾望岗,3室2厅 ,103.91, 南 , 精装 ,11,2001, 塔楼,26, 5个月以前发布,5250000,"50,525元/平",近地铁 VR房源 房本满五年 
远景路电梯2房、格局方正实用 、南向电梯中层、精装修,美景苑,机场路,2室2厅 ,72.67, 南 , 简装 ,9,2008, 塔楼,21, 7个月以前发布,2300000,"31,650元/平",VR看装修 房本满五年 
店长推荐，原一手业主，满五唯一税费少,君华香柏广场,京溪,2室1厅 ,77.27, 东北 , 精装 ,30,2012, 塔楼,36, 7个月以前发布,4150000,"53,708元/平",近地铁 VR看装修 房本满五年 
岭南新世界 东南向两房 满五唯一,岭南新世界,嘉禾望岗,2室1厅 ,75.24, 东南 , 精装 ,15,2001, 塔楼,26, 10个月以前发布,3500000,"46,518元/平",近地铁 VR房源 房本满五年 
小区里位置安静俩房满五唯一免个税，,岭南新世界,嘉禾望岗,2室2厅 ,75.21, 东北 , 简装 ,15,2001, 塔楼,16, 10个月以前发布,2990000,"39,756元/平",近地铁 VR房源 房本满两年 
满五唯一、税费少、南向、中间楼层、采光好、视野开阔,云裳丽影,同和,3室2厅 ,102.41, 南 , 精装 ,18,2012, 塔楼,43, 5个月以前发布,4980000,"48,629元/平",近地铁 VR看装修 房本满五年 
春庭花园 中楼层 电梯 户型方正 装修上等,春庭花园,元下田,3室1厅 ,75.93, 东北 , 精装 ,8,1999, 塔楼,131, 一年前发布,1740000,"22,916元/平",VR看装修 房本满两年 
梅花园 电梯两房 单边位 采光好,擎山苑,梅花园,2室1厅 ,79.24, 东南 , 简装 ,15,2005, 塔楼,30, 4个月以前发布,2490000,"31,424元/平",近地铁 VR房源 房本满五年 
电梯舒适大两房，户型方正，望花园景观好,纵横缤城,新市,2室1厅 ,77.37, 北 , 简装 ,18,2009, 塔楼,26, 5个月以前发布,2300000,"29,728元/平",VR看装修 房本满五年 
白兰花园 满五准电梯大三房 楼梯中层 采光通风好,广信白兰花园,景泰,3室2厅 ,91.92, 南 北 , 简装 ,8,1998, 塔楼,37, 11个月以前发布,3200000,"34,813元/平",近地铁 VR看装修 房本满五年 
机场路 海德花园 电梯精致三房 格局方正 采光好通风,海德花园,新市,3室1厅 ,78.61, 西 , 其他 ,10,1999, 塔楼,32, 9个月以前发布,1990000,"25,315元/平",VR房源 房本满五年 
机场路 舒适绿化小区 电梯中层 对流户型,白云明珠广场,机场路,3室2厅 ,123.46, 东 , 简装 ,14,1996, 塔楼,11, 4个月以前发布,2820000,"22,842元/平",VR房源 房本满五年 
锦翠苑凤凰层，电梯已动工安装中，三房原装南向东边户,锦翠苑(金钟横路),景泰,3室2厅 ,72.26, 南 , 精装 ,9,1993, 塔楼,4, 1个月以前发布,2480000,"34,321元/平",VR看装修 房本满五年 
满五唯一，高楼层，采光充足，视野开阔,岭南新世界,嘉禾望岗,3室2厅 ,82.43, 西 , 精装 ,18,2012, 塔楼,3, 2个月以前发布,3850000,"46,707元/平",近地铁 VR看装修 房本满两年 
南北对流，单边位，三面采光，三房两卫，,富力桃园,罗冲围,3室2厅 ,96.91, 西南 , 精装 ,32,2004, 塔楼,38, 5个月以前发布,3680000,"37,974元/平",VR房源 房本满五年 
五号线 桃园三房双卫 东南向望小区园林,富力桃园,罗冲围,3室2厅 ,118.96, 东南 , 精装 ,16,2004, 塔楼,132, 一年前发布,3800000,"31,944元/平",VR房源 房本满五年 
盈翠华庭 原电梯方正两房 采光好 一手业主产权过五年,盈翠华庭,景泰,2室1厅 ,76.35, 西 , 简装 ,12,2001, 塔楼,58, 一年前发布,2860000,"37,460元/平",VR房源 房本满两年 
客厅宽敞，通风采光好，房屋面积配比合理,南湖半山东苑,南湖,3室2厅 ,95.42, 南 , 精装 ,26,2005, 塔楼,11, 9个月以前发布,2480000,"25,991元/平",VR房源 房本满五年 
小区安静，此套高层望山景，户型方正，正三房,南湖半山东苑,南湖,3室2厅 ,104, 东 , 精装 ,28,2005, 塔楼,52, 一年前发布,2400000,"23,077元/平",VR房源 房本满两年 
新世界锦云峰 中高楼层精装三房 五年唯一 可拎包入住,岭南新世界锦云峰,嘉禾望岗,3室2厅 ,94.35, 东北 , 精装 ,30,2013, 塔楼,92, 6个月以前发布,4180000,"44,304元/平",VR看装修 房本满五年 
岭南新世界 南向3房 近地铁 交通便利 满五唯一,岭南新世界,嘉禾望岗,3室1厅 ,92.56, 西南 , 精装 ,18,2008, 塔楼,74, 3个月以前发布,4160000,"44,944元/平",近地铁 VR看装修 房本满五年 
天河北电梯房 全新装修三房两卫单边位 有钥匙随时方便,麒麟东街宿舍(麒麟东街53-77号单号),沙太北,3室2厅 ,87.73, 东南 , 精装 ,9,1999, 塔楼,12, 3个月以前发布,2380000,"27,129元/平",VR看装修 房本满两年 
云山诗意 高层方正三房 位置安静,云山诗意,黄边,3室1厅 ,104.37, 东北 , 精装 ,18,2009, 塔楼,38, 4个月以前发布,4180000,"40,050元/平",近地铁 VR看装修 房本满两年 
采光通风好 交通便利 全明三房,合益小区,机场路,3室1厅 ,114.69, 东南 东 , 简装 ,9,1995, 塔楼,0,8,2560000,"22,322元/平",VR房源 房本满五年 
黄石花园 3室2厅 南 北,黄石花园,黄石,3室2厅 ,110, 南 北 , 精装 ,14,1997, 塔楼,1,8,2800000,"25,455元/平",VR看装修 房本满五年 
金印大厦 3室2厅 南,金印大厦,机场路,3室2厅 ,100.51, 南 , 精装 ,9,1995, 塔楼,0,4,2600000,"25,869元/平",VR房源 房本满五年 
春兰花园 电梯  南向大两房  地铁口,广信春兰花园,京溪,2室2厅 ,75.05, 南 , 其他 ,9,1995, 塔楼,1,6,2900000,"38,641元/平",近地铁 VR看装修 房本满五年 
店长推荐；云裳丽影  正南向  望花园温馨三房两卫,云裳丽影,同和,3室2厅 ,111.24, 南 , 精装 ,20,2012, 塔楼,1,8,5200000,"46,746元/平",近地铁 VR看装修 房本满五年 
云景花园云景名都 3室2厅 东北,云景花园云景名都,京溪,3室2厅 ,99, 东北 , 其他 ,21,2002, 塔楼,0,4,6080000,"61,415元/平",近地铁 VR房源 房本满五年 
满五年税费低，户型方正，业主诚心放卖，随时可签,富力桃园,罗冲围,2室1厅 ,87, 东北 , 简装 ,32,2004, 塔楼,0,6,2800000,"32,184元/平",VR房源 房本满五年 
新市花园 方正户型 厅出阳台 通风采光好,新市花园一期,新市,2室1厅 ,83.69, 东 , 其他 ,9,1994, 塔楼,0,2,2000000,"23,898元/平",VR房源 房本满五年 
纵横缤城大两房，南北对流通风采光好！,纵横缤城,新市,2室1厅 ,79.87, 北 , 简装 ,20,2009, 塔楼,0,6,2680000,"33,555元/平",VR看装修 房本满两年 
汇侨新城南区 3室2厅 西南,汇侨新城南区,新市,3室2厅 ,103.82, 西南 , 精装 ,17,2000, 塔楼,0,6,2990000,"28,800元/平",VR看装修 房本满五年 
万科云山花园 3室2厅 南 北,万科云山花园,东平,3室2厅 ,95.44, 南 北 , 其他 ,24,2009, 塔楼,0,5,3800000,"39,816元/平",VR看装修 房本满五年 
房子满五唯一税少，楼层好南向看花园，装修保养好。,岭南新世界,嘉禾望岗,3室1厅 ,109.27, 南 西南 , 其他 ,17,2008, 塔楼,0,8,5580000,"51,067元/平",近地铁 VR房源 房本满五年 
油料宿舍 3室2厅 南 北,油料宿舍,白云大道南,3室2厅 ,104.12, 南 北 , 其他 ,9,1998, 板楼,0,5,4150000,"39,858元/平",VR房源 房本满五年 
满五年唯一 采光通风好 实用率高,粮油宿舍,机场路,2室1厅 ,71.35, 北 , 简装 ,9,1996, 塔楼,1,7,1200000,"16,819元/平",VR房源 房本满五年 
白天鹅花园南向三房，户型方正，带露台,白天鹅花园,沙太北,3室2厅 ,97.26, 南 , 简装 ,17,2008, 塔楼,0,5,3900000,"40,099元/平",VR看装修 房本满五年 
精装修，大平台， 120%使用率，准电梯房，证满五年,梅苑小区,梅花园,3室2厅 ,83.85, 东 , 精装 ,9,1999, 塔楼,0,5,3700000,"44,127元/平",近地铁 VR看装修 房本满两年 
康雅花园 2室1厅 西,康雅花园,机场路,2室1厅 ,58.78, 西 , 简装 ,9,1999, 塔楼,0,6,1400000,"23,818元/平",VR看装修 房本满五年 
盈翠华庭 2室1厅 西北,盈翠华庭,景泰,2室1厅 ,72.06, 西北 , 其他 ,12,2001, 塔楼,0,5,5080000,"70,497元/平",VR房源 房本满五年 
天河御品 高楼层 望花园 精装修方正三房 安静,天河御品,京溪,3室2厅 ,105.24, 东北 , 其他 ,25,2010, 塔楼,0,7,5250000,"49,886元/平",近地铁 VR看装修 房本满五年 
