该房子满五年 格局方正 南北对流,碧桂园豪进广场,白江,3室2厅 ,116.77, 南 北 , 毛坯 ,31,2016, 塔楼,0,11,2480000.0,"21,239元/平",近地铁 VR房源 房本满五年 随时看房 
南向大三房，过五唯一税费低，高层采光好,敏捷锦绣天伦,新塘北,3室1厅 ,110.42, 西南 , 精装 ,33,2014, 塔楼,5, 3个月以前发布,2180000.0,"19,743元/平",VR房源 房本满五年 随时看房 
满五唯一！中间楼层！随时可以看房，可谈！,碧桂园城市花园花岸苑,朱村,3室1厅 ,95.26, 北 , 毛坯 ,26,2016, 板塔结合,4, 1个月以前发布,1350000.0,"14,172元/平",VR房源 房本满五年 随时看房 
仁安花园 朱村站 通勤便捷 花园式小区 居住舒适,仁安花园,朱村,3室1厅 ,130.13, 南 , 毛坯 ,9,2017, 塔楼,10, 2个月以前发布,1580000.0,"12,142元/平",近地铁 VR看装修 房本满两年 随时看房 
近地铁 新世界花园 保养好 视野好 满五,新塘新世界花园万象苑,沙村,2室1厅 ,84.66, 北 , 精装 ,16,2009, 塔楼,32, 4个月以前发布,1680000.0,"19,845元/平",近地铁 VR房源 房本满五年 随时看房 
临白江地铁  满五唯一税少   精装南向小2房 带露台,水电广场,白江,2室1厅 ,52.57, 南 , 精装 ,23,2015, 塔楼,41, 3个月以前发布,850000.0,"16,169元/平",VR房源 房本满五年 随时看房 
收楼标准，中高楼层，视野开阔，采光充足，交通便利。,保利平方花园,永和,3室2厅 ,73.43, 北 , 简装 ,32,2019, 塔楼,6, 7个月以前发布,1150000.0,"15,662元/平",VR看装修 房本满两年 随时看房 
凤凰城 三房 带 大花园 精装 满五年,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,96.16, 北 , 精装 ,18,2002, 塔楼,1, 3个月以前发布,1920000.0,"19,967元/平",VR看装修 房本满五年 随时看房 
"出*：富雅都市华庭 3房2厅精装修,全新未住",富雅都市华庭,新塘北,3室2厅 ,92.16, 北 , 精装 ,11,2014, 塔楼,69, 一年前发布,1500000.0,"16,277元/平",VR看装修 房本满五年 随时看房 
凤馨苑满五唯一税费低 户型实用 交通便利,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,93.97, 北 , 精装 ,6,2002, 塔楼,53, 6个月以前发布,1430000.0,"15,218元/平",VR看装修 房本满五年 随时看房 
满五无抵押，近地铁绿化高，中间楼层视野好，配套齐全,新塘新世界花园嘉华苑,沙村,2室1厅 ,78.4, 北 , 精装 ,7,2004, 塔楼,17, 2个月以前发布,1190000.0,"15,179元/平",VR房源 房本满五年 随时看房 
三房双卫户型实用，满五唯一省税费  附带车位,碧桂园凤凰城凤馨苑,凤凰城,3室1厅 ,92.78, 北 , 简装 ,18,2002, 塔楼,19, 5个月以前发布,1540000.0,"16,599元/平",VR看装修 房本满五年 随时看房 
满五年省税，无按揭，中间楼层精装修望花园，配套成熟,金泽豪庭,白江,2室1厅 ,82.73, 南 北 , 精装 ,27,2009, 塔楼,56, 3个月以前发布,1540000.0,"18,615元/平",近地铁 VR房源 房本满五年 随时看房 
保利i立方，中高楼层，采光通好,保利i立方,永和,4室2厅 ,91.19, 北 , 精装 ,17,2018, 暂无数据,40, 一年前发布,1580000.0,"17,327元/平",VR房源 房本满两年 随时看房 
业主包增值税，新塘TOD，地铁口，南向两房，楼龄新,时尚广场,新塘北,2室2厅 ,82.45, 南 , 精装 ,31,2017, 塔楼,52, 5个月以前发布,1700000.0,"20,619元/平",近地铁 VR看装修 房本满两年 随时看房 
保利i立方，中高楼层，采光通好,保利i立方,永和,4室2厅 ,91.19, 北 , 精装 ,17,2018, 暂无数据,40, 一年前发布,1580000.0,"17,327元/平",VR房源 房本满两年 随时看房 
业主包增值税，新塘TOD，地铁口，南向两房，楼龄新,时尚广场,新塘北,2室2厅 ,82.45, 南 , 精装 ,31,2017, 塔楼,52, 5个月以前发布,1700000.0,"20,619元/平",近地铁 VR看装修 房本满两年 随时看房 
目前空置看房方便，装修保养较好。采光充足，视野宽阔,合汇学府名郡,白江,3室1厅 ,122.21, 东南 , 精装 ,32,2017, 塔楼,1, 1个月以前发布,2050000.0,"16,775元/平",近地铁 VR房源 房本满两年 随时看房 
三房望花园舒适近地铁，业主诚心，采光通透利用率高,东方名都,白江,3室2厅 ,102.95, 西北 , 精装 ,29,2013, 塔楼,102, 6个月以前发布,2260000.0,"21,953元/平",近地铁 VR看装修 房本满两年 随时看房 
合景花漫里 3室1厅 东南,合景花漫里,永和,3室1厅 ,86.54, 东南 , 精装 ,33,2017, 塔楼,2, 2个月以前发布,1100000.0,"12,711元/平",VR房源 房本满两年 随时看房 
凤晴两房 视野好 中高楼层 保养新  业主诚心卖,碧桂园凤凰城凤晴苑,凤凰城,2室1厅 ,71.64, 北 , 精装 ,28,2002, 塔楼,10, 1个月以前发布,1070000.0,"14,936元/平",VR看装修 房本满五年 随时看房 
金泽豪庭东南向三房 全新未住 中层看花园采光好,金泽豪庭,白江,3室2厅 ,90.2, 东南 南 , 精装 ,32,2016, 塔楼,100, 5个月以前发布,1850000.0,"20,510元/平",近地铁 VR房源 房本满两年 随时看房 
锦绣天伦 南北对流大三房 满五年 采光好 安静望花园。,敏捷锦绣天伦,新塘北,3室1厅 ,119.58, 南 , 毛坯 ,32,2013, 塔楼,20, 4个月以前发布,2130000.0,"17,813元/平",VR看装修 房本满五年 随时看房 
沙村地铁站 安静看花园证满五唯一 业主急卖 可谈！！,新塘新世界花园万象苑,沙村,2室2厅 ,87.24, 北 , 精装 ,18,2014, 塔楼,12, 5个月以前发布,1520000.0,"17,424元/平",近地铁 VR看装修 房本满五年 随时看房 
群星新邨 东偏南向 高层 大3房2卫 一手业主,群星新邨,白江,3室2厅 ,128.13, 东南 , 精装 ,28,2012, 塔楼,26, 一年前发布,2300000.0,"17,951元/平",近地铁 VR房源 房本满五年 随时看房 
业主急 高楼层 对流户型 采光通风好,美业阁,新塘北,3室2厅 ,99.32, 南 , 简装 ,7,1999, 塔楼,21, 3个月以前发布,1050000.0,"10,572元/平",近地铁 VR房源 房本满五年 随时看房 
海伦堡东南朝，过5年省税费  高层景观好。,广州海伦堡,沙村,3室1厅 ,95.21, 东南 , 精装 ,18,2012, 塔楼,6, 8个月以前发布,1595000.0,"16,753元/平",VR看装修 房本满五年 随时看房 
金泽豪庭 满五唯一 南北对流 全新未入住 次新大三房,金泽豪庭,白江,3室2厅 ,142.57, 东南 南 北 , 精装 ,26,2009, 塔楼,67, 6个月以前发布,2490000.0,"17,466元/平",近地铁 VR看装修 房本满五年 随时看房 
毛坯复式三房  望花园安静  满5年,东方名都,白江,3室2厅 ,113.11, 东 , 毛坯 ,29,2013, 塔楼,56, 一年前发布,2190000.0,"19,362元/平",近地铁 VR房源 房本满五年 随时看房 
新塘TOD站.群星新邨.3房2卫，证过5年,群星新邨,白江,3室2厅 ,109.21, 东北 , 精装 ,26,2012, 塔楼,14, 4个月以前发布,1650000.0,"15,109元/平",近地铁 VR房源 房本满五年 随时看房 
业主自住，户型实用，高层南向，视野开阔无遮挡,保利i立方,永和,4室2厅 ,95.62, 南 , 精装 ,17,2018, 塔楼,0, 6个月以前发布,1580000.0,"16,524元/平",VR房源 房本满两年 随时看房 
地铁口大三房 南北对流好楼层  满五年 精装修,新都盛世名门,白江,3室2厅 ,118.71, 东南 , 精装 ,26,2012, 塔楼,117, 一年前发布,2270000.0,"19,123元/平",近地铁 VR看装修 房本满五年 随时看房 
南向中楼层无遮挡 业主自住房 过五年少税可拎包入住,丰泰城市公馆,新塘北,2室2厅 ,85.39, 南 , 精装 ,24,2015, 塔楼,16, 6个月以前发布,1385000.0,"16,220元/平",VR看装修 房本满五年 随时看房 
满五年唯一 ，带独立厨房，业主诚心出，还可刀。,新都盛世名门宏城汇,白江,1室1厅 ,46.73, 北 , 精装 ,22,2012, 塔楼,1,30,920000.0,"19,688元/平",近地铁 VR看装修 房本满五年 随时看房 
城市家园一期 3室1厅 南,城市家园一期,新塘北,3室1厅 ,166.99, 南 , 其他 ,19,2005, 塔楼,0,26,1780000.0,"10,660元/平",VR房源 房本满五年 
此房楼层舒适，南向通风采光好，居住舒适，视野佳,翡翠绿洲湖绣苑,凤凰城,2室1厅 ,95.44, 东南 , 其他 ,25,2011, 塔楼,0,31,1620000.0,"16,975元/平",VR看装修 房本满五年 
大型江边小区，望花园，大4房，南北对流，五年唯一,敏捷莱茵花园,荔城增江,4室2厅 ,140.03, 南 , 精装 ,31,2012, 塔楼,0,17,1550000.0,"11,070元/平",VR看装修 房本满五年 
金泽豪庭精装两房 高层采光好 视野无遮挡 业主诚心卖,金泽豪庭,白江,2室1厅 ,52.97, 北 , 精装 ,32,2016, 塔楼,3,22,1230000.0,"23,221元/平",近地铁 VR房源 房本满两年 
山水大厦小区 3室2厅 南,山水大厦小区,荔城中区,3室2厅 ,92.63, 南 , 其他 ,7,2004, 塔楼,0,19,930000.0,"10,040元/平",近地铁 VR房源 房本满两年 
时代倾城(增城区) 3室2厅 南,时代倾城(增城区),荔城增江,3室2厅 ,119.28, 南 , 其他 ,31,2011, 塔楼,3, 2个月以前发布,1500000.0,"12,576元/平",VR看装修 房本满五年 
金泽豪庭 复式五房 毛坯未装修,金泽豪庭,白江,5室2厅 ,201.24, 东南 , 毛坯 ,27,2009, 塔楼,30, 一年前发布,3580000.0,"17,790元/平",近地铁 VR房源 房本满五年 
金凤皇庭 4室2厅 西南,金凤皇庭,荔城增江,4室2厅 ,154.62, 西南 , 其他 ,18,2013, 塔楼,1, 3个月以前发布,1850000.0,"11,965元/平",VR看装修 房本满五年 
满五年税费低   配套完善  视野开阔  近地铁,锦绣御景国际一期,荔城西区,2室1厅 ,111.8, 北 , 精装 ,18,2011, 塔楼,0,26,1580000.0,"14,133元/平",VR看装修 房本满五年 
凤晴东向好房，看别墅视野好，楼层稍微低一点,碧桂园凤凰城凤晴苑,凤凰城,1室0厅 ,52.39, 东 , 简装 ,28,2014, 塔楼,2,23,730000.0,"13,934元/平",VR看装修 房本满两年 
凤馨三房两卫，小区教育资源旁边，高楼层视野，好安静,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,97.81, 南 , 简装 ,18,2002, 塔楼,1,17,1880000.0,"19,221元/平",VR看装修 房本满五年 
凤凰名苑南向精装三房 全新未住过 诚心放卖,碧桂园凤凰城凤凰名苑,凤凰城,3室2厅 ,110.0, 南 , 其他 ,32,2017, 塔楼,2, 2个月以前发布,2150000.0,"19,546元/平",VR看装修 房本满两年 随时看房 
金地香山湖 3室2厅 南,金地香山湖,永和,3室2厅 ,99.77, 南 , 精装 ,33,2018, 塔楼,0, 1个月以前发布,1270000.0,"12,730元/平",VR看装修 房本满两年 随时看房 
誉山三房 南北对流 中高楼层 装修漂亮 业主诚心卖,合景誉山国际,永和,3室2厅 ,85.67, 南 北 , 精装 ,18,2016, 塔楼,1, 1个月以前发布,1200000.0,"14,008元/平",VR看装修 房本满两年 随时看房 
绿湖/交通便利/环境优美/视野开阔,广州敏捷绿湖首府三期,石滩镇,3室2厅 ,113.83, 西南 南 , 精装 ,32,2018, 塔楼,0, 7个月以前发布,1240000.0,"10,894元/平",VR看装修 房本满两年 随时看房 
翡翠次新房，房况原版原漆精品房况，视野开阔3房,翡翠绿洲森林半岛,凤凰城,3室2厅 ,97.72, 北 , 精装 ,12,2016, 塔楼,34, 一年前发布,1850000.0,"18,932元/平",VR看装修 房本满两年 随时看房 
业主急卖!  凤凰城高楼层，视野宽阔的次新房 带车位！,碧桂园凤凰城凤荔苑,凤凰城,2室1厅 ,77.16, 北 , 精装 ,29,2018, 塔楼,39, 10个月以前发布,1450000.0,"18,793元/平",VR看装修 房本满两年 随时看房 
此房满五年带车位，保养好，视野寛广,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,97.64, 南 , 简装 ,18,2002, 塔楼,1, 4个月以前发布,1580000.0,"16,182元/平",VR看装修 房本满五年 随时看房 
碧桂园城市花园漫绿苑 3室1厅 东南,碧桂园城市花园漫绿苑,朱村,3室1厅 ,94.0, 东南 , 其他 ,24,2017, 板塔结合,0, 9个月以前发布,1450000.0,"15,426元/平",VR房源 房本满两年 随时看房 
房子满5年，采光好房屋温馨，拎包即住。,汇东国际花园,白江,3室1厅 ,88.82, 东南 , 精装 ,17,2012, 塔楼,9, 4个月以前发布,1780000.0,"20,041元/平",VR看装修 房本满五年 随时看房 
顺欣花园三期 次新房 81平三房 高层看开发区,顺欣花园,新塘北,3室2厅 ,81.0, 东北 , 精装 ,28,2018, 塔楼,4, 1个月以前发布,1530000.0,"18,889元/平",VR看装修 房本满两年 随时看房 
锦绣半山洋房出*，近增城广场，*达，东汇城,锦绣半山御景,荔城西区,3室2厅 ,123.21, 东南 , 毛坯 ,14,2012, 塔楼,0, 一年前发布,1380000.0,"11,201元/平",VR看装修 房本满五年 随时看房 
近地铁，满五年，装修保养好，包家私家电，拎包入住,新塘新世界花园万象苑,沙村,2室1厅 ,84.34, 北 , 精装 ,18,2009, 塔楼,12, 2个月以前发布,1650000.0,"19,564元/平",近地铁 VR看装修 房本满五年 随时看房 
时代廊桥花园，小3房包增值税，全新未住，望花园！,增城时代廊桥,永和,3室2厅 ,81.29, 北 , 精装 ,33,2017, 塔楼,5, 5个月以前发布,1300000.0,"15,993元/平",VR看装修 房本满两年 随时看房 
房子全新没入住，中楼层视野好，采光通风性好,时代天启,荔城增江,3室2厅 ,96.93, 东 , 精装 ,32,2018, 塔楼,1, 1个月以前发布,1220000.0,"12,587元/平",VR看装修 房本满两年 随时看房 
锦绣新天地 2室1厅 北,锦绣新天地,新塘南,2室1厅 ,82.71, 北 , 简装 ,15,2010, 塔楼,0, 2个月以前发布,1240000.0,"14,993元/平",VR房源 房本满五年 随时看房 
精装三房过五唯一   阳台望湖   一线景观,碧桂园凤凰城凤仪苑,凤凰城,3室2厅 ,99.27, 东 , 精装 ,6,2002, 塔楼,4, 3个月以前发布,1550000.0,"15,614元/平",VR房源 房本满五年 随时看房 
格局通透 户型方正 双阳台 小区环境优美安静 交通便利,碧桂园豪进广场,白江,3室1厅 ,109.55, 东 西 北 , 毛坯 ,31,2016, 塔楼,46, 4个月以前发布,2280000.0,"20,813元/平",近地铁 VR看装修 房本满五年 随时看房 
带400平大露台户型方正/ 带家私家电保养很好 拎包入住,广州敏捷绿湖首府三期,石滩镇,3室2厅 ,101.71, 南 , 精装 ,32,2019, 塔楼,10, 4个月以前发布,1050000.0,"10,324元/平",VR看装修 房本满两年 随时看房 
豪进山湖珺璟 4室2厅 南,豪进山湖珺璟,白江,4室2厅 ,122.14, 南 , 精装 ,32,2011, 塔楼,0, 1个月以前发布,2350000.0,"19,241元/平",VR看装修 房本满五年 随时看房 
盛世名苑南向三房 白江口交通方便 自住装修保养好,新都盛世名门宏城汇,白江,3室2厅 ,90.42, 东南 , 精装 ,22,2012, 板楼,24, 7个月以前发布,1910000.0,"21,124元/平",近地铁 VR看装修 房本满五年 随时看房 
大户型三房，看景观，高楼层。。。。。。。。。。。,西福蓝湾,朱村,3室2厅 ,108.06, 南 , 毛坯 ,25,2017, 板塔结合,21, 一年前发布,1470000.0,"13,604元/平",VR看装修 房本满两年 随时看房 
格局好，楼层好，视野宽阔，采光充足，,敏捷锦绣天伦,新塘北,3室2厅 ,94.43, 北 , 毛坯 ,32,2015, 塔楼,38, 5个月以前发布,1650000.0,"17,474元/平",VR看装修 房本满五年 随时看房 
三房带主套，南北朝向，高楼层视野好，采光充足，通风,汇港威华雅苑,朱村,3室2厅 ,111.97, 南 , 毛坯 ,32,2018, 塔楼,3, 3个月以前发布,1280000.0,"11,432元/平",近地铁 VR房源 房本满两年 随时看房 
保利中航城复式四房 南北对流  格局方正实用,保利中航城一期,朱村,4室2厅 ,110.0, 南 , 精装 ,13,2018, 板楼,24, 5个月以前发布,1800000.0,"16,364元/平",VR房源 房本满两年 随时看房 
锦绣新天地 过五年税费少 楼层好,锦绣新天地,新塘南,3室2厅 ,99.15, 东北 , 简装 ,15,2011, 塔楼,1, 一年前发布,1430000.0,"14,423元/平",VR看装修 房本满五年 随时看房 
近地铁小区，南北通透，靓楼层通风采光好，业主诚意卖,汇港威华雅苑,朱村,3室2厅 ,105.66, 南 北 , 简装 ,31,2018, 塔楼,57, 4个月以前发布,1200000.0,"11,358元/平",近地铁 VR房源 房本满两年 随时看房 
业主急出高层非顶南向望河，全新未入住，带2车位,碧桂园城市花园漫绿苑,朱村,3室1厅 ,102.44, 东南 , 精装 ,25,2018, 板塔结合,29, 6个月以前发布,1650000.0,"16,107元/平",VR房源 房本满两年 随时看房 
21号线，保利中航城温馨三房，安静景观好,保利中航城一期,朱村,3室2厅 ,92.0, 西南 西 , 精装 ,27,2019, 塔楼,9, 7个月以前发布,1480000.0,"16,087元/平",VR看装修 房本满两年 随时看房 
保利中航城  近地铁  视野开阔  3房带主套,保利中航城一期,朱村,3室2厅 ,91.55, 西 , 精装 ,27,2019, 塔楼,23, 一年前发布,1520000.0,"16,603元/平",VR看装修 房本满两年 随时看房 
朱村地铁口 生活便利 精致房子得房率较高，小区物..,融创御园,朱村,4室2厅 ,118.0, 东南 南 , 精装 ,29,2018, 塔楼,23, 一年前发布,1800000.0,"15,255元/平",近地铁 VR看装修 房本满两年 随时看房 
地铁13号线白江板块大社区 无公摊3房 满五唯一 税费省,水电二局宿舍,白江,3室1厅 ,72.72, 南 , 精装 ,8,1999, 板楼,28, 一年前发布,1250000.0,"17,190元/平",VR看装修 房本满五年 随时看房 
中铁满五唯一经典三房两厅两卫，南向看花园，楼层适中,中国铁建国际花园,朱村,3室2厅 ,93.72, 南 , 精装 ,26,2017, 板塔结合,35, 5个月以前发布,1680000.0,"17,926元/平",VR房源 房本满五年 随时看房 
小区有空中花园，小区环境好，看房方便,惠百氏广场,白江,2室1厅 ,76.98, 北 , 精装 ,32,2019, 塔楼,0, 1个月以前发布,1530000.0,"19,876元/平",近地铁 VR房源 房本满两年 随时看房 
白江 地铁口 南向 三房两 厅出*,新都盛世名门,白江,3室2厅 ,88.4, 南 , 精装 ,11,2012, 塔楼,22, 一年前发布,1690000.0,"19,118元/平",近地铁 VR看装修 房本满两年 随时看房 
锦绣新天地 三房两卫 安静朝花园 住家适宜 生活方便,锦绣新天地,新塘南,3室2厅 ,116.34, 北 , 毛坯 ,25,2012, 塔楼,21, 3个月以前发布,1460000.0,"12,550元/平",VR看装修 房本满五年 随时看房 
东北向望花园四房，改善型户型。,锦绣新天地,新塘南,4室2厅 ,156.29, 东北 , 简装 ,26,2012, 塔楼,0, 1个月以前发布,2190000.0,"14,013元/平",VR看装修 房本满五年 
此房满五唯一，税费少，南向小两房,水电广场,白江,2室1厅 ,53.67, 南 , 简装 ,23,2015, 塔楼,15, 5个月以前发布,800000.0,"14,906元/平",VR房源 房本满五年 
执信范围内 业主装修 三房加多个功能间 业主包增值税,岭秀苑,荔城西区,4室2厅 ,101.12, 东北 , 精装 ,15,2008, 塔楼,106, 一年前发布,1160000.0,"11,472元/平",VR看装修 房本满五年 
万象苑满五唯一 南向三房 楼龄新采光好  业主诚心出,新塘新世界花园万象苑,沙村,3室1厅 ,95.21, 南 , 精装 ,16,2014, 塔楼,11, 3个月以前发布,2350000.0,"24,683元/平",近地铁 VR房源 房本满五年 
中森名苑 近地铁 精装三房 满五年不唯一,中森茗苑,新塘北,3室1厅 ,84.99, 北 , 精装 ,17,2016, 塔楼,1, 1个月以前发布,1510000.0,"17,767元/平",VR看装修 房本满两年 
长岭居板块南向大3房 满五年 精装修,海伦春天,永和,3室2厅 ,102.0, 南 , 精装 ,28,2012, 塔楼,2, 1个月以前发布,1550000.0,"15,197元/平",VR看装修 房本满五年 
采光很好，望整片新塘公园 首付低 婚房三房,金泽华庭,新塘南,3室2厅 ,134.0, 北 , 精装 ,32,2009, 塔楼,0, 4个月以前发布,1860000.0,"13,881元/平",VR看装修 房本满五年 
城市家园 精装三房两厅两卫 装修保养好,城市家园二期,新塘北,3室1厅 ,108.94, 北 , 精装 ,28,2007, 塔楼,9, 5个月以前发布,1280000.0,"11,750元/平",VR看装修 房本满两年 
顶好大厦 4室2厅 南 北,顶好大厦,新塘南,4室2厅 ,107.73, 南 北 , 精装 ,7,2004, 板楼,5, 2个月以前发布,1270000.0,"11,789元/平",VR看装修 房本满两年 
满五年，电梯房，大两房。。。。,新康花园康馨苑,白江,2室1厅 ,87.75, 北 , 精装 ,11,2005, 板楼,0, 4个月以前发布,1150000.0,"13,106元/平",VR看装修 房本满五年 
地铁口景观三房，无抵押，满五唯一，自住装修保养好,东方名都,白江,3室2厅 ,96.01, 西北 , 精装 ,29,2013, 塔楼,23, 6个月以前发布,2000000.0,"20,832元/平",近地铁 VR房源 房本满五年 
凤馨苑 南向4房 带格楼 装修好靓 通风采光好,碧桂园凤凰城凤馨苑,凤凰城,2室2厅 ,96.26, 南 , 精装 ,5,2002, 塔楼,119, 8个月以前发布,1390000.0,"14,441元/平",VR看装修 房本满五年 
此房满五年不唯一格可优惠，格有空间,金泽豪庭,白江,3室2厅 ,125.49, 南 北 , 精装 ,26,2007, 塔楼,38, 1个月以前发布,2250000.0,"17,930元/平",近地铁 VR看装修 房本满五年 
新康花园  南北3房2卫，电梯房，高层  新装修,新康花园,白江,3室2厅 ,112.08, 北 , 精装 ,10,2003, 塔楼,3, 1个月以前发布,1490000.0,"13,295元/平",VR看装修 房本满五年 
业主自住房  精装修 采光好 业主诚心放卖,金色港湾,新塘南,2室1厅 ,54.41, 北 , 简装 ,7,2006, 塔楼,0, 1个月以前发布,828000.0,"15,218元/平",VR看装修 房本满五年 
凤晴南向两房，居住舒适，看房方便，满五唯一,碧桂园凤凰城凤晴苑,凤凰城,2室1厅 ,80.64, 南 , 简装 ,22,2002, 塔楼,1, 1个月以前发布,1350000.0,"16,742元/平",VR看装修 房本满五年 
嘉骏豪苑 东向 业主诚心放卖 看房随时,嘉骏豪苑,新塘南,2室1厅 ,65.7, 东 , 精装 ,18,2008, 塔楼,8, 5个月以前发布,850000.0,"12,938元/平",VR房源 房本满五年 
急卖 房子户型方正 满五唯一税费少 中间楼层采光好,广州海伦堡,沙村,2室2厅 ,76.46, 南 , 精装 ,18,2012, 塔楼,4, 1个月以前发布,1290000.0,"16,872元/平",VR看装修 房本满五年 
锦绣新天地 南向望小区花园 满五年不唯一,锦绣新天地,新塘南,2室1厅 ,82.78, 南 , 精装 ,17,2009, 塔楼,5, 3个月以前发布,1280000.0,"15,463元/平",VR看装修 房本满五年 
户型很好。通风采光好，配套成熟,力诚凯怡湾,新塘南,3室1厅 ,84.0, 东南 , 精装 ,18,2019, 塔楼,86, 一年前发布,1320000.0,"15,715元/平",VR看装修 房本满两年 
新世界花园万象苑 实用两房  过五年 税费低,新塘新世界花园万象苑,沙村,2室1厅 ,78.79, 东北 , 简装 ,18,2012, 塔楼,2, 1个月以前发布,1580000.0,"20,054元/平",近地铁 VR房源 房本满五年 
户型方正  高楼层采光通风好 看房方便 业主好说话,城市家园二期,新塘北,3室2厅 ,91.74, 南 , 简装 ,28,2007, 塔楼,127, 一年前发布,1190000.0,"12,972元/平",VR房源 房本满五年 
官湖地铁站旁 精装三房 满5年税费少,富雅都市华庭,新塘北,3室1厅 ,107.82, 南 , 精装 ,11,2014, 塔楼,4, 2个月以前发布,1680000.0,"15,582元/平",VR房源 房本满五年 
顺欣广场 3室2厅 南,顺欣广场,新塘北,3室2厅 ,95.44, 南 , 精装 ,11,2006, 塔楼,4, 7个月以前发布,1450000.0,"15,193元/平",VR房源 房本满五年 
锦绣国际四期小有三房全南向放卖，产权证过五年！,锦绣御景国际四期,荔城西区,3室1厅 ,116.15, 南 , 精装 ,32,2015, 塔楼,8, 1个月以前发布,1780000.0,"15,326元/平",VR房源 房本满五年 
金泽豪庭诚意转让，欢迎谈谈，大家多多带看,金泽豪庭,白江,3室2厅 ,113.03, 南 北 , 精装 ,27,2009, 塔楼,2, 3个月以前发布,2230000.0,"19,730元/平",近地铁 VR看装修 房本满五年 
过五唯一物业免个税，东南望花园，景观视野好,锦绣新天地,新塘南,3室1厅 ,91.05, 东南 , 简装 ,16,2009, 塔楼,49, 一年前发布,1480000.0,"16,255元/平",VR看装修 房本满五年 
满五唯一少税，中层望公园，安静舒适,碧桂园凤凰城凤仪苑,凤凰城,3室2厅 ,99.27, 西南 , 精装 ,6,2002, 塔楼,21, 一年前发布,1550000.0,"15,614元/平",VR房源 房本满五年 
凤馨苑满五唯一带车位，高层三房两卫，明厨明卫,碧桂园凤凰城凤馨苑,凤凰城,3室1厅 ,92.95, 东北 , 简装 ,18,2002, 塔楼,13, 一年前发布,1590000.0,"17,106元/平",VR看装修 房本满两年 
正南向精装三房 总*低 格局方正采光好,金泽华庭,新塘南,3室2厅 ,103.88, 南 , 精装 ,20,2009, 塔楼,151, 一年前发布,1250000.0,"12,034元/平",VR看装修 房本满五年 
中楼层.小区环境优美，南北对流户型好,豪进山湖珺璟,白江,3室1厅 ,123.35, 南 北 , 精装 ,20,2011, 塔楼,0, 一年前发布,2350000.0,"19,052元/平",VR看装修 房本满五年 
保利中航城高层地铁口南向三房两卫,保利中航城一期,朱村,3室2厅 ,91.94, 南 , 精装 ,27,2018, 塔楼,74, 一年前发布,1540000.0,"16,751元/平",VR看装修 房本满两年 随时看房 
仁安花园 3室1厅 南,仁安花园,朱村,3室1厅 ,130.13, 南 , 其他 ,9,2017, 塔楼,1, 1个月以前发布,1390000.0,"10,682元/平",近地铁 VR房源 房本满两年 随时看房 
满5唯一税少。房子无欠款业主诚心出 户型方正望花园。,锦绣新天地,新塘南,3室1厅 ,109.32, 北 , 简装 ,26,2009, 塔楼,8, 3个月以前发布,1550000.0,"14,179元/平",VR看装修 房本满五年 随时看房 
凤凰城凤馨苑精装三房保养新 望花园安静舒适 证满五年,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,93.09, 北 , 精装 ,18,2002, 塔楼,13, 3个月以前发布,1480000.0,"15,899元/平",VR看装修 房本满五年 随时看房 
挂绿湖旁物业，空气好，交通便利，望湖芯景观好,保利壹号公馆,增城区府,4室2厅 ,145.4, 南 北 , 毛坯 ,12,2010, 板塔结合,1, 2个月以前发布,2080000.0,"14,306元/平",VR房源 房本满五年 随时看房 
盛世名苑南向三房 白江口交通方便 自住装修保养好,新都盛世名门宏城汇,白江,3室2厅 ,90.42, 东南 , 精装 ,22,2012, 板楼,24, 7个月以前发布,1910000.0,"21,124元/平",近地铁 VR看装修 房本满五年 随时看房 
荔山苑3房2卫配车位 高层南向，毛坯随心装修,碧桂园豪园荔山苑,增城碧桂园,3室1厅 ,106.0, 南 , 其他 ,22,2018, 塔楼,18, 一年前发布,1420000.0,"13,397元/平",VR房源 房本满两年 随时看房 
金泽豪庭，南向三房，安静舒适，拎包入住,金泽豪庭,白江,3室1厅 ,89.28, 南 , 精装 ,26,2007, 塔楼,111, 5个月以前发布,1700000.0,"19,042元/平",近地铁 VR房源 房本满两年 随时看房 
豪进山湖珺璟 4室2厅 南,豪进山湖珺璟,白江,4室2厅 ,122.14, 南 , 精装 ,32,2011, 塔楼,0, 1个月以前发布,2350000.0,"19,241元/平",VR看装修 房本满五年 随时看房 
房子满五唯一省增值税和个税，业主诚心卖,碧桂园凤凰城凤馨苑,凤凰城,3室1厅 ,92.74, 北 , 精装 ,18,2002, 塔楼,1, 1个月以前发布,1510000.0,"16,283元/平",VR看装修 房本满五年 随时看房 
教育城板块 满五免增值税 碧桂园大三房,碧桂园城市花园花岸苑,朱村,3室2厅 ,113.9, 北 , 毛坯 ,25,2016, 板塔结合,6, 一年前发布,1480000.0,"12,994元/平",VR房源 房本满五年 随时看房 
