南北通透双阳台！一线瞰湖！看房方便,南沙奥园,南沙湾,3室1厅 ,134.16, 南 北 , 精装 ,11,2012, 塔楼,0,5,2050000.0,"15,281元/平",VR房源 房本满两年 随时看房 
区府旁南向三房、目前空置看房方便,叠翠峰,南沙区府,3室2厅 ,109.11, 东南 南 , 精装 ,24,2017, 塔楼,18, 一年前发布,3650000.0,"33,453元/平",VR看装修 房本满两年 随时看房 
"税费可谈！全新未住的，中高楼层，南北对流,",阳光城丽景湾,进港大道,3室2厅 ,108.52, 南 北 , 精装 ,28,2017, 塔楼,97, 9个月以前发布,2280000.0,"21,010元/平",VR看装修 房本满两年 随时看房 
富力天海湾，南向单位，通风采光好，一线江景,富力天海湾,明珠湾,2室1厅 ,53.83, 南 , 毛坯 ,22,2016, 塔楼,2, 6个月以前发布,790000.0,"14,676元/平",房本满两年 随时看房 
蕉门地铁口，大型小区环境好，保养新，满五唯一,万科府前一号,南沙区府,3室2厅 ,123.26, 东 西 , 精装 ,30,2014, 板楼,17, 一年前发布,2990000.0,"24,258元/平",VR看装修 房本满五年 随时看房 
南沙金茂湾高楼层南向望蕉门水道凤凰大桥,南沙金茂湾,明珠湾,3室1厅 ,82.19, 西南 , 精装 ,26,2016, 板塔结合,35, 2个月以前发布,1500000.0,"18,251元/平",房本满两年 随时看房 
南沙湾东苑三房好户型，业主诚意放卖,南沙湾东苑,南沙港,3室1厅 ,89.41, 南 , 毛坯 ,30,2017, 板塔结合,0, 2个月以前发布,2580000.0,"28,856元/平",近地铁 VR看装修 房本满两年 随时看房 
创鸿嘉园 3室2厅 南,创鸿嘉园,金洲,3室2厅 ,69.7, 南 , 精装 ,21,2013, 塔楼,0, 1个月以前发布,1280000.0,"18,365元/平",房本满两年 随时看房 
保利大都汇  复 式 诚 意 放 卖,南沙大都汇,金洲,2室1厅 ,64.0, 南 , 其他 ,22,2016, 塔楼,3, 6个月以前发布,1000000.0,"15,625元/平",房本满五年 随时看房 
南沙金茂湾  精装三房 即买即收租,南沙金茂湾,明珠湾,3室2厅 ,86.68, 东 , 精装 ,18,2016, 塔楼,179, 一年前发布,1500000.0,"17,306元/平",房本满两年 随时看房 
凯德新玥 2室1厅 西南,凯德新玥,榄核镇,2室1厅 ,46.0, 西南 , 毛坯 ,22,2015, 塔楼,9, 一年前发布,450000.0,"9,783元/平",房本满五年 随时看房 
凯德新玥复式单位 中楼层 采光好 方便看房,凯德新玥,榄核镇,2室2厅 ,59.36, 南 , 精装 ,22,2015, 塔楼,47, 一年前发布,580000.0,"9,771元/平",房本满五年 随时看房 
凯德新玥 2室2厅 南,凯德新玥,榄核镇,2室2厅 ,79.04, 南 , 毛坯 ,32,2015, 塔楼,0,23,1100000.0,"13,918元/平",VR看装修 房本满五年 随时看房 
碧桂园天玺湾，精装三房两卫，高层南向看海，有车位。,碧桂园天玺湾,进港大道,3室2厅 ,104.67, 西南 , 精装 ,17,2014, 板塔结合,0,23,3600000.0,"34,394元/平",VR房源 房本满五年 
南沙湾高层三房，业主自己装修，三房，,南沙湾东苑,南沙港,3室1厅 ,89.57, 西北 , 精装 ,30,2017, 板塔结合,0,31,2700000.0,"30,145元/平",近地铁 VR看装修 房本满两年 
珠江湾三期 一线江景 高层视野无遮挡,南沙珠江湾,南沙湾,3室1厅 ,118.93, 东 , 其他 ,32,2015, 板塔结合,0,31,3000000.0,"25,225元/平",VR看装修 房本满五年 
时代南湾 3室1厅 东,时代南湾,南沙港,3室1厅 ,96.3, 东 , 精装 ,32,2013, 板塔结合,0,19,2250000.0,"23,365元/平",VR看装修 房本满两年 
南向三房  无抵押欠款  交易方便  业主诚心卖,阳光城丽景湾熙然府,进港大道,3室2厅 ,88.03, 南 , 精装 ,33,2019, 塔楼,0,29,2370000.0,"26,923元/平",VR看装修 房本满两年 
龙光棕榈水岸北区 4室2厅 南 北,龙光棕榈水岸北区,南沙区府,4室2厅 ,140.41, 南 北 , 精装 ,18,2014, 塔楼,0,24,3800000.0,"27,064元/平",近地铁 VR看装修 房本满两年 
区府板块 叠翠峰 一线凤凰湖景观 诚意放卖 看房方便,叠翠峰,南沙区府,3室2厅 ,104.45, 东南 , 其他 ,26,2018, 塔楼,1,21,3600000.0,"34,467元/平",VR看装修 房本满两年 
小区出行方便，户型方正。看房方便。,明珠花园(南沙区),金洲,3室2厅 ,121.3, 东南 , 其他 ,12,1999, 塔楼,0,28,1400000.0,"11,542元/平",VR房源 房本满五年 
越秀滨海隽城 3室2厅 南,越秀滨海隽城,金洲,3室2厅 ,123.32, 南 , 精装 ,18,2012, 塔楼,0,30,3130000.0,"25,382元/平",VR看装修 房本满五年 
精装修，带全套实木家具，保养好，南向看小区花园,越秀滨海悦城,金洲,3室2厅 ,117.13, 南 北 , 精装 ,31,2013, 塔楼,0,21,3360000.0,"28,687元/平",VR看装修 房本满五年 
翡翠蓝湾刚需3房，带露台，毛坯，业主诚心卖房,大岗翡翠蓝湾东区,大岗镇,3室1厅 ,85.64, 北 , 毛坯 ,9,2011, 板楼,0,16,1260000.0,"14,713元/平",VR看装修 房本满两年 
时代南湾看湖4房诚意放卖，景观好,时代南湾,南沙港,4室2厅 ,173.13, 南 北 , 简装 ,24,2012, 板塔结合,0,20,4000000.0,"23,105元/平",VR看装修 房本满五年 
南沙境界  90方三房  得房率高  业主心诚  满5唯一,南沙境界家园,黄阁,3室1厅 ,90.44, 东南 , 简装 ,13,2007, 塔楼,0,18,1830000.0,"20,235元/平",VR看装修 房本满五年 
金洲地铁口焦门河旁三房两卫南北对流诚心卖,丰庭花园,金洲,3室2厅 ,93.0, 南 北 , 简装 ,15,2005, 板楼,0,27,1830000.0,"19,678元/平",VR看装修 房本满五年 
满五年 税费低 看江景 随时可看,碧桂园天玺湾,进港大道,3室2厅 ,101.8, 北 , 其他 ,27,2014, 板塔结合,0,24,2400000.0,"23,576元/平",VR房源 房本满五年 
越秀滨海珺城 大三房 南向高楼层望江 精致装修保养好,越秀滨海珺城,明珠湾,3室2厅 ,114.67, 东南 南 , 精装 ,28,2014, 塔楼,1,28,3280000.0,"28,604元/平",VR看装修 房本满两年 
南北对流带车位出*，可按自己喜欢的装修风格设计,凯德新玥,榄核镇,3室2厅 ,93.31, 南 , 毛坯 ,32,2015, 塔楼,8, 一年前发布,1650000.0,"17,683元/平",VR看装修 房本满五年 随时看房 
南沙境界  大三房 东南朝向 视野好 居住舒服,南沙境界家园,黄阁,3室2厅 ,121.35, 东南 , 毛坯 ,14,2007, 塔楼,2, 一年前发布,2590000.0,"21,344元/平",VR看装修 房本满五年 随时看房 
南北对流大三房 全新装修保养好 没有住过 随时看房,阳光城丽景湾,进港大道,3室2厅 ,133.75, 南 北 , 精装 ,28,2017, 塔楼,13, 3个月以前发布,3000000.0,"22,430元/平",VR看装修 房本满两年 随时看房 
碧桂园蜜柚   3房2   精装修,碧桂园蜜柚,进港大道,3室1厅 ,88.1, 南 北 , 精装 ,27,2018, 塔楼,2, 8个月以前发布,2350000.0,"26,675元/平",VR看装修 房本满两年 随时看房 
南沙心意华庭 飞沙角地铁站 东南向2房 业主包增值税,南沙心意华庭,金洲,2室1厅 ,67.26, 东南 , 毛坯 ,11,2015, 板塔结合,79, 一年前发布,1480000.0,"22,005元/平",近地铁 VR看装修 房本满两年 随时看房 
珠光南沙御景 商圈旁 过五年 业主急卖 看房方便,珠光南沙御景,金洲,4室2厅 ,144.91, 南 , 毛坯 ,18,2012, 板塔结合,14, 一年前发布,2680000.0,"18,495元/平",VR看装修 房本满五年 随时看房 
碧桂园天玺湾中高层风景，南向、满五、执信教育环境好,碧桂园天玺湾,进港大道,3室1厅 ,78.48, 西南 , 精装 ,18,2014, 塔楼,5, 一年前发布,2355000.0,"30,008元/平",VR房源 房本满五年 随时看房 
南向户型满五唯一 全新没入住 业主定期打理 保养很好,碧桂园天玺湾,进港大道,3室2厅 ,93.18, 南 西南 , 精装 ,27,2014, 板塔结合,1, 4个月以前发布,2540000.0,"27,260元/平",VR房源 房本满五年 随时看房 
心意华庭清水毛坯小三房，格局好，业主诚心出,南沙心意华庭,金洲,3室2厅 ,81.27, 北 , 毛坯 ,18,2016, 板塔结合,9, 7个月以前发布,1880000.0,"23,133元/平",近地铁 VR看装修 房本满两年 随时看房 
龙光棕榈水岸北区 3室1厅 东南,龙光棕榈水岸北区,南沙区府,3室1厅 ,121.57, 东南 , 精装 ,18,2014, 塔楼,2, 3个月以前发布,3400000.0,"27,968元/平",近地铁 VR房源 房本满两年 随时看房 
中式园林设计小区，书香园林气息，交通便利，接主干道,南沙云山诗意,金洲,3室2厅 ,125.67, 南 , 精装 ,28,2014, 塔楼,0, 4个月以前发布,3600000.0,"28,647元/平",VR看装修 房本满五年 随时看房 
高楼层视野宽广大三房不用开空调都很舒服,阳光城丽景湾,进港大道,3室2厅 ,131.0, 南 西南 , 其他 ,30,2017, 塔楼,1, 一年前发布,3200000.0,"24,428元/平",VR看装修 房本满两年 随时看房 
悠山时光 3室1厅 北,悠山时光,南沙港,3室1厅 ,90.95, 北 , 其他 ,16,2016, 板塔结合,1, 2个月以前发布,2000000.0,"21,991元/平",VR看装修 房本满两年 随时看房 
业主诚心放卖 诚心出手好谈 中楼层刚需三房,碧桂园蜜柚,进港大道,3室2厅 ,88.1, 南 北 , 精装 ,27,2018, 塔楼,0, 5个月以前发布,2290000.0,"25,994元/平",VR看装修 房本满两年 随时看房 
碧桂园豪庭  三房南望花园   学楼旁边,南沙碧桂园豪庭,金洲,3室2厅 ,98.67, 西南 , 其他 ,18,2007, 塔楼,2, 5个月以前发布,2230000.0,"22,601元/平",VR看装修 房本满两年 随时看房 
碧桂园天玺湾，精装温馨大三房，中层依山望海，保养好,碧桂园天玺湾,进港大道,3室1厅 ,102.59, 南 , 精装 ,27,2014, 板塔结合,14, 7个月以前发布,2680000.0,"26,124元/平",VR房源 房本满两年 随时看房 
视野开阔，产权清晰，实用三房两一卫。,碧桂园天玺湾,进港大道,3室2厅 ,83.0, 东北 , 其他 ,18,2014, 塔楼,10, 一年前发布,2250000.0,"27,109元/平",VR房源 房本满五年 随时看房 
南沙湾东苑 3室2厅 南 北,南沙湾东苑,南沙港,3室2厅 ,115.35, 南 北 , 毛坯 ,30,2017, 板塔结合,10, 6个月以前发布,3500000.0,"30,343元/平",近地铁 VR房源 房本满两年 随时看房 
海力花园   户型方正  采光充足  过五唯一,海力花园,进港大道,3室2厅 ,134.73, 东南 , 精装 ,12,2012, 塔楼,1, 6个月以前发布,2700000.0,"20,041元/平",VR看装修 房本满五年 随时看房 
近黄山鲁深林公园大三房 *低 环境好,南沙碧桂园,金洲,3室1厅 ,152.4, 南 , 精装 ,11,2007, 板塔结合,7, 一年前发布,2800000.0,"18,373元/平",VR看装修 房本满五年 随时看房 
小三房，景观好，户型方正，配套齐全。,广晟圣淘沙,进港大道,3室2厅 ,77.3, 南 , 精装 ,18,2017, 塔楼,23, 一年前发布,2060000.0,"26,650元/平",VR看装修 房本满两年 随时看房 
实用率高，装修保养很好，通风采光很好很， 满五唯一,广晟海韵兰庭,进港大道,1室1厅 ,52.28, 南 , 精装 ,18,2012, 塔楼,45, 一年前发布,1250000.0,"23,910元/平",VR房源 房本满五年 随时看房 
湖景三房 证过五年 税费低 看房方便,碧桂园天玺湾,进港大道,3室2厅 ,97.28, 南 , 其他 ,31,2014, 板塔结合,2, 一年前发布,3000000.0,"30,839元/平",VR看装修 房本满五年 随时看房 
精装南向3房，保养好，看房方便，诚意卖,南沙湾东苑,南沙港,3室2厅 ,89.97, 南 , 其他 ,29,2017, 板塔结合,22, 一年前发布,2600000.0,"28,899元/平",VR看装修 房本满两年 随时看房 
碧桂园天玺湾 3室1厅 南,碧桂园天玺湾,进港大道,3室1厅 ,78.3, 南 , 其他 ,17,2014, 板塔结合,0, 2个月以前发布,2260000.0,"28,864元/平",VR房源 房本满两年 随时看房 
毛坯大三房 南向望黄山鲁 随时可看,悠山时光,南沙港,3室2厅 ,112.6, 南 , 其他 ,24,2016, 板塔结合,1, 一年前发布,2460000.0,"21,848元/平",VR看装修 房本满两年 随时看房 
房子过两年，看花园，安静适宜，,时代南湾,南沙港,3室2厅 ,92.84, 南 , 其他 ,32,2013, 板塔结合,4, 一年前发布,2650000.0,"28,544元/平",VR看装修 房本满五年 随时看房 
高层三房，方正实用，一线靓景，看湖看海,时代南湾,南沙港,3室2厅 ,92.84, 东北 , 精装 ,32,2013, 板塔结合,4, 一年前发布,2700000.0,"29,083元/平",VR看装修 房本满五年 随时看房 
中高层满五唯一  前湖后海靓景观  执信九年一贯,碧桂园天玺湾,进港大道,3室2厅 ,98.01, 北 , 其他 ,31,2014, 板塔结合,0, 11个月以前发布,2700000.0,"27,549元/平",VR房源 房本满五年 随时看房 
成熟品质小区时代南湾刚需户型 满五不唯一 看房方便,时代南湾,南沙港,3室2厅 ,96.0, 东南 , 精装 ,32,2012, 板塔结合,1, 一年前发布,2590000.0,"26,980元/平",VR看装修 房本满五年 随时看房 
高楼层视线好，阳台望山望湖，区政府板块配套齐全；,万科府前一号,南沙区府,3室2厅 ,122.15, 南 北 , 其他 ,28,2014, 板楼,7, 9个月以前发布,3100000.0,"25,379元/平",VR看装修 房本满五年 随时看房 
南沙区海力花园三房两卫，诚意放卖,海力花园,进港大道,3室1厅 ,111.41, 北 , 毛坯 ,11,2012, 塔楼,228, 8个月以前发布,2220000.0,"19,927元/平",VR看装修 房本满五年 随时看房 
南沙境界四期高层南向大三房，视野开阔无遮挡望区政府,南沙境界家园,黄阁,3室1厅 ,136.11, 南 , 毛坯 ,27,2013, 板塔结合,9, 11个月以前发布,2900000.0,"21,307元/平",VR看装修 房本满五年 随时看房 
南沙湾东苑，品质小区，视野开阔，一线看海，看房方便,南沙湾东苑,南沙港,3室2厅 ,90.63, 东北 , 其他 ,30,2017, 板塔结合,2, 11个月以前发布,3000000.0,"33,102元/平",近地铁 VR看装修 房本满两年 随时看房 
南沙蜜柚标准三房    户型方正   中高楼层  看房方便,碧桂园蜜柚,进港大道,3室2厅 ,98.0, 东南 , 其他 ,27,2018, 塔楼,1, 6个月以前发布,2650000.0,"27,041元/平",VR看装修 房本满两年 随时看房 
区府板块华师旁边社区难得低密度全南向户型，诚意卖,阳光城香缇溪岸,进港大道,4室2厅 ,157.2, 南 , 其他 ,11,2008, 塔楼,75, 一年前发布,2900000.0,"18,448元/平",VR房源 房本满两年 随时看房 
公园旁小区，满五年唯一，省税费，刚需上车好选择,美福花园,进港大道,3室1厅 ,116.0, 南 , 简装 ,21,2009, 塔楼,5, 一年前发布,1700000.0,"14,656元/平",VR房源 房本满五年 随时看房 
南沙湾优山悦海，华师，广州市二中，看房方便,优山悦海,南沙港,3室2厅 ,119.52, 北 东北 , 毛坯 ,18,2013, 塔楼,11, 一年前发布,3100000.0,"25,938元/平",近地铁 VR看装修 房本满两年 随时看房 
时代南湾3房，户型方正楼层好，景观好,时代南湾,南沙港,3室1厅 ,91.66, 南 , 简装 ,32,2012, 板塔结合,8, 一年前发布,2700000.0,"29,457元/平",VR看装修 房本满五年 随时看房 
证过五年低税费，东北向，南北。。采光好，实用三房,碧桂园天玺湾,进港大道,3室2厅 ,108.0, 东北 , 精装 ,26,2014, 板塔结合,2, 一年前发布,3100000.0,"28,704元/平",VR看装修 房本满五年 随时看房 
南沙奥园3房两卫，毛坯业主诚意放卖,南沙奥园,南沙湾,3室2厅 ,132.44, 东南 , 毛坯 ,9,2012, 塔楼,0, 7个月以前发布,2380000.0,"17,971元/平",VR看装修 房本满五年 随时看房 
房子自带40平米左右的小花园，配套齐全,海力花园,进港大道,2室2厅 ,89.76, 南 北 , 毛坯 ,11,2012, 塔楼,8, 一年前发布,2100000.0,"23,396元/平",VR看装修 房本满五年 随时看房 
丰庭花园 地铁口  小区中间位置 高层3房 采光好,丰庭花园,金洲,3室1厅 ,93.29, 东北 , 其他 ,15,2009, 板楼,2, 8个月以前发布,1945000.0,"20,849元/平",VR看装修 房本满两年 随时看房 
碧桂园天玺湾 3室1厅 北,碧桂园天玺湾,进港大道,3室1厅 ,117.5, 北 , 其他 ,18,2014, 板塔结合,0, 10个月以前发布,3500000.0,"29,788元/平",VR房源 房本满五年 随时看房 
南沙碧桂园经典大三房 格局方正 精装修 家私电全包,南沙碧桂园,金洲,3室1厅 ,115.25, 北 , 精装 ,18,2007, 板塔结合,1, 3个月以前发布,2080000.0,"18,048元/平",VR看装修 房本满两年 随时看房 
满五满五！南沙碧桂园三房 中层北向 看房方便,南沙碧桂园,金洲,3室2厅 ,108.97, 北 , 精装 ,11,2007, 板塔结合,25, 一年前发布,2000000.0,"18,354元/平",VR看装修 房本满五年 随时看房 
碧桂园天玺湾 3室1厅 东北,碧桂园天玺湾,进港大道,3室1厅 ,102.0, 东北 , 其他 ,30,2014, 板塔结合,0, 2个月以前发布,2680000.0,"26,275元/平",VR房源 房本满五年 随时看房 
时代云图精装三房两卫，全新未住，购置家电即可入住,广州时代云图,金洲,3室2厅 ,96.69, 南 , 精装 ,18,2016, 塔楼,10, 7个月以前发布,2880000.0,"29,786元/平",VR看装修 房本满五年 随时看房 
碧桂园天玺湾  隔壁执信  底层 三房两卫,碧桂园天玺湾,进港大道,3室2厅 ,97.93, 西南 , 其他 ,18,2014, 板塔结合,3, 9个月以前发布,2550000.0,"26,040元/平",VR看装修 房本满五年 随时看房 
天玺湾 舒适三房看园林诚心出  看房随时方便,碧桂园天玺湾,进港大道,3室2厅 ,98.01, 西北 , 精装 ,31,2014, 板塔结合,0, 2个月以前发布,3000000.0,"30,610元/平",VR房源 房本满五年 随时看房 
天玺湾精装三房，高层南向看海，过五唯一,碧桂园天玺湾,进港大道,3室2厅 ,89.33, 东南 , 精装 ,31,2014, 板塔结合,13, 一年前发布,2450000.0,"27,427元/平",VR房源 房本满五年 随时看房 
时代长岛   精装修   中楼层   看房方便,时代长岛,进港大道,3室2厅 ,80.62, 南 , 其他 ,30,2016, 塔楼,0, 10个月以前发布,2330000.0,"28,902元/平",VR看装修 房本满两年 随时看房 
海力花园   户型方正  采光充足  过五唯一,海力花园,进港大道,3室2厅 ,134.73, 东南 , 精装 ,12,2012, 塔楼,1, 6个月以前发布,2700000.0,"20,041元/平",VR看装修 房本满五年 随时看房 
南沙湾东苑 3室2厅 南 北,南沙湾东苑,南沙港,3室2厅 ,115.35, 南 北 , 毛坯 ,30,2017, 板塔结合,10, 6个月以前发布,3500000.0,"30,343元/平",近地铁 VR房源 房本满两年 随时看房 
南沙湾版块南向大三房，证过二，中高楼层视野开阔,优山悦海,南沙港,3室2厅 ,110.0, 南 , 其他 ,18,2013, 塔楼,27, 一年前发布,2950000.0,"26,819元/平",近地铁 VR看装修 房本满两年 随时看房 
时代南湾全新精装修三房 看海景 全新未住,时代南湾,南沙港,3室2厅 ,96.3, 东 , 其他 ,32,2013, 板塔结合,2, 10个月以前发布,2490000.0,"25,857元/平",VR看装修 房本满五年 随时看房 
时代南湾3房一卫 景观好户型佳 诚意放卖 带车位,时代南湾,南沙港,3室2厅 ,92.84, 东南 , 精装 ,32,2013, 板塔结合,1, 6个月以前发布,3000000.0,"32,314元/平",VR看装修 房本满五年 随时看房 
南沙湾精装两房 华师旁 地铁口,优山悦海,南沙港,2室1厅 ,77.78, 南 , 其他 ,18,2013, 塔楼,7, 9个月以前发布,1900000.0,"24,428元/平",近地铁 VR看装修 房本满两年 随时看房 
金洲地铁站，出门菜市场商场繁华地段，地铁公车方便,南沙碧桂园豪庭,金洲,3室2厅 ,91.35, 北 , 精装 ,18,2012, 塔楼,13, 6个月以前发布,2170000.0,"23,755元/平",VR看装修 房本满两年 随时看房 
业主诚心出 4房3卫 楼 王 单位 看房随时 南北对流,时代南湾,南沙港,4室2厅 ,242.47, 东南 , 其他 ,29,2015, 塔楼,6, 6个月以前发布,5900000.0,"24,333元/平",VR看装修 房本满两年 随时看房 
明珠湾板块，综合体小区，品牌五星物业管理,南沙金茂湾,明珠湾,4室2厅 ,91.22, 东南 , 其他 ,15,2016, 塔楼,5, 2个月以前发布,1600000.0,"17,541元/平",房本满两年 随时看房 
南向舒适大三房，毛坯，高楼层  户型方正,广晟海韵兰庭,进港大道,3室2厅 ,132.0, 南 北 , 毛坯 ,18,2012, 塔楼,2, 一年前发布,3000000.0,"22,728元/平",VR房源 房本满五年 随时看房 
阳光城丽景湾 全新未入住 南向精装两房 高层靓景,阳光城丽景湾,进港大道,2室2厅 ,83.0, 西南 , 精装 ,32,2017, 塔楼,7, 一年前发布,2100000.0,"25,302元/平",VR看装修 房本满两年 随时看房 
碧桂园天玺湾 3室2厅 南 北,碧桂园天玺湾,进港大道,3室2厅 ,101.62, 南 北 , 精装 ,30,2014, 板塔结合,0, 3个月以前发布,2500000.0,"24,602元/平",VR房源 房本满两年 随时看房 
房子满五唯一   中楼层  采光好,丰庭花园,金洲,3室2厅 ,93.14, 北 , 其他 ,15,2009, 塔楼,24, 一年前发布,1830000.0,"19,648元/平",VR看装修 房本满五年 随时看房 
采光通风好，望山风景秀丽，居住舒适,南沙碧桂园,金洲,4室2厅 ,152.83, 南 , 精装 ,11,2007, 板塔结合,5, 一年前发布,2900000.0,"18,976元/平",VR看装修 房本满五年 随时看房 
房子满五，税低，保养新，可拎包入住，,大岗翡翠蓝湾北区,大岗镇,3室2厅 ,102.71, 南 北 , 其他 ,18,2011, 塔楼,3, 7个月以前发布,1520000.0,"14,799元/平",VR看装修 房本满五年 随时看房 
配套成熟小区，户型方正，采光充足，景观开阔,南沙碧桂园,金洲,3室1厅 ,109.0, 北 , 简装 ,11,2007, 板塔结合,6, 一年前发布,1850000.0,"16,973元/平",VR看装修 房本满五年 随时看房 
业主诚心卖，房子没有住过，户型好，高楼层视野宽,龙光棕榈水岸北区,南沙区府,3室2厅 ,92.23, 东南 , 精装 ,17,2010, 塔楼,24, 9个月以前发布,2450000.0,"26,565元/平",VR看装修 房本满两年 随时看房 
房源保养好，看房方便，业主诚心卖,万科南方公元,黄阁,3室1厅 ,88.26, 南 , 精装 ,24,2016, 塔楼,25, 5个月以前发布,1850000.0,"20,961元/平",VR看装修 房本满两年 随时看房 
南沙金茂湾 朝江三房 看园林看绿化,南沙金茂湾,明珠湾,3室2厅 ,123.64, 东南 , 毛坯 ,25,2017, 塔楼,33, 4个月以前发布,4490000.0,"36,316元/平",VR看装修 房本满两年 随时看房 
高层无遮挡大户型，视野开阔，采光好,阳光城丽景湾,进港大道,5室2厅 ,174.78, 南 , 毛坯 ,28,2017, 塔楼,17, 一年前发布,3780000.0,"21,628元/平",VR房源 房本满两年 随时看房 
有钥匙看房方便     5月         满五年唯一,南沙碧桂园豪庭,金洲,3室1厅 ,129.68, 东南 , 其他 ,18,2012, 塔楼,5, 一年前发布,2950000.0,"22,749元/平",近地铁 VR房源 房本满五年 随时看房 
满五唯一   朝向好   视野好,丰庭花园,金洲,3室1厅 ,92.13, 北 , 精装 ,15,2009, 板楼,98, 一年前发布,1780000.0,"19,321元/平",VR看装修 房本满五年 随时看房 
满五唯一，视野开阔，楼层好，采光充足。,碧桂园天玺湾,进港大道,3室2厅 ,89.03, 南 , 简装 ,29,2014, 板塔结合,6, 一年前发布,2580000.0,"28,979元/平",VR看装修 房本满五年 随时看房 
碧桂园开发，环境优美，三房两卫望湖单位,碧桂园天玺湾,进港大道,3室2厅 ,97.52, 北 , 精装 ,29,2014, 板塔结合,1, 5个月以前发布,2630000.0,"26,969元/平",VR房源 房本满两年 随时看房 
急，急，急，满五年，南向三房，高层看海，含车位,碧桂园天玺湾,进港大道,3室2厅 ,89.0, 南 , 其他 ,31,2014, 板塔结合,5, 6个月以前发布,2500000.0,"28,090元/平",VR看装修 房本满五年 随时看房 
满五唯一，正南向，中高楼层，视野开阔,碧桂园天玺湾,进港大道,3室2厅 ,88.0, 南 西南 , 其他 ,29,2014, 板塔结合,5, 7个月以前发布,2420000.0,"27,500元/平",VR房源 房本满五年 随时看房 
此房满五唯一，南北对流，户型方正，看花园景观好,碧桂园天玺湾,进港大道,3室2厅 ,98.0, 东北 , 其他 ,31,2014, 板塔结合,0, 4个月以前发布,2200000.0,"22,449元/平",VR房源 房本满五年 随时看房 
优山悦海 三房 户型格局方正 位置安静 看房方便,优山悦海,南沙港,3室2厅 ,122.42, 东南 , 其他 ,18,2013, 塔楼,0, 9个月以前发布,3130000.0,"25,568元/平",近地铁 VR看装修 房本满两年 随时看房 
满五年，精装修保养靓，诚心挂牌,南沙碧桂园,金洲,3室2厅 ,108.97, 东北 , 精装 ,11,2007, 板塔结合,1, 2个月以前发布,1960000.0,"17,987元/平",VR房源 房本满五年 随时看房 
南沙奥园毛坯3+1房 环境优美 视野开阔,南沙奥园,南沙湾,3室2厅 ,134.44, 东 , 毛坯 ,9,2012, 塔楼,24, 一年前发布,2220000.0,"16,513元/平",VR房源 房本满五年 随时看房 
急 急 急  南沙金茂湾 大三房 3室2卫 东南向,南沙金茂湾,明珠湾,3室1厅 ,123.64, 南 , 毛坯 ,25,2017, 塔楼,4, 9个月以前发布,4100000.0,"33,161元/平",VR看装修 房本满两年 随时看房 
碧桂园天玺湾看湖方正大三房，看小区花园,碧桂园天玺湾,进港大道,3室1厅 ,117.41, 北 东北 , 简装 ,17,2014, 板塔结合,4, 4个月以前发布,2800000.0,"23,849元/平",VR房源 房本满两年 随时看房 
南向大三房。厅房出大阳台，通风、采光都挺好，中间位,优山悦海,南沙港,3室2厅 ,122.42, 南 , 其他 ,18,2013, 塔楼,0, 5个月以前发布,3250000.0,"26,548元/平",近地铁 VR看装修 房本满五年 随时看房 
时代南湾 4室2厅 东北,时代南湾,南沙港,4室2厅 ,124.12, 东北 , 其他 ,32,2012, 板塔结合,0, 1个月以前发布,3300000.0,"26,588元/平",VR看装修 房本满五年 随时看房 
南沙湾东苑 4室2厅 南 北,南沙湾东苑,南沙港,4室2厅 ,137.49, 南 北 , 毛坯 ,26,2011, 板塔结合,3, 6个月以前发布,4200000.0,"30,548元/平",VR看装修 房本满两年 随时看房 
优山悦海 3室2厅 南,优山悦海,南沙港,3室2厅 ,121.45, 南 , 其他 ,18,2013, 塔楼,0, 4个月以前发布,3110000.0,"25,608元/平",近地铁 VR看装修 房本满五年 随时看房 
对流采光通风佳，望小区园林，湖景，舒适度高 满五,时代南湾,南沙港,4室2厅 ,147.86, 南 北 , 精装 ,32,2012, 板塔结合,9, 6个月以前发布,3700000.0,"25,024元/平",VR看装修 房本满五年 随时看房 
南沙碧桂园蜜柚，全新南向3房2卫,碧桂园蜜柚,进港大道,3室2厅 ,98.55, 南 , 精装 ,26,2018, 塔楼,3, 11个月以前发布,2800000.0,"28,412元/平",VR看装修 房本满两年 随时看房 
时代南湾，刚需首.选温馨两房，高层北望海，钥匙在手,时代南湾,南沙港,2室2厅 ,84.31, 北 , 精装 ,31,2015, 板塔结合,5, 一年前发布,2400000.0,"28,467元/平",VR看装修 房本满五年 随时看房 
星河物业，低密度舒适社区。户型方正，视野开阔。,南沙湾东苑,南沙港,4室2厅 ,112.23, 东南 , 毛坯 ,30,2017, 板塔结合,19, 一年前发布,3620000.0,"32,256元/平",近地铁 VR看装修 房本满两年 随时看房 
广晟海韵兰庭 南北对流双阳台大三房满五唯一交易简单,广晟海韵兰庭,进港大道,3室1厅 ,136.95, 南 , 简装 ,18,2012, 塔楼,18, 10个月以前发布,3000000.0,"21,906元/平",VR房源 房本满五年 随时看房 
带2个车位 望湖单位 看房随时 对流双阳台 看房随时,时代南湾,南沙港,5室1厅 ,242.47, 东南 , 毛坯 ,29,2015, 塔楼,6, 8个月以前发布,6250000.0,"25,777元/平",VR看装修 房本满五年 随时看房 
