珠光新城御景二期 一线江景南向4房  视野开阔,珠光新城御景二期,珠江新城东,4室2厅 ,154.26, 南 北 , 精装 ,27,2017, 塔楼,84, 7个月以前发布,22800000.0,"147,803元/平",近地铁 VR看装修 房本满两年 随时看房 
方正大三房 南北对流 楼下就是幼儿园,新世界东逸花园,天河公园,3室2厅 ,116.58, 北 , 简装 ,24,2001, 塔楼,8, 2个月以前发布,8590000.0,"73,678元/平",近地铁 VR看装修 房本满五年 
东圃广场 看花园安静 采光通风好 业主诚心卖,东圃广场,东圃,3室1厅 ,88.78, 东北 , 精装 ,19,2002, 塔楼,5, 3个月以前发布,3380000.0,"37,985元/平",VR房源 房本满五年 
业主急卖，精装修，低于市场，中高楼层，板块主推,城市假日园,东圃,4室2厅 ,137.92, 北 , 精装 ,16,2004, 塔楼,21, 10个月以前发布,7210000.0,"52,231元/平",VR房源 房本满五年 
业主换房急卖，满五唯一，装修保养好，小区管理好,中海康城,黄村,3室2厅 ,110.75, 北 , 简装 ,12,2002, 板楼,53, 5个月以前发布,5990000.0,"54,086元/平",近地铁 VR看装修 房本满五年 
安静东南向大三房，视野开阔看游泳池，通风全明格局,中海康城,黄村,3室2厅 ,125.33, 东南 南 , 精装 ,17,2002, 塔楼,1, 1个月以前发布,8180000.0,"65,268元/平",近地铁 VR房源 房本满五年 
华景六期 电梯高层 南北对流 新装修保养好,华景新城逸晖居,华景新城,3室2厅 ,85.04, 东 南 北 , 精装 ,31,2000, 塔楼,71, 6个月以前发布,4750000.0,"55,854元/平",VR看装修 房本满五年 
地铁大三房，主卧南北对流，使用率高,中海康城,黄村,3室2厅 ,110.91, 北 , 精装 ,12,2002, 塔楼,12, 一年前发布,6350000.0,"57,254元/平",VR看装修 房本满五年 
信成小区  安静电梯三房 满五年 高楼层 采光好,信成小区,体育中心,3室1厅 ,70.09, 西北 , 简装 ,8,1995, 塔楼,8, 3个月以前发布,3640000.0,"51,900元/平",近地铁 VR看装修 房本满五年 
店长代言好房 带31㎡大平台 南向3+1房 采光好,金碧华府,珠江新城东,3室2厅 ,145.47, 南 , 精装 ,19,2004, 塔楼,15, 3个月以前发布,22300000.0,"153,297元/平",近地铁 VR房源 房本满五年 
东方之珠花园，三房，户型方正，采光通风好,东方之珠花园,天润路,3室2厅 ,114.48, 东南 南 , 简装 ,28,2004, 塔楼,5, 1个月以前发布,7600000.0,"66,388元/平",近地铁 VR房源 房本满五年 
业主诚心卖，通风采光好，中间楼层，近公园。,嘉惠苑,天河公园,3室1厅 ,74.14, 北 , 简装 ,9,2000, 塔楼,37, 2个月以前发布,2680000.0,"36,148元/平",近地铁 VR看装修 房本满五年 
天河北隆基怡苑电梯高层2房 通风采光好 视野无阻挡,隆基怡苑,沙太南,2室1厅 ,75.05, 西南 , 精装 ,17,1998, 塔楼,1, 1个月以前发布,2850000.0,"37,975元/平",VR房源 房本满五年 
天河北 信成小区  南向 笋三房,信成小区,体育中心,3室2厅 ,89.36, 南 , 简装 ,7,1995, 塔楼,1, 1个月以前发布,4640000.0,"51,900元/平",近地铁 VR看装修 房本满两年 
天朗明居南向三房，高层望花园，业主诚心卖,富力天朗明居,棠下,3室2厅 ,86.91, 南 , 精装 ,26,2004, 塔楼,32, 4个月以前发布,4410000.0,"50,725元/平",近地铁 VR房源 房本满两年 
满五年，户型方正，望花园安静，天河区电梯南向三房,云宁居,沙太南,3室1厅 ,82.57, 南 , 简装 ,9,1999, 塔楼,10, 2个月以前发布,2850000.0,"34,517元/平",VR看装修 房本满五年 
次新楼盘，高层正南向三房，南北对流，采光通风好,兰亭荟苑,珠江新城东,3室2厅 ,105.0, 南 北 , 精装 ,22,2015, 塔楼,8, 1个月以前发布,10800000.0,"102,858元/平",近地铁 VR看装修 房本满五年 
珠城地铁口 跑马地热卖小高层洋房  满五唯一,跑马地花园,珠江新城东,2室2厅 ,91.38, 北 , 精装 ,9,1998, 塔楼,43, 3个月以前发布,3710000.0,"40,584元/平",近地铁 VR房源 房本满五年 
时尚明苑户型方正，满五唯一，楼下双地铁，交通方便,时尚明苑,车陂,2室2厅 ,64.03, 南 , 精装 ,11,2006, 塔楼,50, 3个月以前发布,3580000.0,"55,912元/平",近地铁 VR看装修 房本满五年 
东晖花园顶层复式 有独立天台花园 满五年 自住保养好,东晖花园,天河公园,3室2厅 ,129.85, 东南 南 , 精装 ,11,1999, 塔楼,6, 1个月以前发布,8410000.0,"64,740元/平",近地铁 VR房源 房本满五年 
骏景高层南向3房，安静望花园，视野开阔通风采光好,骏景花园,棠下,3室2厅 ,141.13, 南 , 精装 ,19,2003, 塔楼,6, 9个月以前发布,7330000.0,"51,878元/平",近地铁 VR房源 房本满五年 
天河北金海花园 大型花小区 三房带主套，正南向,金海花园,龙口东,3室2厅 ,79.26, 南 , 精装 ,9,1998, 塔楼,4, 1个月以前发布,7300000.0,"92,102元/平",VR看装修 房本满两年 
五星阁—原装电梯实用三房 高楼层视野好，望山安静,五星阁,粤垦,3室2厅 ,109.68, 西北 , 简装 ,26,2000, 塔楼,30, 9个月以前发布,3650000.0,"33,279元/平",近地铁 VR房源 房本满五年 
穗乐花园 南向2房 装修保养好 证过5年,穗乐花园,员村,2室1厅 ,60.93, 南 , 精装 ,7,1995, 塔楼,29, 4个月以前发布,3100000.0,"50,879元/平",近地铁 VR房源 房本满五年 
原装电梯商品三房，满五唯一，中层 正南朝向 视野开阔,棠德花苑,棠下,3室2厅 ,93.23, 南 , 精装 ,29,1997, 塔楼,9, 3个月以前发布,3750000.0,"40,224元/平",VR看装修 房本满五年 
天河北 双地铁口 08年楼 满五年 税费少 业主诚心卖,中强雅苑,沙河,3室1厅 ,96.67, 北 , 精装 ,30,2007, 塔楼,0, 4个月以前发布,4380000.0,"45,309元/平",近地铁 VR看装修 房本满五年 
金穗大厦南向电梯两房视野开阔无遮挡望小蛮腰满五唯一,金穗大厦,体育中心,2室2厅 ,95.4, 南 , 精装 ,33,1997, 板塔结合,2, 1个月以前发布,4400000.0,"46,122元/平",近地铁 VR房源 房本满五年 
东成花园南向安静一房一厅，适合首付少人群，随时签约,东成花园,石牌,1室1厅 ,52.46, 南 , 简装 ,9,1997, 塔楼,14, 2个月以前发布,2500000.0,"47,656元/平",VR房源 房本满五年 
天河北龙口西 厅出阳台2房 户型方正实用 视野开阔,宝供大厦,天润路,2室1厅 ,70.31, 北 , 精装 ,23,2002, 塔楼,10, 一年前发布,4080000.0,"58,029元/平",VR看装修 房本满五年 
全新未住，东向高层安静望花园望珠江公园，三房三卫,嘉裕公馆,珠江新城中,3室2厅 ,151.89, 东 , 精装 ,33,2015, 塔楼,1, 2个月以前发布,28500000.0,"187,636元/平",近地铁 VR看装修 房本满两年 
珠江新城东南向三房两卫两厅珠江公园视野开阔户型方正,汇豪大厦,珠江新城东,3室2厅 ,98.0, 东南 , 精装 ,29,2000, 塔楼,81, 一年前发布,9380000.0,"95,715元/平",近地铁 VR看装修 房本满五年 
东南向三房  中高楼层  通风采光好,华景新城泽晖苑,华景新城,3室2厅 ,96.37, 东南 , 简装 ,9,1999, 塔楼,4, 一年前发布,5390000.0,"55,854元/平",VR房源 房本满五年 
华景新城东区 电梯单边位南向两房 安静舒适 保养好,华景新城晓景楼,华景新城,2室1厅 ,68.28, 南 , 精装 ,9,1995, 板楼,0, 1个月以前发布,3820000.0,"55,854元/平",VR看装修 房本满五年 
金融城旁，南向精装两房，近地铁，可拎包入住,迎翠春庭,棠下,2室2厅 ,56.76, 南 , 精装 ,9,2000, 塔楼,162, 7个月以前发布,1820000.0,"32,065元/平",近地铁 VR看装修 房本满五年 
铂林国际 全新装修 高层复式 采光好 各付各税,铂林国际公寓,珠江新城西,2室1厅 ,51.71, 东北 , 其他 ,22,2005, 塔楼,9, 2个月以前发布,3080000.0,"59,490元/平",近地铁 VR房源 房本满两年 
一梯两户低密度电梯山景洋房 南北通透 满五年唯一,半山溪谷E墅,黄村,3室2厅 ,150.43, 南 北 , 简装 ,8,2007, 板楼,1, 4个月以前发布,10000000.0,"66,477元/平",VR看装修 房本满五年 
校园环境 户型方正 南向3房 看房方便,广东外语职业艺术学院五山校区,五山,3室1厅 ,80.74, 南 , 精装 ,8,2000, 板塔结合,124, 6个月以前发布,3000000.0,"37,157元/平",VR看装修 房本满五年 随时看房 
星汇园 证满五年 厅出阳台 南向望花园 视野开阔,星汇园,珠江新城西,3室2厅 ,119.21, 西南 , 精装 ,32,2001, 塔楼,120, 4个月以前发布,8850000.0,"74,172元/平",近地铁 VR看装修 房本满五年 
时尚明苑两房，过五唯一物业，出行方便，楼下是4号线,时尚明苑,车陂,2室1厅 ,64.03, 南 , 精装 ,11,2006, 塔楼,15, 6个月以前发布,3700000.0,"57,786元/平",近地铁 VR看装修 房本满五年 
瑜翠园高层满五年商品房，安静位置,瑜翠园,龙洞,3室2厅 ,88.37, 北 , 精装 ,18,2008, 塔楼,26, 1个月以前发布,3250000.0,"36,778元/平",VR看装修 房本满五年 
天河18号线阳光家园 100出头就可以买到两房,阳光家园(天河),沙太南,2室1厅 ,33.81, 南 , 精装 ,9,2002, 塔楼,5, 1个月以前发布,1200000.0,"35,493元/平",VR看装修 房本满五年 
2015年次新楼 美林湖畔 安静望花园 精装三房两卫,美林湖畔花园誉府,东圃,3室2厅 ,114.87, 北 , 精装 ,10,2015, 塔楼,1, 1个月以前发布,5960000.0,"51,884元/平",VR看装修 房本满五年 
天河北 广州体育学院 南向 电梯两房 格局方正,广州体育学院,林和,2室1厅 ,55.83, 南 , 精装 ,8,1998, 板楼,32, 5个月以前发布,3980000.0,"71,288元/平",近地铁 VR看装修 房本满五年 
高胜花园 户型方正 正规两房 业主诚心卖,高胜花园,粤垦,2室1厅 ,65.15, 北 , 简装 ,9,2000, 塔楼,41, 4个月以前发布,1800000.0,"27,629元/平",近地铁 VR看装修 房本满五年 
新上精装 两房一厅 装修保养很好 采光好,东圃广场,东圃,2室1厅 ,44.65, 东南 , 精装 ,12,1999, 塔楼,62, 5个月以前发布,1700000.0,"37,985元/平",近地铁 VR房源 房本满五年 
金富苑南向小三房厅出阳台，装修保养好安静住家舒适,金富苑,天润路,2室2厅 ,75.7, 南 , 精装 ,9,1999, 塔楼,72, 一年前发布,4400000.0,"58,125元/平",近地铁 VR看装修 房本满五年 
羊城花园 成熟小区 交通方便 满五唯一 诚心卖,羊城花园,东圃,3室2厅 ,82.23, 南 , 精装 ,6,2000, 塔楼,4, 3个月以前发布,3480000.0,"42,321元/平",VR看装修 房本满五年 
岗顶地铁口 总*低，楼龄新，交通娱乐购物便利,百脑汇科技大厦,石牌,2室1厅 ,62.59, 南 北 , 简装 ,30,2004, 塔楼,51, 一年前发布,2400000.0,"38,345元/平",近地铁 VR看装修 房本满五年 
天河区 云宁居 电梯南向两房 满五 采光无遮 急卖,云宁居,沙太南,2室1厅 ,65.49, 西南 东南 , 简装 ,9,1999, 塔楼,7, 1个月以前发布,2220000.0,"33,899元/平",VR看装修 房本满五年 
天河峰景大厦   三房满五唯一  地铁6号天平架50米,天河峰景大厦,燕塘,3室2厅 ,84.77, 东南 , 精装 ,32,2008, 塔楼,30, 5个月以前发布,3950000.0,"46,597元/平",VR房源 房本满五年 
楼龄新，近地铁，管理好，旁省军区，望中信，满五年,天河峰景大厦,燕塘,3室1厅 ,84.77, 南 , 简装 ,32,2008, 塔楼,3, 2个月以前发布,4390000.0,"51,788元/平",VR看装修 房本满五年 
金融城醉便宜3房 方正望花园 好楼层无西晒,兰亭盛荟,东圃,3室2厅 ,76.97, 东北 , 精装 ,33,2018, 塔楼,14, 2个月以前发布,4230000.0,"54,920元/平",近地铁 VR房源 房本满两年 
全新精装修 拧包入住 电梯方正小三房,乐意居花园,长兴,3室1厅 ,71.8, 北 , 精装 ,9,1994, 塔楼,0, 1个月以前发布,3180000.0,"44,290元/平",VR看装修 房本满五年 
店长推荐 环宇花园  全新精装修 保养好,环宇花园,天河公园,1室1厅 ,35.1, 南 , 精装 ,9,2000, 塔楼,18, 6个月以前发布,1680000.0,"47,864元/平",VR房源 房本满两年 
"南向  户型方正，中高楼层，全明采光户型,采光通风好",盈彩美居,东圃,3室2厅 ,106.48, 南 , 精装 ,18,2003, 塔楼,2, 1个月以前发布,5190000.0,"48,731元/平",VR看装修 房本满两年 
金融城三房 满五唯一 产权清晰 采光好 户型方正,羊城花园,东圃,3室2厅 ,89.37, 北 , 精装 ,6,1999, 塔楼,7, 5个月以前发布,3560000.0,"39,835元/平",VR房源 房本满五年 
业主诚意出，富力大三房，户型方正，采光好，使用高,富力花园,东圃,3室2厅 ,85.39, 南 , 简装 ,6,1999, 塔楼,12, 4个月以前发布,2500000.0,"29,278元/平",VR看装修 房本满五年 
星汇云锦 高楼层 户型方正实用 诚意出货 看中可谈,星汇云锦,珠江新城西,1室1厅 ,85.63, 西 北 , 精装 ,45,2010, 塔楼,1, 1个月以前发布,6010000.0,"70,103元/平",近地铁 VR看装修 房本满五年 
2015年的小区 阳光桃源 安静望花园 户型方正实,阳光桃源,东圃,3室2厅 ,92.5, 东北 , 精装 ,12,2012, 塔楼,29, 3个月以前发布,5300000.0,"57,298元/平",VR看装修 房本满五年 
业主诚心放卖，交通便利，大型封闭小区，环境好,天雅居,东圃,3室2厅 ,98.01, 南 , 精装 ,20,2003, 板楼,5, 1个月以前发布,4000000.0,"40,813元/平",VR看装修 房本满五年 
黄村训练基地 实用两房 生态小区环境空气好 交通方便,黄村体育训练基地,黄村,2室2厅 ,72.37, 东南 , 简装 ,4,1996, 板楼,2, 1个月以前发布,2400000.0,"33,163元/平",VR看装修 房本满五年 
穗园小区方正三房 南北对流视野开阔 带市直机关幼儿园,穗园小区,天润路,3室2厅 ,103.7, 南 北 , 精装 ,28,2000, 塔楼,31, 4个月以前发布,6800000.0,"65,574元/平",近地铁 VR看装修 房本满五年 
此房装修保养好，距离地铁近，配套成熟，带公立幼儿园,天河北苑,沙太南,2室2厅 ,85.67, 东南 , 精装 ,9,1998, 塔楼,6, 7个月以前发布,2570000.0,"29,999元/平",近地铁 VR房源 房本满两年 
户型方正，3房高层，单边位，可看珠江，视野开阔,星汇雅苑,珠江新城东,3室2厅 ,107.6, 西南 , 精装 ,26,2007, 塔楼,49, 4个月以前发布,7450000.0,"69,155元/平",近地铁 VR看装修 房本满五年 
天一庄 满五唯一中间层大两房 大小区 近家乐福 BRT,赛拉维,员村,2室2厅 ,86.14, 东南 , 简装 ,19,2002, 塔楼,0, 1个月以前发布,5300000.0,"61,528元/平",VR房源 房本满五年 
五星阁 大三房 少有的高层 视野宽阔,五星阁,粤垦,3室2厅 ,106.77, 西南 , 精装 ,26,2000, 塔楼,113, 10个月以前发布,3300000.0,"30,908元/平",近地铁 VR房源 房本满五年 
逸宁居东南向三房 中楼层视野开阔 采光充裕 空气对流,华景新城逸宁居,华景新城,3室2厅 ,85.88, 东南 , 精装 ,31,2000, 塔楼,5, 3个月以前发布,4800000.0,"55,854元/平",VR看装修 房本满五年 
满五唯一，一楼带平台 可以种花种菜，节日可以BBQ,穗乐花园,员村,2室1厅 ,62.4, 东南 , 简装 ,8,1990, 塔楼,15, 6个月以前发布,2720000.0,"43,590元/平",近地铁 VR看装修 房本满五年 
A区高楼层 无遮挡 刚需三房 诚心出*,旭景家园,东圃,3室2厅 ,82.21, 北 , 精装 ,15,2002, 塔楼,21, 5个月以前发布,3400000.0,"41,357元/平",近地铁 VR房源 房本满五年 
金茂广场旁 天平花苑 精装三房 全明户型 小区配套齐全,天平花苑,沙太南,3室1厅 ,76.0, 东北 , 精装 ,9,1996, 塔楼,32, 3个月以前发布,2260000.0,"29,737元/平",VR看装修 房本满五年 
业主急卖，精装修，低于市场，中高楼层，板块主推,城市假日园,东圃,4室2厅 ,137.92, 北 , 精装 ,16,2004, 塔楼,21, 10个月以前发布,7210000.0,"52,231元/平",VR房源 房本满五年 
正规大三房 户型方正 使用率高 南向安静望花园,中海花城湾,珠江新城中,3室2厅 ,124.25, 南 , 精装 ,30,2005, 塔楼,37, 2个月以前发布,11520000.0,"92,641元/平",近地铁 VR看装修 房本满两年 
金燕花苑三期 电梯高层 采光通风好 实用率高 环境安静,金燕花园,燕塘,3室2厅 ,65.61, 西南 西 , 精装 ,10,1999, 塔楼,3, 1个月以前发布,2960000.0,"45,116元/平",近地铁 VR看装修 房本满五年 
天文苑 2室1厅 东北,天文苑,体育中心,2室1厅 ,92.72, 东北 , 精装 ,19,2003, 塔楼,7, 3个月以前发布,6880000.0,"74,202元/平",近地铁 VR看装修 房本满五年 
电梯加装中 东南向 安静望花园 实用率高,美林海岸花园,员村,2室2厅 ,73.35, 东南 南 , 精装 ,6,2002, 塔楼,42, 5个月以前发布,6060000.0,"82,618元/平",近地铁 VR看装修 房本满五年 
金田花苑东南原始四房，厅出阳台一片绿树，住家舒适,金田花苑,天润路,4室2厅 ,112.0, 东南 , 精装 ,8,1995, 板楼,35, 4个月以前发布,6820000.0,"60,821元/平",VR房源 房本满五年 
大院管理 微整改 安静不吵 先烈东小旁 全南向 中楼层,侨翠苑,沙河,2室2厅 ,82.67, 南 , 简装 ,9,1994, 塔楼,40, 9个月以前发布,2190000.0,"26,491元/平",近地铁 VR看装修 房本满五年 
房子户型方正高楼层 近地铁，小区人车分流，适宜居住,时尚明苑,车陂,2室2厅 ,64.26, 北 , 精装 ,11,2006, 塔楼,182, 一年前发布,3680000.0,"57,268元/平",近地铁 VR看装修 房本满五年 
骏景花园 精装3房 格局方正 三阳台户型 高层视野好,骏景花园,棠下,3室2厅 ,102.99, 东 , 精装 ,12,2000, 塔楼,1, 1个月以前发布,5350000.0,"51,878元/平",近地铁 VR房源 房本满五年 
金燕花园 满五唯一  随时可约看 诚意放盘 电梯加装中,金燕花园,燕塘,3室2厅 ,100.73, 南 , 精装 ,9,1999, 塔楼,98, 3个月以前发布,3060000.0,"30,379元/平",近地铁 VR房源 房本满五年 
准电梯，格局方正 高楼层 视野好 采光通风好,天福居,沙河,4室1厅 ,97.0, 东南 , 简装 ,9,1995, 塔楼,3, 7个月以前发布,2900000.0,"29,897元/平",VR看装修 房本满五年 
云宁居 少有中层大两房 业主自住 装修保养好,云宁居,沙太南,2室1厅 ,70.0, 东南 , 精装 ,9,1998, 塔楼,9, 6个月以前发布,2400000.0,"34,286元/平",VR看装修 房本满五年 
天河 东圃 天力居 东向大两房，全明户型，采光好的,天力居,东圃,2室1厅 ,70.92, 东 , 简装 ,15,1998, 塔楼,0, 1个月以前发布,2720000.0,"38,310元/平",VR看装修 房本满五年 
沙河商圈 豪景花园 电梯高层 视野无遮挡 户型方正,豪景花园,沙河,2室1厅 ,70.47, 西北 , 精装 ,19,2007, 塔楼,40, 一年前发布,2490000.0,"35,335元/平",VR房源 房本满五年 
珠江新城板块  正南向望小蛮腰兼东塔西塔,星汇园,珠江新城西,3室2厅 ,118.58, 南 , 精装 ,33,2001, 塔楼,75, 3个月以前发布,8800000.0,"74,172元/平",近地铁 VR房源 房本满两年 
此房满五年，电梯三楼，中间位置，中间楼层，采光充足,六运小区,天河南,2室2厅 ,66.46, 南 北 , 精装 ,9,1992, 塔楼,21, 3个月以前发布,3980000.0,"59,886元/平",近地铁 VR房源 房本满五年 
东圃广场 看花园安静 采光通风好 业主诚心卖,东圃广场,东圃,3室1厅 ,88.78, 东北 , 精装 ,19,2002, 塔楼,5, 3个月以前发布,3380000.0,"37,985元/平",VR房源 房本满五年 
华师大学宿舍南区 安静两房 满五年 户型方正实用,华师大学宿舍南区,石牌,2室2厅 ,64.0, 南 北 , 简装 ,5,2000, 板楼,12, 3个月以前发布,4100000.0,"64,063元/平",VR看装修 房本满五年 
东逸4期 新上高层3房 满五 看房方便 诚意出,新世界东逸花园,天河公园,3室2厅 ,110.98, 北 , 精装 ,24,2006, 塔楼,2, 1个月以前发布,8180000.0,"73,678元/平",近地铁 VR看装修 房本满五年 
物资局大院住家两房两厅 大院管理安静 证过五年唯一,物资局大院,沙河,2室2厅 ,65.24, 南 北 , 精装 ,7,1987, 塔楼,76, 7个月以前发布,1850000.0,"28,357元/平",近地铁 VR看装修 房本满五年 
天河公园 软件园 方正实用3房 户型方正 安静不吵,穗茵园,天河公园,3室1厅 ,68.55, 南 北 , 简装 ,9,1999, 塔楼,4, 4个月以前发布,3160000.0,"46,098元/平",近地铁 VR房源 房本满五年 
天河区 云宁居 电梯南向两房 满五 采光无遮 急卖,云宁居,沙太南,2室1厅 ,65.49, 西南 东南 , 简装 ,9,1999, 塔楼,7, 1个月以前发布,2220000.0,"33,899元/平",VR看装修 房本满五年 
金融城醉便宜3房 方正望花园 好楼层无西晒,兰亭盛荟,东圃,3室2厅 ,76.97, 东北 , 精装 ,33,2018, 塔楼,14, 2个月以前发布,4230000.0,"54,920元/平",近地铁 VR房源 房本满两年 
业主诚意出，富力大三房，户型方正，采光好，使用高,富力花园,东圃,3室2厅 ,85.39, 南 , 简装 ,6,1999, 塔楼,12, 4个月以前发布,2500000.0,"29,278元/平",VR看装修 房本满五年 
星汇云锦 高楼层 户型方正实用 诚意出货 看中可谈,星汇云锦,珠江新城西,1室1厅 ,85.63, 西 北 , 精装 ,45,2010, 塔楼,1, 1个月以前发布,6010000.0,"70,103元/平",近地铁 VR看装修 房本满五年 
金融城东区满五年东向舒适大一房 户型靓仔 jia格美丽,富力天朗明居,棠下,1室1厅 ,45.86, 东 , 简装 ,26,2004, 塔楼,11, 2个月以前发布,2330000.0,"50,725元/平",近地铁 VR房源 房本满五年 
穗园小区 南向三房 带公立幼儿园,穗园小区,天润路,3室2厅 ,106.73, 南 , 精装 ,28,2000, 塔楼,1,31,7500000.0,"70,271元/平",近地铁 VR看装修 房本满五年 
金海花园 高层方正三房 南北对流 大型小区花园,金海花园,龙口东,3室2厅 ,104.85, 南 北 , 精装 ,30,2002, 板塔结合,4, 1个月以前发布,7200000.0,"68,670元/平",近地铁 VR看装修 房本满五年 
金鼎大厦 两房 厅出阳台 东南向 安静采光好,金鼎大厦,天润路,2室2厅 ,66.35, 南 , 精装 ,30,1998, 塔楼,22, 3个月以前发布,3590000.0,"54,108元/平",VR看装修 房本满五年 
盈彩美居第三期 高层南向望江 视野开阔无遮挡 次顶楼,盈彩美居,东圃,3室1厅 ,108.13, 南 , 简装 ,18,2003, 塔楼,91, 一年前发布,5270000.0,"48,731元/平",近地铁 VR看装修 房本满五年 
棠德花苑  一房一厅  位置安静,棠德花苑,棠下,1室1厅 ,53.62, 东南 , 其他 ,9,1997, 塔楼,1, 5个月以前发布,1590000.0,"29,654元/平",近地铁 VR看装修 房本满五年 
4号/13号双地铁车陂站，满五唯一，精装两房采光透亮,惠苑楼,车陂,2室1厅 ,53.66, 南 西南 , 精装 ,9,1995, 塔楼,2,31,2300000.0,"42,863元/平",近地铁 VR看装修 房本满五年 
天河北林和西 南粤阁 广州东站100米,南粤阁,林和,3室2厅 ,90.33, 西北 , 简装 ,30,1998, 塔楼,2, 1个月以前发布,5880000.0,"65,095元/平",近地铁 VR看装修 房本满五年 
南国花园大型社区花园，居家氛围浓厚，交通出行便利,南国花园,珠江新城东,3室2厅 ,80.49, 西北 , 精装 ,24,2008, 板楼,4,31,5400000.0,"67,058元/平",近地铁 VR看装修 房本满五年 
这几天，本房90%的可能性卖掉！多年一遇，要抓紧看！,金碧翡翠华庭,天润路,3室2厅 ,127.49, 东南 南 , 精装 ,31,2007, 板塔结合,3, 1个月以前发布,11800000.0,"92,557元/平",VR房源 房本满五年 
新鸿基物业 天河北次新房 邻东站 整体配套优越,峻林,林和,3室2厅 ,161.56, 北 , 精装 ,36,2015, 板塔结合,7, 2个月以前发布,12920000.0,"79,969元/平",近地铁 VR看装修 房本满两年 
万科云城米酷  户型好 采光通透,万科云城米酷,智慧城,1室0厅 ,18.2, 西 , 精装 ,17,2017, 塔楼,26, 2个月以前发布,380000.0,"20,880元/平",近地铁 VR看装修 房本满两年 随时看房 
云城米酷，采光好通风强，交通配套齐全,万科云城米酷,智慧城,1室1厅 ,32.53, 东 , 精装 ,18,2017, 塔楼,0, 2个月以前发布,679000.0,"20,874元/平",近地铁 房本满两年 
万科云城米酷 1室1厅 南,万科云城米酷,智慧城,1室1厅 ,34.3, 南 , 其他 ,12,2017, 塔楼,2, 2个月以前发布,960000.0,"27,989元/平",近地铁 房本满两年 
满五年，电梯房，南北对流，业主诚意卖,高胜花园,粤垦,1室1厅 ,43.05, 南 北 , 精装 ,9,2000, 塔楼,8, 5个月以前发布,1480000.0,"34,379元/平",近地铁 VR看装修 房本满五年 
电梯高层，采光全天敞亮，视野开阔，满五唯一,东荣文华轩,长兴,2室1厅 ,58.62, 北 , 精装 ,16,2009, 塔楼,65, 7个月以前发布,2950000.0,"50,325元/平",近地铁 VR看装修 房本满五年 
高胜花园 电梯南向精致两房 户型方正实用  视野采光好,高胜花园,粤垦,2室2厅 ,75.5, 南 , 精装 ,9,2000, 塔楼,9, 4个月以前发布,2250000.0,"29,802元/平",VR看装修 房本满五年 
楼下地铁 全南向两房 生活便利 全阳光,中兴花园,东圃,2室2厅 ,75.0, 南 , 精装 ,12,2000, 塔楼,85, 11个月以前发布,3030000.0,"40,396元/平",VR看装修 房本满两年 
珠江新城小户型住宅 户型方正 地段配套完善,星汇国际大厦,珠江新城西,1室0厅 ,44.59, 北 , 精装 ,28,2003, 板塔结合,0, 1个月以前发布,2680000.0,"60,104元/平",近地铁 VR看装修 房本满五年 
东成花园南向安静一房一厅，适合首付少人群，随时签约,东成花园,石牌,1室1厅 ,52.46, 南 , 简装 ,9,1997, 塔楼,14, 2个月以前发布,2500000.0,"47,656元/平",VR房源 房本满五年 
户型方正明亮的房子，省税，诚意卖房,金兴花园,天河公园,2室1厅 ,51.84, 南 , 精装 ,9,1996, 塔楼,6, 1个月以前发布,2800000.0,"54,013元/平",近地铁 VR看装修 房本满五年 
星汇园 东南向高层望小区园林3房，低于市场加，可看房,星汇园,珠江新城西,3室2厅 ,129.93, 东南 , 精装 ,33,2001, 塔楼,7, 1个月以前发布,9640000.0,"74,172元/平",近地铁 VR看装修 房本满两年 
陶然庭苑 南北对流 实用三房 望花园 采光通风好,华景新城陶然庭苑,华景新城,3室2厅 ,84.59, 东北 , 精装 ,36,2006, 塔楼,38, 2个月以前发布,4730000.0,"55,854元/平",VR看装修 房本满五年 
在建地铁口573米，天河区电梯3房精装东向望花园,云宁居,沙太南,3室2厅 ,84.99, 东 , 精装 ,9,1998, 塔楼,8, 4个月以前发布,3038000.0,"35,746元/平",VR看装修 房本满五年 
华港花园 方正三房两卫 装修保养良好 业主诚心卖房,华港花园,天河公园,3室2厅 ,100.97, 北 , 精装 ,9,2004, 板塔结合,5, 2个月以前发布,6240000.0,"61,752元/平",VR房源 房本满五年 
天河北新鸿基峻林，华阳，三阳台，高层，保养好,峻林,林和,3室2厅 ,161.37, 北 , 精装 ,33,2012, 板塔结合,6, 2个月以前发布,12910000.0,"79,969元/平",近地铁 VR看装修 房本满五年 
近黄村地铁 中海康城 南向三房 安静望花园,中海康城,黄村,3室1厅 ,103.76, 南 , 精装 ,7,2002, 板楼,46, 一年前发布,5400000.0,"52,044元/平",近地铁 VR房源 房本满五年 
高层南向，满五唯一，置换物业，诚心放卖,天河新作,体育中心,3室2厅 ,126.64, 南 , 精装 ,32,2006, 塔楼,65, 一年前发布,14500000.0,"114,498元/平",VR看装修 房本满五年 
中海康城 一梯两户 三房两卫 装修保养好 电梯的,中海康城,黄村,3室2厅 ,121.91, 南 , 精装 ,12,2002, 塔楼,0, 1个月以前发布,7780000.0,"63,818元/平",近地铁 VR看装修 房本满五年 
天河区，户型方正实用，精装修，金茂广场旁,银利花苑,沙太南,3室2厅 ,82.57, 南 北 , 精装 ,9,1996, 塔楼,24, 4个月以前发布,2750000.0,"33,306元/平",近地铁 VR看装修 房本满两年 
