豪利花园，房子精装修，拎包入住，看房方便，欢迎咨询,豪利花园,镜湖大道,3室1厅 ,98.96, 南 , 精装 ,16,2014, 塔楼,2,28,1790000.0,"18,089元/平",VR房源 房本满两年 随时看房 
电梯高层 复式住宅产权70年 业主诚心卖,宝铼雅居,铁路西,2室1厅 ,55.07, 东南 , 精装 ,14,2013, 塔楼,0,6,830000.0,"15,072元/平",VR房源 房本满两年 
云峰学府花园 3室2厅 北,云峰学府花园,秀全街,3室2厅 ,92.69, 北 , 其他 ,18,2011, 塔楼,0,7,1350000.0,"14,565元/平",VR看装修 房本满五年 
电梯复式带大露台 视野宽阔 采光充足 证满五年唯一,福虹阳光美地,旧区,4室2厅 ,204.74, 南 北 , 精装 ,8,2002, 塔楼,0,13,2430000.0,"11,869元/平",VR房源 房本满五年 
满五唯一，户型方正，保养好，通风采光好。,富力金港城北区,花东镇,3室2厅 ,101.0, 南 北 , 其他 ,18,2012, 塔楼,0,7,1600000.0,"15,842元/平",VR房源 房本满五年 
雅居乐雍逸豪庭 3室2厅 西南,雅居乐雍逸豪庭,新区,3室2厅 ,136.01, 西南 , 精装 ,20,2007, 塔楼,0,8,3300000.0,"24,263元/平",近地铁 VR房源 房本满五年 
华贵苑 3室1厅 北 西,华贵苑,旧区,3室1厅 ,103.16, 北 西 , 其他 ,24,2009, 塔楼,0,9,1950000.0,"18,903元/平",近地铁 VR房源 房本满五年 
保利城花园 地铁物业 南北对流 3房2卫 望花园一梯两户,保利城花园,铁路西,3室2厅 ,143.51, 南 北 , 精装 ,26,2010, 塔楼,10, 一年前发布,2100000.0,"14,634元/平",VR看装修 房本满五年 随时看房 
保利城地铁三房，南北对流望花园，安静舒适保养不错！,保利城花园,铁路西,3室2厅 ,105.79, 南 北 , 其他 ,26,2011, 塔楼,0, 4个月以前发布,1620000.0,"15,314元/平",VR看装修 房本满五年 随时看房 
花都广场地铁站  骏辉园 大4房  南向,骏辉园,旧区,4室2厅 ,177.08, 南 , 简装 ,8,2002, 塔楼,6, 10个月以前发布,2000000.0,"11,295元/平",VR看装修 房本满五年 随时看房 
加装电梯 大三房 交通便利 满五唯一,金都花园,铁路西,4室2厅 ,115.57, 南 , 精装 ,10,1995, 塔楼,2, 3个月以前发布,1150000.0,"9,951元/平",近地铁 VR房源 房本满五年 随时看房 
此房采光充足 交通便利 物业管理完善,逸泉韵翠花园,北兴镇,5室3厅 ,200.0, 南 北 , 毛坯 ,8,2012, 板楼,6, 一年前发布,2500000.0,"12,500元/平",VR房源 房本满五年 随时看房 
保利城花园，小区物业好，小区大，配套成熟,保利城花园,铁路西,4室2厅 ,152.3, 南 , 精装 ,25,2009, 塔楼,29, 一年前发布,1730000.0,"11,360元/平",近地铁 VR看装修 房本满五年 随时看房 
雅乐苑，地铁公园上盖，隔离5小，方正三房,雅乐苑,旧区,3室2厅 ,121.03, 南 北 , 简装 ,8,2005, 塔楼,0, 2个月以前发布,2200000.0,"18,178元/平",近地铁 VR看装修 房本满五年 随时看房 
保利城花园 4室2厅 东 南 北,保利城花园,铁路西,4室2厅 ,149.69, 东 南 北 , 精装 ,26,2009, 塔楼,4, 2个月以前发布,1730000.0,"11,558元/平",近地铁 VR看装修 房本满五年 随时看房 
中高层南向四房，采光通透，户型方正,保利城花园,铁路西,4室1厅 ,169.34, 南 , 毛坯 ,26,2009, 塔楼,35, 一年前发布,2070000.0,"12,224元/平",VR看装修 房本满五年 随时看房 
单边看河单边 东南朝向 3+1户型 2卫  居住舒适,天马河壹号一期,铁路西,4室2厅 ,141.95, 东南 , 毛坯 ,18,2009, 塔楼,3, 5个月以前发布,2350000.0,"16,556元/平",近地铁 VR看装修 房本满五年 随时看房 
朝南马鞍山公园方向，四方两厅、通风采光好，,雅居乐雍华廷二期,新区,4室2厅 ,136.9, 南 , 精装 ,11,2002, 塔楼,31, 一年前发布,3430000.0,"25,055元/平",近地铁 VR看装修 房本满五年 随时看房 
高层四房，通风采光好，证够2年,金穗华庭,新区,4室2厅 ,176.0, 东 , 精装 ,22,2005, 塔楼,55, 一年前发布,2800000.0,"15,910元/平",近地铁 VR看装修 房本满五年 随时看房 
凯旋门 五个阳台 坐享窗外风景 南北对流 业主诚心出*,凯旋门,新区,4室2厅 ,179.22, 南 , 毛坯 ,20,2007, 塔楼,23, 一年前发布,5000000.0,"27,899元/平",VR看装修 房本满五年 随时看房 
花都湖国家湿地公园天然氧吧旁，毛坯三房，居住好户型,中房观湖国际,旧区,3室2厅 ,137.7, 东北 , 毛坯 ,28,2008, 塔楼,7, 一年前发布,3000000.0,"21,787元/平",VR房源 房本满五年 随时看房 
地铁口物业 南北对流采光通风好 全新未住 业主诚心卖,保利高尔夫郡,铁路西,4室2厅 ,137.07, 南 北 , 精装 ,32,2015, 塔楼,19, 11个月以前发布,2090000.0,"15,248元/平",近地铁 VR看装修 房本满五年 随时看房 
颐和盛世四房二厅一线江景房  格局方正,颐和盛世,炭步,4室2厅 ,187.69, 南 , 其他 ,25,2011, 塔楼,0, 2个月以前发布,1520000.0,"8,099元/平",VR看装修 房本满两年 随时看房 
天马河国际公馆精装修4房带平台，别墅区,天马河国际公馆,铁路西,4室2厅 ,204.65, 南 , 其他 ,3,2008, 塔楼,23, 一年前发布,3320000.0,"16,223元/平",VR房源 房本满五年 随时看房 
云山御居，9号线北站 旁，带100方大平台,俊怡云山御居,铁路西,3室2厅 ,122.88, 北 , 其他 ,18,2012, 塔楼,5, 11个月以前发布,2060000.0,"16,765元/平",近地铁 VR看装修 房本满五年 随时看房 
大三房，可设计为四房，格局方正，采光通风好,保利城花园,铁路西,3室1厅 ,152.07, 南 , 精装 ,26,2013, 塔楼,8, 一年前发布,2100000.0,"13,810元/平",近地铁 VR看装修 房本满五年 随时看房 
美力盈彩花苑 电梯中层大4房 南北对流双阳台 随时看房,美力盈彩花苑,旧区,4室2厅 ,158.0, 东北 , 其他 ,20,2010, 塔楼,10, 6个月以前发布,2450000.0,"15,507元/平",VR房源 房本满五年 随时看房 
自由人花园  全新实用南北通透五房,自由人花园,镜湖大道,5室1厅 ,149.1, 南 北 , 毛坯 ,26,2013, 塔楼,5, 一年前发布,3100000.0,"20,792元/平",VR看装修 房本满五年 随时看房 
小区是属于低密度的，绿植率高，一梯两户电梯小高层,逸泉韵翠花园,北兴镇,4室2厅 ,135.55, 东南 南 , 精装 ,9,2012, 塔楼,2, 2个月以前发布,1500000.0,"11,067元/平",VR看装修 房本满五年 随时看房 
不靠高速 地铁口物业 南华时代城 中层 毛坯4房,南华时代城,铁路西,4室2厅 ,138.94, 南 北 , 毛坯 ,29,2010, 塔楼,23, 一年前发布,2755000.0,"19,829元/平",VR看装修 房本满五年 随时看房 
保利温沙堡 格局方正，使用率高，绿植多样化,保利城花园,铁路西,4室2厅 ,245.08, 东 南 西 北 , 毛坯 ,2,2009, 塔楼,40, 一年前发布,3800000.0,"15,506元/平",VR房源 房本满五年 随时看房 
华贵苑 3室1厅 北 西,华贵苑,旧区,3室1厅 ,103.16, 北 西 , 其他 ,24,2009, 塔楼,0,9,1950000.0,"18,903元/平",近地铁 VR房源 房本满五年 
金都花园 电梯  南向 精装修 采光好 交通便利,金都花园,铁路西,4室2厅 ,115.57, 南 , 精装 ,9,1995, 塔楼,3,11,1372700.0,"11,878元/平",近地铁 VR看装修 房本满五年 
金碧御水山庄 2室1厅 南,金碧御水山庄,狮岭镇,2室1厅 ,56.76, 南 , 其他 ,11,2003, 塔楼,0,2,490000.0,"8,633元/平",VR房源 房本满五年 随时看房 
富力金港城东区 2室1厅 南,富力金港城东区,花东镇,2室1厅 ,83.67, 南 , 其他 ,18,2013, 塔楼,0,3,1150000.0,"13,745元/平",VR房源 房本满两年 
此房满五年 复式大四 房格局方正 采光好 配套成熟,翠华花园,铁路西,4室2厅 ,187.63, 南 , 精装 ,7,2006, 板楼,13, 一年前发布,2430000.0,"12,952元/平",近地铁 VR房源 房本满五年 
此房户型方正 保养好 双阳台 南北对流,保利城花园,铁路西,4室2厅 ,149.41, 南 , 精装 ,25,2009, 塔楼,18, 10个月以前发布,2100000.0,"14,056元/平",VR看装修 房本满两年 
中间位置，景观看大草坪，视野开阔，环景优美安静,自由人花园,镜湖大道,4室2厅 ,201.59, 南 北 , 毛坯 ,26,2013, 塔楼,3, 6个月以前发布,3950000.0,"19,595元/平",VR看装修 房本满两年 
少有放卖的大户型，拥有大露台！,钻石豪庭,新区,6室2厅 ,243.43, 东南 南 , 精装 ,11,2005, 塔楼,31, 一年前发布,4860000.0,"19,965元/平",近地铁 VR房源 房本满五年 
区政府板块，配套设施齐全，交通便利,时代美居,旧区,5室3厅 ,185.57, 南 , 精装 ,6,2005, 塔楼,76, 一年前发布,2900000.0,"15,628元/平",近地铁 VR房源 房本满五年 
一房一厅，装修新，采光好，独立产权，可公基金，,万虹花园,狮岭镇,1室1厅 ,52.06, 南 , 简装 ,7,2005, 塔楼,0,16,390000.0,"7,492元/平",VR看装修 房本满两年 随时看房 
望天马河公园的房子，环境优美。,天马河壹号,铁路西,3室2厅 ,105.76, 东南 , 其他 ,18,2012, 塔楼,10, 9个月以前发布,2000000.0,"18,911元/平",近地铁 VR看装修 房本满两年 
颐和盛世 8室1厅 东南,颐和盛世,炭步,8室1厅 ,463.93, 东南 , 毛坯 ,3,2011, 塔楼,1, 8个月以前发布,5800000.0,"12,502元/平",VR房源 房本满两年 
轩逸荟 御华园狮城国际旁 精装3房南向 格局方正,智烨山水豪庭,狮岭镇,3室1厅 ,92.8, 南 , 精装 ,16,2014, 塔楼,0,12,1220000.0,"13,147元/平",VR看装修 房本满两年 
地铁口物业 南北对流 户型实用 税费低,公园前9号小区,旧区,3室2厅 ,74.2, 北 , 简装 ,8,1993, 板楼,7, 一年前发布,850000.0,"11,456元/平",近地铁 VR看装修 房本满两年 随时看房 
自由人花园，高层南向毛坯，证过2年，钥匙在手。,自由人花园,镜湖大道,3室2厅 ,139.72, 南 , 毛坯 ,23,2013, 塔楼,3, 一年前发布,3120000.0,"22,331元/平",VR看装修 房本满两年 随时看房 
双地铁口高楼层物业，采光充足，通风对流，精装修,南华时代城,铁路西,4室2厅 ,135.53, 东南 , 精装 ,31,2010, 塔楼,62, 一年前发布,2595000.0,"19,148元/平",VR房源 房本满两年 随时看房 
宝铼雅居.中高楼盘.强光好.格局方正.全新装修.,宝铼雅居,铁路西,3室2厅 ,118.26, 南 , 精装 ,18,2013, 塔楼,0, 10个月以前发布,1600000.0,"13,530元/平",VR看装修 房本满五年 随时看房 
南向电梯三房，格局方正，生活便利,云港花园,新区,3室1厅 ,114.51, 南 , 精装 ,18,2006, 塔楼,1, 4个月以前发布,2380000.0,"20,785元/平",近地铁 VR看装修 房本满五年 随时看房 
雅居乐物业南北对流大平层满五唯一,雅居乐锦城花冠集,秀全街,5室4厅 ,194.0, 东南 , 毛坯 ,31,2008, 板楼,3, 10个月以前发布,3550000.0,"18,299元/平",VR房源 房本满五年 随时看房 
金华花园 广州北站地铁口物业 小区管理 可加装电梯,金华花园,铁路西,3室2厅 ,106.47, 南 北 , 简装 ,9,1995, 塔楼,2, 一年前发布,1290000.0,"12,117元/平",VR房源 房本满五年 随时看房 
碧泰豪苑 3室1厅 北,碧泰豪苑,旧区,3室1厅 ,94.69, 北 , 毛坯 ,15,2015, 塔楼,0, 6个月以前发布,1770000.0,"18,693元/平",VR看装修 房本满两年 随时看房 
天马丽苑二期 3室2厅 东,天马丽苑二期,铁路西,3室2厅 ,101.0, 东 , 精装 ,34,2007, 塔楼,0, 3个月以前发布,1680000.0,"16,634元/平",VR房源 房本满两年 随时看房 
雅居乐御宾府 4室2厅 东,雅居乐御宾府,新区,4室2厅 ,147.22, 东 , 精装 ,19,2009, 塔楼,0, 1个月以前发布,3480000.0,"23,639元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满二税费低，格局好采光通风也很好,芙蓉春晓,狮岭镇,3室1厅 ,96.68, 北 , 毛坯 ,29,2015, 塔楼,1, 一年前发布,1300000.0,"13,447元/平",VR看装修 房本满五年 随时看房 
骏威广场 3室2厅 东 东南,骏威广场,旧区,3室2厅 ,137.62, 东 东南 , 精装 ,7,2002, 塔楼,0, 1个月以前发布,2200000.0,"15,987元/平",近地铁 VR房源 房本满五年 随时看房 
采光充足、视野宽阔、交通便利、设施配套齐全,花都银燕大厦,旧区,3室2厅 ,104.0, 南 , 精装 ,15,2002, 塔楼,2, 一年前发布,1948000.0,"18,731元/平",近地铁 VR看装修 房本满两年 随时看房 
友田茗轩 3室2厅 南,友田茗轩,狮岭镇,3室2厅 ,127.0, 南 , 精装 ,6,2008, 塔楼,0, 2个月以前发布,930000.0,"7,323元/平",VR看装修 房本满两年 随时看房 
狮城苑 高层 光线好 有钥匙随时看,狮城苑,狮岭镇,4室2厅 ,131.06, 南 , 简装 ,7,2005, 塔楼,47, 一年前发布,680000.0,"5,189元/平",VR房源 房本满两年 随时看房 
雅居乐物业  全新毛坯4房 户型方正实用 通透,致岭假日花园,狮岭镇,4室2厅 ,180.54, 南 , 毛坯 ,18,2009, 板塔结合,9, 一年前发布,2000000.0,"11,078元/平",VR房源 房本满两年 随时看房 
班芙小镇 4室2厅 南 北,班芙小镇,狮岭镇,4室2厅 ,121.24, 南 北 , 毛坯 ,32,2018, 塔楼,0, 7个月以前发布,1300000.0,"10,723元/平",VR看装修 房本满两年 随时看房 
区政府板块 地铁口物业 永大新城笋盘出*,永大新城,旧区,3室2厅 ,114.92, 南 , 毛坯 ,8,2001, 暂无数据,7, 一年前发布,1800000.0,"15,664元/平",VR看装修 房本满两年 随时看房 
实用率很高 品质三房，北向通风采光好，,南华时代城,铁路西,3室1厅 ,107.48, 北 , 毛坯 ,31,2014, 塔楼,2, 2个月以前发布,1700000.0,"15,817元/平",VR看装修 房本满两年 随时看房 
马仔外墙，可加装电梯，交通便利。,建设北路,旧区,3室2厅 ,101.3, 南 , 毛坯 ,9,1995, 板楼,3, 3个月以前发布,762000.0,"7,523元/平",VR房源 房本满五年 随时看房 
一线河景无遮挡正规大三房通风性好,天马丽苑二期,铁路西,3室2厅 ,132.2, 南 , 精装 ,34,2013, 塔楼,5, 一年前发布,1800000.0,"13,616元/平",VR看装修 房本满五年 随时看房 
此房满五年唯一双拼大别墅自带地下室单边位,合和新城,镜湖大道,5室2厅 ,306.23, 南 , 毛坯 ,1, 平房 , 双拼别墅 ,7, 6个月以前发布,11800000.0,"38,534元/平",近地铁 VR房源 房本满两年 随时看房 
广州北站地铁口，看花园安静小三房。,南华时代城,铁路西,3室1厅 ,85.82, 东南 , 毛坯 ,30,2010, 塔楼,2, 3个月以前发布,1550000.0,"18,062元/平",VR看装修 房本满两年 随时看房 
锦尚蓬莱苑 3室2厅 东南,锦尚蓬莱苑,新区,3室2厅 ,105.0, 东南 , 精装 ,18,2011, 塔楼,2, 2个月以前发布,2880000.0,"27,429元/平",VR看装修 房本满五年 随时看房 
棠澍后面  标准三房  户型方正 配套齐全完善,宜华居,旧区,3室2厅 ,109.0, 南 , 精装 ,9,2003, 塔楼,0, 1个月以前发布,1350000.0,"12,386元/平",VR看装修 房本满五年 随时看房 
此房南北对流，采光通风好，电梯中层，视野开阔无遮挡,碧泰豪苑,旧区,3室2厅 ,94.74, 北 , 毛坯 ,16,2015, 塔楼,8, 一年前发布,1680000.0,"17,733元/平",VR看装修 房本满五年 随时看房 
芙蓉春晓 3室2厅 北,芙蓉春晓,狮岭镇,3室2厅 ,95.43, 北 , 简装 ,29,2015, 塔楼,1, 4个月以前发布,1230000.0,"12,890元/平",VR看装修 房本满两年 随时看房 
花都CBD中轴旁 融创文旅城  南向中高层 随时约看,广州融创文旅城A2区,花城街,4室2厅 ,114.43, 南 , 毛坯 ,33,2018, 塔楼,16, 11个月以前发布,2650000.0,"23,159元/平",VR看装修 房本满两年 随时看房 
刚需三房，东南向，中高楼层，视野开阔通风好,南华时代城,铁路西,3室1厅 ,85.9, 东南 , 毛坯 ,30,2010, 塔楼,3, 4个月以前发布,1500000.0,"17,463元/平",VR看装修 房本满两年 随时看房 
四期满二，五房，毛呸，户型方正，采光好,自由人花园,镜湖大道,5室2厅 ,156.1, 南 , 毛坯 ,32,2017, 塔楼,7, 10个月以前发布,3550000.0,"22,742元/平",VR看装修 房本满两年 随时看房 
御华园东南向大三房，户型方正实用，满两年 中高层,新鸿基御华园,狮岭镇,3室2厅 ,96.57, 东南 , 其他 ,31,2013, 板塔结合,10, 一年前发布,1720000.0,"17,811元/平",VR看装修 房本满五年 随时看房 
自由人花园 6室2厅 南,自由人花园,镜湖大道,6室2厅 ,205.24, 南 , 毛坯 ,26,2013, 塔楼,2, 5个月以前发布,4960000.0,"24,167元/平",VR房源 房本满五年 随时看房 
北站地铁口，电梯中层，南向采光，便宜实惠,祈福辉煌台,铁路西,3室2厅 ,109.67, 西南 , 简装 ,28,2009, 塔楼,9, 2个月以前发布,1600000.0,"14,590元/平",VR房源 房本满五年 随时看房 
规整大三房，格局方正，采光通风好，居住舒适,保利城花园,铁路西,3室2厅 ,123.0, 南 , 精装 ,23,2009, 塔楼,155, 一年前发布,1670000.0,"13,578元/平",近地铁 VR看装修 房本满五年 随时看房 
金狮华庭 复式 南向四房 带大露台 交通便利 配套齐全,金狮华庭,狮岭镇,4室2厅 ,175.73, 东南 南 西南 , 毛坯 ,11,2007, 塔楼,1, 1个月以前发布,1580000.0,"8,992元/平",VR房源 房本满五年 随时看房 
文旅城四房 中楼层 采光通风好,广州融创文旅城A2区,花城街,4室2厅 ,114.23, 南 , 毛坯 ,33,2018, 塔楼,17, 10个月以前发布,2600000.0,"22,762元/平",VR看装修 房本满两年 随时看房 
银星花园 大润发旁 马鞍山畔 三房两卫 南向精装,银星花园,新区,3室2厅 ,109.54, 南 , 精装 ,17,2008, 塔楼,0,31,2080000.0,"18,989元/平",VR房源 房本满五年 随时看房 
雅宝新城名门世家 3室2厅 东南,雅宝新城名门世家,秀全街,3室2厅 ,148.05, 东南 , 毛坯 ,29,2012, 塔楼,0,30,2500000.0,"16,887元/平",VR看装修 房本满五年 随时看房 
：房子方正，房子满2年，中层望花园，小区安静,友田朗逸雅居,狮岭镇,3室2厅 ,106.48, 北 南 , 毛坯 ,11,2019, 塔楼,0,22,1220000.0,"11,458元/平",VR看装修 房本满两年 随时看房 
雅居乐雍华廷二期 4室1厅 北,雅居乐雍华廷二期,新区,4室1厅 ,103.89, 北 , 简装 ,11,2002, 塔楼,0,25,2350000.0,"22,621元/平",VR房源 房本满五年 随时看房 
格局方正南向采光通透，位置安静！,友田碧云轩,狮岭镇,2室2厅 ,77.64, 东北 , 精装 ,8,2013, 板塔结合,0, 1个月以前发布,740000.0,"9,532元/平",VR看装修 房本满五年 随时看房 
华都新村 2室1厅 南,华都新村,旧区,2室1厅 ,72.05, 南 , 精装 ,8,1994, 塔楼,0,19,620000.0,"8,606元/平",VR看装修 房本满两年 随时看房 
机场板块 刚需两房  户型方正,富力金港城东区,花东镇,2室1厅 ,82.61, 北 , 其他 ,18,2013, 塔楼,0,27,980000.0,"11,863元/平",VR看装修 房本满五年 随时看房 
南北格局 楼层好 视野宽阔 采光充足 毛坯  电梯房,雅宝新城英伦世家,秀全街,3室2厅 ,142.72, 南 , 其他 ,26,2010, 塔楼,0,25,1985000.0,"13,909元/平",VR看装修 房本满五年 随时看房 
雅居乐四期花漾集  温馨三房 格局方正,雅居乐锦城花漾集,秀全街,3室2厅 ,92.34, 南 北 , 毛坯 ,32,2008, 塔楼,1,19,1350000.0,"14,620元/平",VR房源 房本满五年 随时看房 
花锦南向精装3房 近雅悦城 保利花城 配套完善,雅居乐锦城花锦集,秀全街,3室1厅 ,101.32, 东南 , 其他 ,18,2008, 塔楼,0,31,1730000.0,"17,075元/平",VR房源 房本满五年 随时看房 
广州融创文旅城A1区 3室2厅 东南,广州融创文旅城A1区,花城街,3室2厅 ,99.25, 东南 , 毛坯 ,33,2016, 塔楼,0,23,2280000.0,"22,973元/平",VR看装修 房本满两年 随时看房 
区政府旁物业，轻松改两房，业主诚意放卖，随时看房,凯旋国际,新区,2室2厅 ,83.53, 南 北 , 其他 ,7,2007, 塔楼,0,19,1060000.0,"12,691元/平",近地铁 房本满五年 随时看房 
近地铁口，南向看花园，带大平台，急卖,万科天景花园,铁路西,3室1厅 ,117.51, 南 , 精装 ,25,2006, 塔楼,1,21,1700000.0,"14,467元/平",近地铁 VR看装修 房本满五年 
祈福天龙苑 2室1厅 南,祈福天龙苑,铁路西,2室1厅 ,77.03, 南 , 精装 ,27,2014, 塔楼,0,28,1320000.0,"17,137元/平",近地铁 VR房源 房本满五年 
金碧御水山庄 4室2厅 南,金碧御水山庄,狮岭镇,4室2厅 ,176.27, 南 , 精装 ,18,2006, 塔楼,0,22,1700000.0,"9,645元/平",VR房源 房本满五年 
龙珠路杏林花园 南向不靠路，电梯四房，全新装修,杏林花园,旧区,4室2厅 ,146.31, 南 , 其他 ,9,1995, 塔楼,0,30,1950000.0,"13,328元/平",VR房源 房本满两年 
保利高尔夫郡水晶宫寓 2室1厅 南,保利高尔夫郡水晶宫寓,铁路西,2室1厅 ,84.41, 南 , 其他 ,15,2014, 塔楼,0,18,1200000.0,"14,217元/平",近地铁 房本满两年 
"地铁口300m,三房带主卧格局方正，装修保养好,诚意卖房",天马河壹号四期,铁路西,3室2厅 ,89.37, 南 北 , 精装 ,11,2013, 塔楼,1,28,1398000.0,"15,643元/平",近地铁 VR房源 房本满两年 
保利高尔夫郡 3室2厅 东南,保利高尔夫郡,铁路西,3室2厅 ,106.93, 东南 , 其他 ,32,2015, 塔楼,0,23,1700000.0,"15,899元/平",近地铁 VR看装修 房本满五年 
此房格局方正 南向楼层好 采光充足 配套齐全 交通便利,骏威锦东花园C区,新区,3室2厅 ,94.68, 南 , 其他 ,19,2011, 塔楼,0,19,2300000.0,"24,293元/平",VR房源 房本满五年 
清布地铁站 次新小区 小高层南向看花园 此钱含车位,云峰花园4期,镜湖大道,3室2厅 ,104.62, 南 , 精装 ,11,2012, 塔楼,0,20,2500000.0,"23,897元/平",VR房源 房本满五年 
南向望天马河 户型方正 拎包入住 带家私家电,天马丽苑二期,铁路西,3室1厅 ,97.55, 南 , 其他 ,35,2015, 塔楼,0,26,1500000.0,"15,377元/平",VR房源 房本满两年 
带30平方的平台自家使用 业主诚意出,万科天景花园,铁路西,3室2厅 ,92.56, 东 , 精装 ,31,2009, 塔楼,0,25,1430000.0,"15,450元/平",近地铁 VR房源 房本满五年 
百合豪园 区府板块 与别墅融为一体 舒适大平层,百合豪园,旧区,4室1厅 ,176.41, 南 , 精装 ,4,2007, 塔楼,0,24,3850000.0,"21,825元/平",VR房源 房本满五年 
嘉逸华庭  户型方正实用 通风采光好 配套成熟,嘉逸华庭,铁路西,3室2厅 ,103.72, 南 , 精装 ,8,2005, 塔楼,0,27,1700000.0,"16,391元/平",近地铁 VR房源 房本满五年 
隽悦豪庭三期，5年不唯一，实用大2房，装修保养好，,路劲隽悦豪庭二期三期,花城街,2室2厅 ,74.61, 北 , 精装 ,33,2015, 塔楼,0,19,1350000.0,"18,095元/平",VR看装修 房本满五年 
文苑小区，棠澍、邝维煜，满五唯一 税费低,文苑小区,旧区,3室2厅 ,120.75, 南 , 精装 ,7,2004, 板楼,0,23,1550000.0,"12,837元/平",VR房源 房本满五年 
原装电梯中层，机场班车点，装修保养好,航都花园,新区,3室2厅 ,122.32, 北 , 精装 ,12,2003, 塔楼,0,20,2050000.0,"16,760元/平",近地铁 VR房源 房本满五年 
祈福天龙苑舒适大四房精装修配套成熟,祈福天龙苑,铁路西,4室2厅 ,144.74, 北 , 精装 ,27,2014, 塔楼,0,29,2480000.0,"17,135元/平",VR房源 房本满五年 
新都花园 3室2厅 南,新都花园,旧区,3室2厅 ,79.17, 南 , 简装 ,10,1997, 塔楼,1,31,930000.0,"11,747元/平",VR看装修 房本满五年 
此房满五不唯一，采光通风好，交通便利，视野宽阔。,红菊花大厦,旧区,4室2厅 ,179.25, 北 , 其他 ,14,2001, 塔楼,0,27,2870000.0,"16,012元/平",近地铁 VR看装修 房本满五年 
勤天一品树院 3室2厅 南 北,勤天一品树院,狮岭镇,3室2厅 ,129.13, 南 北 , 其他 ,12,2008, 塔楼,0,26,1550000.0,"12,004元/平",VR看装修 房本满两年 
二期 中层南向 精装3房2卫 不吵,祈福辉煌台,铁路西,3室2厅 ,117.1, 南 , 简装 ,28,2015, 塔楼,0,22,1800000.0,"15,372元/平",VR房源 房本满五年 
富力金港城3房 采光好视野开阔 位置好交通方便,富力金港城东区,花东镇,3室1厅 ,97.14, 北 , 精装 ,18,2013, 塔楼,0,29,1670000.0,"17,192元/平",VR看装修 房本满五年 
北站新城精致两房南向望花园靓装修笋盘,祈福天龙苑,铁路西,2室2厅 ,77.18, 南 , 其他 ,28,2014, 塔楼,0,28,1300000.0,"16,844元/平",近地铁 VR房源 房本满两年 
地铁口时代城 三房实用率高 南向看花园 采光好,南华时代城,铁路西,3室2厅 ,85.62, 东南 , 精装 ,30,2010, 塔楼,0,21,1490000.0,"17,403元/平",VR看装修 房本满两年 
凯旋门 南向大宅 中层望花园视野无遮挡 精装修保养好,凯旋门,新区,5室2厅 ,196.19, 东南 南 , 精装 ,24,2007, 塔楼,0,21,6080000.0,"30,991元/平",VR房源 房本满五年 
中房方正四房，东南向看湖，景观视野优越，格局空间大,中房观湖国际,旧区,4室2厅 ,154.18, 东南 , 精装 ,28,2007, 塔楼,0,22,3030000.0,"19,653元/平",VR看装修 房本满五年 
朗悦君廷 3室1厅 南,朗悦君廷,镜湖大道,3室1厅 ,92.33, 南 , 简装 ,17,2008, 塔楼,0,29,1550000.0,"16,788元/平",VR房源 房本满五年 
金碧御水山庄 5室2厅 南,金碧御水山庄,狮岭镇,5室2厅 ,243.0, 南 , 精装 ,2, 塔楼 , 双拼别墅 ,0,22,3800000.0,"15,638元/平",VR房源 房本满五年 
装修漂亮，南望花园，户型方正，厅大房大 通光采风好,雅宝新城英伦世家,秀全街,4室2厅 ,358.46, 东南 南 , 其他 ,20,2012, 塔楼,0,25,5200000.0,"14,507元/平",VR房源 房本满五年 
正规三房 满五 无抵押 大型花园小区 居住适宜,花都阳光家园,旧区,3室2厅 ,96.8, 南 , 精装 ,7,2003, 塔楼,0,25,1480000.0,"15,290元/平",VR房源 房本满五年 
锦鹏苑 3室2厅 南 北,锦鹏苑,旧区,3室2厅 ,120.49, 南 北 , 简装 ,7,2006, 塔楼,0,17,1550000.0,"12,865元/平",VR看装修 房本满五年 
区府永愉花园 楼层好 视野宽阔 采光充足 配套设施齐全,永愉花园,新区,3室1厅 ,111.47, 北 , 精装 ,13,2007, 塔楼,0,16,2250000.0,"20,185元/平",近地铁 VR看装修 房本满五年 
新都城市花园 4室2厅 南,新都城市花园,新区,4室2厅 ,138.13, 南 , 精装 ,12,2007, 塔楼,1,30,3340000.0,"24,181元/平",近地铁 VR看装修 房本满两年 
房屋户型方正，视野开阔，交通便利。,广州融创文旅城B1区,花城街,4室2厅 ,121.82, 东南 , 精装 ,33,2018, 塔楼,1,20,2700000.0,"22,164元/平",VR看装修 房本满两年 
此房是元邦山青水秀温馨四房，采光好，精装修  。,元邦山清水秀,狮岭镇,4室2厅 ,137.39, 南 , 其他 ,10,2011, 塔楼,0,23,1150000.0,"8,371元/平",VR看装修 房本满两年 
该户型南向设计，可以看到小区的河景,金融街花溪小镇,花东镇,3室2厅 ,114.71, 南 , 其他 ,24,2019, 塔楼,0,23,1700000.0,"14,820元/平",VR看装修 房本满两年 
南向望花园 格局方正 成熟配套,雅宝新城亚瑟公馆,秀全街,2室2厅 ,94.28, 南 , 精装 ,19,2009, 塔楼,0,26,1400000.0,"14,850元/平",VR房源 房本满五年 随时看房 
