实用大复式！过5年，唯一物业，税费低,锦绣生态园,钟村,4室2厅 ,202.67, 东北 , 精装 ,17,2007, 塔楼,1,18,5000000.0,"24,671元/平",VR房源 房本满五年 随时看房 
锦绣趣园 南北对流 大三房 采光通风好 产权清晰,锦绣生态园趣园,钟村,3室1厅 ,113.69, 南 , 其他 ,6,2005, 塔楼,2, 2个月以前发布,2250000.0,"19,791元/平",VR看装修 房本满五年 随时看房 
雅居乐花园 温馨2居室 保养好 拎包入住,广州雅居乐花园雕刻时光,雅居乐,2室2厅 ,78.75, 西北 东北 , 精装 ,9,2010, 塔楼,35, 7个月以前发布,2800000.0,"35,556元/平",近地铁 VR看装修 房本满五年 随时看房 
满五年！！南向望别墅三房  采光通风好,万科欧泊,万博,3室1厅 ,94.96, 南 , 精装 ,33,2012, 板塔结合,4, 1个月以前发布,4320000.0,"45,408元/平",近地铁 VR房源 房本满五年 随时看房 
阳光大两房，钥匙看房方便，诚心出,冶金技术学校宿舍,大石,2室2厅 ,80.8, 南 , 简装 ,8,1997, 塔楼,1, 4个月以前发布,1640000.0,"20,298元/平",近地铁 VR看装修 房本满五年 随时看房 
满五唯一南向房采光好视野无遮挡,广州奥林匹克花园,洛溪,1室1厅 ,34.06, 南 , 简装 ,21,2002, 塔楼,81, 9个月以前发布,990000.0,"29,067元/平",近地铁 VR房源 房本满五年 随时看房 
3号线大石，富泽居，地铁500米，方正两房，满五年唯一,富丽家园富泽居,大石,2室1厅 ,75.0, 北 , 精装 ,6,2004, 塔楼,18, 一年前发布,2060000.0,"27,467元/平",近地铁 VR看装修 房本满五年 随时看房 
富丽家园 户型朝向好 采光通风好 总jia低 可公积金,富丽家园东发楼,大石,2室1厅 ,66.6, 东南 , 精装 ,8,1998, 塔楼,2, 1个月以前发布,1230000.0,"18,469元/平",近地铁 VR看装修 房本满五年 随时看房 
华侨城南向两房，中间楼层，通风采光好，满五年唯一,华侨城(番禺),市桥,2室2厅 ,68.42, 南 , 精装 ,8,1994, 塔楼,40, 6个月以前发布,1168000.0,"17,072元/平",VR看装修 房本满五年 随时看房 
江南大厦 市桥地铁口500米 东南向 采光好,江南大厦,市桥,2室1厅 ,72.6, 南 , 简装 ,19,1996, 塔楼,25, 3个月以前发布,1630000.0,"22,452元/平",近地铁 VR看装修 房本满五年 随时看房 
精装修，两房两卫双阳台，户型方正，采光无遮挡，满五,東海花園,厦滘,2室2厅 ,77.1, 南 , 精装 ,19,2003, 塔楼,337, 1个月以前发布,3380000.0,"43,840元/平",近地铁 VR看装修 房本满五年 随时看房 
祈福新村C区两房 南向 户型好 采光好,祈福新村C区,祈福新村,2室2厅 ,66.0, 南 , 简装 ,3,1995, 板楼,23, 4个月以前发布,1320000.0,"20,000元/平",VR看装修 房本满五年 随时看房 
祈福天湖居 实用两房 上学方便 景观好 满五年,祈福新村天湖居,祈福新村,2室1厅 ,77.58, 东 , 简装 ,19,2003, 塔楼,16, 11个月以前发布,1830000.0,"23,589元/平",VR房源 房本满五年 随时看房 
业主承担增值税，户型方正，通风采光好，视野好。,星尚花园,市桥东,3室2厅 ,97.61, 南 , 简装 ,23,2017, 塔楼,39, 3个月以前发布,2790000.0,"28,584元/平",VR看装修 房本满两年 随时看房 
锦绣银湾 单证南向三房 新上房源 过五年 诚意,锦绣银湾,大石,3室2厅 ,115.99, 南 , 简装 ,28,2007, 板塔结合,0, 1个月以前发布,4330000.0,"37,331元/平",VR房源 房本满五年 随时看房 
锦绣香江南向的三房  视眼开阔   温馨舒适  看房方便,锦绣香江花园紫荆园,汉溪长隆,3室2厅 ,90.97, 东南 , 简装 ,8,2004, 塔楼,10, 2个月以前发布,3180000.0,"34,850元/平",近地铁 VR看装修 房本满五年 随时看房 
房子满五年唯一，东南向望花园，业主诚心放卖,新月明珠花园,大石,3室1厅 ,111.34, 东南 , 精装 ,23,2007, 塔楼,18, 6个月以前发布,4150000.0,"37,274元/平",近地铁 VR看装修 房本满五年 随时看房 
看游泳池园林靓景  证过5年唯一  中层 采光通风好,锦绣香江花园紫荆园,汉溪长隆,3室1厅 ,108.65, 西 , 简装 ,10,2004, 塔楼,27, 9个月以前发布,3790000.0,"34,850元/平",近地铁 VR房源 房本满五年 随时看房 
青怡居 保养靓二房  过五年 税费少,祈福新村青怡居,祈福新村,2室2厅 ,68.9, 南 , 精装 ,5,2001, 板楼,0, 1个月以前发布,1680000.0,"24,384元/平",VR房源 房本满五年 随时看房 
布查特官邸三期 南北对流 大三房 过五年唯一,锦绣香江花园第8期,汉溪长隆,3室2厅 ,139.34, 南 , 精装 ,17,2004, 板楼,118, 6个月以前发布,4860000.0,"34,850元/平",VR看装修 房本满五年 随时看房 
海滨花园 少有三期两房 厅出阳台 户型方正,海滨花园,洛溪,2室1厅 ,58.3, 东北 , 简装 ,7,1998, 塔楼,1, 1个月以前发布,1690000.0,"28,988元/平",VR房源 房本满五年 随时看房 
锦绣香江毛坯联排别墅  看房方便  南北对流,锦绣香江花园紫藤园,汉溪长隆,4室2厅 ,196.99, 南 , 毛坯 ,1,2004, 板塔结合,42, 5个月以前发布,6870000.0,"34,850元/平",VR房源 房本满两年 随时看房 
万科欧泊  南向三房  竖厅户型方正 过五年,万科欧泊,万博,3室2厅 ,96.21, 南 , 精装 ,35,2012, 板塔结合,61, 2个月以前发布,4370000.0,"45,408元/平",近地铁 VR看装修 房本满五年 随时看房 
满五 地铁成熟小区 南向双阳台 省级 业主腾名急出可谈,北丽园,市桥,2室2厅 ,71.53, 南 , 简装 ,6,1990, 板楼,57, 6个月以前发布,1280000.0,"17,895元/平",近地铁 VR房源 房本满五年 随时看房 
店长推荐 优质户型 包增值税 视野开阔 俯瞰亚运城,亚运城天成2区,亚运城,3室1厅 ,96.47, 南 , 精装 ,46,2019, 塔楼,33, 8个月以前发布,2890000.0,"29,958元/平",VR看装修 房本满两年 随时看房 
亚运城天成 精装三房 南北对流 看房方便,亚运城天成2区,亚运城,3室1厅 ,96.18, 南 , 精装 ,50,2019, 塔楼,44, 4个月以前发布,2900000.0,"30,152元/平",VR看装修 房本满两年 随时看房 
江南新村  全新精装修  南向三房 准电梯 采光通风,江南新村,市桥北,3室2厅 ,83.5, 东南 , 精装 ,8,1998, 塔楼,232, 3个月以前发布,1700000.0,"20,360元/平",VR房源 房本满两年 随时看房 
广州产权碧桂园芷兰湾三房两卫南北对流装修新拎包入住,顺德碧桂园芷兰湾,顺德碧桂园,3室2厅 ,96.95, 南 , 精装 ,18,2009, 塔楼,1, 6个月以前发布,1500000.0,"15,472元/平",VR看装修 房本满五年 随时看房 
祈福名都 南向三房 保养好 满五年唯一。,祈福新村祈福名都,祈福新村,3室2厅 ,90.26, 南 , 精装 ,33,2014, 塔楼,3, 1个月以前发布,3380000.0,"37,448元/平",VR看装修 房本满五年 随时看房 
满五无抵押，低楼层，采光通风好。,珠殿苑,市桥,3室1厅 ,78.7, 东南 , 精装 ,7,1996, 塔楼,22, 5个月以前发布,1480000.0,"18,806元/平",VR房源 房本满五年 随时看房 
过五唯一 东南阳光温暖 稀 安静 无遮挡,广州雅居乐花园剑桥郡,雅居乐,3室2厅 ,128.63, 东南 , 精装 ,32,2010, 塔楼,30, 5个月以前发布,5650000.0,"43,925元/平",近地铁 VR房源 房本满五年 随时看房 
"装修保养很好,户型方正,光线好",亚运城天成,亚运城,3室2厅 ,102.04, 南 北 , 精装 ,55,2019, 塔楼,7, 1个月以前发布,3050000.0,"29,891元/平",VR看装修 房本满两年 随时看房 
此房过五唯一，南北格局通透，户型方正实用,金业花园,桥南,3室2厅 ,84.3, 南 , 简装 ,6,1997, 板楼,48, 一年前发布,2150000.0,"25,505元/平",VR看装修 房本满五年 随时看房 
证过5年 精装主套四房 保养好南向高层,越秀可逸阳光,桥南,4室2厅 ,154.55, 南 , 精装 ,13,2013, 塔楼,48, 7个月以前发布,4500000.0,"29,117元/平",VR看装修 房本满五年 随时看房 
星河湾 高品质小区 番禺C B D高层南北对流 采光好,广州星河湾赏心园,星河湾,3室2厅 ,133.91, 南 北 , 简装 ,9,2004, 塔楼,23, 5个月以前发布,4530000.0,"33,759元/平",VR看装修 房本满五年 随时看房 
好房满五唯一 东南向高层带大露台 近地铁7号线及18号,广州雅居乐花园天域锦园,雅居乐,4室2厅 ,191.0, 东南 , 精装 ,20,2010, 塔楼,36, 2个月以前发布,7050000.0,"36,884元/平",近地铁 VR房源 房本满五年 随时看房 
此房满五不唯一，楼层好，视野宽阔，可望莲花山观音。,莲花湾畔花园,石楼,3室2厅 ,93.48, 南 北 , 简装 ,17,2009, 板楼,16, 2个月以前发布,1660000.0,"17,758元/平",VR看装修 房本满五年 随时看房 
丽江花园四房两卫东南朝向，通风采光安静舒适满五唯一,丽江花园丽彦楼,南浦,4室1厅 ,114.0, 东南 , 简装 ,9,1995, 塔楼,70, 11个月以前发布,2450000.0,"21,492元/平",VR看装修 房本满五年 随时看房 
精致三房，高档装修，江景美，楼层好视野开阔。,亚运城天誉,亚运城,3室2厅 ,103.06, 东 , 精装 ,55,2013, 塔楼,54, 3个月以前发布,2700000.0,"26,199元/平",VR看装修 房本满两年 随时看房 
店长推荐 迎风阁4房望湖，带精装过五年唯一还多少都卖,祈福新村迎风阁,祈福新村,4室2厅 ,143.3, 西南 , 精装 ,30,2005, 板塔结合,3, 1个月以前发布,3380000.0,"23,587元/平",VR房源 房本满五年 随时看房 
海伦堡御院，电梯中层看湖景，产权清晰业主诚心卖,番禺海伦堡御院,桥南,3室2厅 ,104.87, 北 , 简装 ,11,2005, 塔楼,38, 7个月以前发布,3000000.0,"28,607元/平",VR看装修 房本满五年 随时看房 
温馨舒适3房、户型方正、交通便利,丽江花园华林居,南浦,3室1厅 ,94.9, 东北 , 精装 ,5,1998, 塔楼,50, 一年前发布,2620000.0,"27,609元/平",VR看装修 房本满五年 随时看房 
雅逸庭 电梯高层 精装3房带主套  位置安静 视野好,广州雅居乐花园雅逸庭,雅居乐,3室2厅 ,124.2, 东北 , 精装 ,19,2010, 塔楼,50, 一年前发布,4590000.0,"36,884元/平",VR看装修 房本满五年 随时看房 
天誉东向大两房，视野开阔，采光视野佳，装修保养好,亚运城天誉,亚运城,2室1厅 ,99.86, 东北 , 简装 ,55,2013, 塔楼,2, 2个月以前发布,2280000.0,"22,832元/平",VR看装修 房本满五年 随时看房 
海龙湾三房 东南向 过五年唯一 东南光线好 急,海龙湾,南浦,3室1厅 ,109.8, 东 东南 , 简装 ,11,2011, 塔楼,11, 1个月以前发布,2750000.0,"25,046元/平",VR房源 房本满五年 随时看房 
采光通风好，装修保养好，南向，近门口出行方便,南国奥林匹克花园,汉溪长隆,3室2厅 ,102.25, 南 , 精装 ,6,2006, 板楼,14, 2个月以前发布,3250000.0,"31,785元/平",近地铁 VR看装修 房本满五年 随时看房 
信业悦都荟 轻轨上盖 户型方正 采光好,信业悦都荟,市桥北,2室1厅 ,59.29, 南 北 , 精装 ,22,2016, 塔楼,5, 4个月以前发布,860000.0,"14,505元/平",房本满五年 随时看房 
全新未入住，满五省税费，南向朝向好,万科欧泊,万博,3室2厅 ,95.0, 南 , 精装 ,34,2012, 板塔结合,0,21,4320000.0,"45,408元/平",近地铁 VR看装修 房本满五年 
此房电梯中高层，视野开阔，通风采光良好,番禺海伦堡花样年华一期,桥南,3室2厅 ,91.98, 东北 , 精装 ,19,2005, 塔楼,36, 一年前发布,2440000.0,"26,528元/平",VR看装修 房本满两年 随时看房 
洛溪长大 实用两房 中间楼层 满五唯一 采光足通风好,洛溪长大公司,洛溪,2室1厅 ,65.7, 南 北 , 简装 ,7,1998, 塔楼,11, 9个月以前发布,1480000.0,"22,527元/平",VR看装修 房本满五年 随时看房 
三和大厦证满5年唯一，方正两房电梯小区近地铁,富丽家园三和大厦,大石,2室2厅 ,91.15, 北 , 精装 ,7,2008, 塔楼,82, 一年前发布,2260000.0,"24,795元/平",近地铁 VR看装修 房本满五年 随时看房 
信业悦都汇 复式2房 装修好 可看房,信业悦都荟,市桥北,2室2厅 ,49.65, 南 , 精装 ,22,2017, 塔楼,2, 2个月以前发布,750000.0,"15,106元/平",房本满两年 随时看房 
锦绣生态园 两房自带60平方的露台 采光好,锦绣生态园,钟村,2室2厅 ,70.7, 西北 , 精装 ,6,2003, 塔楼,77, 一年前发布,1700000.0,"24,046元/平",VR房源 房本满五年 随时看房 
水云居三房 满五 户型方正 视野开阔 光线充足,锦绣生态园,钟村,3室2厅 ,108.0, 东北 , 简装 ,17,2007, 塔楼,11, 7个月以前发布,2680000.0,"24,815元/平",VR房源 房本满五年 随时看房 
此房中楼层户型好，西丽     学   校旁，通风采光好。,华发明苑,市桥,2室2厅 ,74.2, 北 , 简装 ,7,2000, 塔楼,58, 一年前发布,1450000.0,"19,542元/平",VR看装修 房本满五年 随时看房 
汉溪长隆商圈精装两房诚意放卖欢迎咨询,自在城市花园一二期,汉溪长隆,2室2厅 ,77.25, 北 , 精装 ,11,2004, 塔楼,1, 1个月以前发布,2300000.0,"29,768元/平",VR房源 房本满五年 随时看房 
精装修，两房两卫双阳台，户型方正，采光无遮挡，满五,東海花園,厦滘,2室2厅 ,77.1, 南 , 精装 ,19,2003, 塔楼,337, 1个月以前发布,3380000.0,"43,840元/平",近地铁 VR看装修 房本满五年 随时看房 
祈福天湖居 实用两房 上学方便 景观好 满五年,祈福新村天湖居,祈福新村,2室1厅 ,77.58, 东 , 简装 ,19,2003, 塔楼,16, 11个月以前发布,1830000.0,"23,589元/平",VR房源 房本满五年 随时看房 
雅居乐剑桥郡，人车分流，地铁口物业，南向好位置,广州雅居乐花园剑桥郡,雅居乐,3室2厅 ,100.56, 南 , 精装 ,32,2010, 塔楼,7, 3个月以前发布,4700000.0,"46,739元/平",近地铁 VR房源 房本满五年 随时看房 
祈福新村C区两房 南向 户型好 采光好,祈福新村C区,祈福新村,2室2厅 ,66.0, 南 , 简装 ,3,1995, 板楼,23, 4个月以前发布,1320000.0,"20,000元/平",VR看装修 房本满五年 随时看房 
笋！视野开阔采光优 安静私密性好无干扰 新靓拎包即住,祈福新村青怡居,祈福新村,2室1厅 ,68.85, 北 , 精装 ,5,2001, 板楼,9, 1个月以前发布,1530000.0,"22,223元/平",VR房源 房本满五年 随时看房 
单证高层四房 望会所 视野开阔 过五 有钥匙看房方便,广州雅居乐花园十年小雅,雅居乐,4室2厅 ,148.66, 西南 西北 , 精装 ,31,2010, 塔楼,39, 7个月以前发布,5490000.0,"36,884元/平",近地铁 VR房源 房本满五年 随时看房 
西城花园，精装修温馨一居，低楼层，小区中间位置,西城花园,市桥,1室1厅 ,46.8, 西 , 精装 ,8,1998, 塔楼,7, 1个月以前发布,898000.0,"19,189元/平",VR看装修 房本满两年 随时看房 
证过5年 中间位置 可做公积金 交通方便 生活便利,祈福新村青怡居,祈福新村,4室2厅 ,108.9, 北 , 精装 ,5,2001, 板楼,29, 6个月以前发布,2800000.0,"25,712元/平",VR房源 房本满五年 随时看房 
祈福翠怡居一楼装修新可拎包入住22年9月份满五年唯一,祈福新村翠怡居,祈福新村,3室2厅 ,101.55, 北 , 简装 ,5,2000, 板楼,56, 7个月以前发布,2420000.0,"23,831元/平",VR房源 房本满五年 随时看房 
南北对流的3房，通风采光，户型方正,恒盛花园,沙湾,3室1厅 ,78.4, 南 , 简装 ,7,1999, 塔楼,15, 3个月以前发布,1060000.0,"13,521元/平",VR看装修 房本满两年 随时看房 
东华花园，南向单位，电梯三房，户型实用，优质楼层！,东华花园,市桥东,3室2厅 ,82.31, 南 , 精装 ,7,2004, 板楼,13, 2个月以前发布,2580000.0,"31,345元/平",VR房源 房本满五年 随时看房 
视野无遮挡：电梯中层三房两卫户型靓仔仅一套高分必看,东方白云花园,市桥北,3室2厅 ,92.4, 北 , 精装 ,11,2002, 塔楼,7, 1个月以前发布,2230000.0,"24,135元/平",VR看装修 房本满五年 随时看房 
海滨花园 少有三期两房 厅出阳台 户型方正,海滨花园,洛溪,2室1厅 ,58.3, 东北 , 简装 ,7,1998, 塔楼,1, 1个月以前发布,1690000.0,"28,988元/平",VR房源 房本满五年 随时看房 
房子满五年唯一，东南向望花园，业主诚心放卖,新月明珠花园,大石,3室1厅 ,111.34, 东南 , 精装 ,23,2007, 塔楼,18, 6个月以前发布,4150000.0,"37,274元/平",近地铁 VR看装修 房本满五年 随时看房 
锦绣香江南向的三房  视眼开阔   温馨舒适  看房方便,锦绣香江花园紫荆园,汉溪长隆,3室2厅 ,90.97, 东南 , 简装 ,8,2004, 塔楼,10, 2个月以前发布,3180000.0,"34,850元/平",近地铁 VR看装修 房本满五年 随时看房 
看游泳池园林靓景  证过5年唯一  中层 采光通风好,锦绣香江花园紫荆园,汉溪长隆,3室1厅 ,108.65, 西 , 简装 ,10,2004, 塔楼,27, 9个月以前发布,3790000.0,"34,850元/平",近地铁 VR房源 房本满五年 随时看房 
店长推荐：三房两卫有装修，对着山景看大夫山,祈福新村倚云居,祈福新村,3室2厅 ,118.86, 西南 , 精装 ,31,2004, 塔楼,22, 5个月以前发布,2980000.0,"25,072元/平",VR房源 房本满五年 随时看房 
广州碧桂园二期大三房 满五唯一 看房方便 保养新,广州碧桂园翠苑,南浦,3室1厅 ,105.9, 西南 , 简装 ,6,2000, 塔楼,2,18,2780000.0,"26,252元/平",近地铁 VR房源 房本满五年 
经理推荐 5栋中间层 近长隆地铁站 复式两层  税费低,奥园城市天地,汉溪长隆,1室1厅 ,46.05, 西北 , 精装 ,21,2015, 塔楼,1,29,700000.0,"15,201元/平",房本满五年 
荷景花园六区 1室1厅 南,荷景花园六区,沙湾,1室1厅 ,50.1, 南 , 其他 ,7,1995, 塔楼,0,11,820000.0,"16,368元/平",VR看装修 房本满五年 
海怡花园 1室1厅 东南,海怡花园,厦滘,1室1厅 ,58.0, 东南 , 精装 ,15,2000, 塔楼,0,11,1380000.0,"23,662元/平",VR看装修 房本满五年 
户型方正实用  南向望大夫山采光好 过五年唯一,祈福新村天湖居,祈福新村,3室2厅 ,101.75, 南 , 精装 ,19,2003, 塔楼,23, 8个月以前发布,2930000.0,"28,797元/平",VR房源 房本满五年 随时看房 
此房证过5年唯一，业主自住保养好！楼层舒适视野开阔,祈福新村青怡居,祈福新村,2室2厅 ,58.5, 北 , 精装 ,5,2001, 板楼,50, 一年前发布,1420000.0,"24,274元/平",VR房源 房本满五年 随时看房 
满五年唯一 仲元配套 吉祥楼地铁上 盖 刚需上车,吉祥楼,洛溪,2室2厅 ,64.5, 西北 , 简装 ,8,1998, 塔楼,89, 一年前发布,1390000.0,"21,551元/平",近地铁 VR看装修 房本满五年 随时看房 
户型方正，南北对流采光好，过五年唯一税费少,祈福新村青怡居,祈福新村,2室2厅 ,58.5, 北 , 简装 ,5,2001, 板楼,15, 7个月以前发布,1450000.0,"24,787元/平",VR房源 房本满五年 随时看房 
倚湖 刚需两房 格局方正实用 视野宽阔 出入便利,祈福新村倚湖湾,祈福新村,2室2厅 ,79.0, 南 北 , 简装 ,33,2006, 板塔结合,7, 4个月以前发布,2180000.0,"27,595元/平",VR房源 房本满五年 随时看房 
番禺客运站两房，过五年有天台，视野好交通方便。,石碁城市花园,番禺客运站,2室1厅 ,66.2, 北 , 简装 ,5,2001, 塔楼,5, 2个月以前发布,1320000.0,"19,940元/平",VR房源 房本满五年 随时看房 
平康苑，南向，大二房，无遮挡，,平康苑,番禺广场,2室1厅 ,69.33, 南 , 简装 ,9,1998, 塔楼,3, 2个月以前发布,1500000.0,"21,636元/平",近地铁 VR看装修 房本满两年 随时看房 
城市花园三房有阳台，小区中间位置，很安静，,石碁城市花园,番禺客运站,3室2厅 ,93.8, 南 , 简装 ,5,2001, 板楼,12, 4个月以前发布,2000000.0,"21,322元/平",VR看装修 房本满五年 随时看房 
店长首推 南向精装两房 过五唯一 诚心出,康裕园,市桥,2室1厅 ,79.8, 南 , 精装 ,7,1993, 塔楼,323, 一年前发布,1550000.0,"19,424元/平",VR看装修 房本满五年 随时看房 
温馨里 电梯景观  全明户型  南向采光好,温馨里,市桥北,2室2厅 ,69.53, 南 , 简装 ,11,2013, 塔楼,5, 4个月以前发布,2150000.0,"30,922元/平",VR看装修 房本满五年 随时看房 
高层 电梯 温馨两房 视野好 采光足,丽江花园丽波楼,南浦,2室2厅 ,66.0, 西北 , 简装 ,9,1993, 塔楼,1, 3个月以前发布,1580000.0,"23,940元/平",VR看装修 房本满五年 随时看房 
此房满五，装修不错，带113方花园.位置好,广州碧桂园雅苑,南浦,2室2厅 ,65.3, 西北 , 精装 ,6,1999, 塔楼,15, 7个月以前发布,3750000.0,"57,428元/平",近地铁 VR房源 房本满五年 随时看房 
装修保养好 高层两房  西南朝向 视野开阔,丽江花园星海洲,南浦,2室1厅 ,65.0, 西南 , 简装 ,25,1999, 塔楼,6, 1个月以前发布,1630000.0,"25,077元/平",VR看装修 房本满五年 随时看房 
22号线上盖大2房  过五唯一单边位 采光充足 对流户型,祈福新村A区,祈福新村,2室2厅 ,68.9, 北 , 精装 ,3,1994, 平房,54, 6个月以前发布,1380000.0,"20,030元/平",VR看装修 房本满五年 随时看房 
人工湖旁边 倚湖湾 南向 二房,祈福新村倚湖湾,祈福新村,2室2厅 ,74.0, 南 , 精装 ,33,2006, 塔楼,11, 8个月以前发布,2030000.0,"27,433元/平",VR房源 房本满五年 随时看房 
满五免增值税，无遮挡，望祈福湖，景观靓丽，采光好,祈福新村倚湖湾,祈福新村,2室1厅 ,79.87, 北 , 精装 ,33,2006, 平房,11, 2个月以前发布,1990000.0,"24,916元/平",VR房源 房本满五年 随时看房 
品质好房 环境采光好 东南向 方正实用 证过五年唯一,莲港城,莲花山,2室2厅 ,89.38, 东 东南 南 , 简装 ,13,1998, 塔楼,61, 5个月以前发布,850000.0,"9,510元/平",VR看装修 房本满五年 随时看房 
一楼带大花园，大夫山脚下，产权清晰,祈福新村山泉居,祈福新村,2室2厅 ,60.05, 北 , 简装 ,6,2004, 板楼,59, 10个月以前发布,2100000.0,"34,971元/平",VR房源 房本满五年 随时看房 
满五唯一 锦绣趣园三房 南北对流 保养新净 方正实用,锦绣生态园趣园,钟村,3室2厅 ,72.94, 南 , 简装 ,6,2005, 塔楼,17, 一年前发布,1620000.0,"22,211元/平",VR看装修 房本满五年 随时看房 
三和大厦证满5年唯一，方正两房电梯小区近地铁,富丽家园三和大厦,大石,2室2厅 ,91.15, 北 , 精装 ,7,2008, 塔楼,82, 一年前发布,2260000.0,"24,795元/平",近地铁 VR看装修 房本满五年 随时看房 
汉溪长隆商圈精装两房诚意放卖欢迎咨询,自在城市花园一二期,汉溪长隆,2室2厅 ,77.25, 北 , 精装 ,11,2004, 塔楼,1, 1个月以前发布,2300000.0,"29,768元/平",VR房源 房本满五年 随时看房 
东南向中间楼层 过5年唯一 配套齐全 交通方便 采光好,华进明苑,洛溪,2室1厅 ,60.97, 东南 , 简装 ,6,2001, 塔楼,14, 7个月以前发布,1880000.0,"30,835元/平",近地铁 VR房源 房本满五年 随时看房 
雅居乐花园南向望花园两房 满五唯一 小洋房中高楼层,广州雅居乐花园一尺山居,雅居乐,2室2厅 ,81.47, 南 , 精装 ,11,2010, 板塔结合,1, 1个月以前发布,2880000.0,"35,351元/平",VR看装修 房本满五年 随时看房 
在家望著孩子上学 近在咫尺 出行便利,祈福新村D区,祈福新村,3室2厅 ,91.2, 南 , 精装 ,4,1995, 板楼,4, 4个月以前发布,2000000.0,"21,930元/平",VR看装修 房本满五年 随时看房 
满五急出，南北对流，钥匙房源，产权清晰,广州星河湾畅心园,星河湾,3室2厅 ,123.7, 南 北 , 简装 ,9,2001, 塔楼,80, 3个月以前发布,4180000.0,"33,759元/平",VR看装修 房本满五年 随时看房 
900米三号线地铁站  精装修  南向采光足,鸿基花园,市桥,3室2厅 ,75.5, 南 , 精装 ,12,1999, 塔楼,358, 5个月以前发布,1460000.0,"19,338元/平",近地铁 VR看装修 房本满五年 随时看房 
祈福地铁口高层南向电梯大三房望祈福湖全景证过五年,祈福新村倚湖湾,祈福新村,3室2厅 ,97.45, 西南 , 精装 ,33,2006, 塔楼,5, 3个月以前发布,2990000.0,"30,683元/平",VR房源 房本满五年 随时看房 
证过五年无按揭 随时方便看房，户型房子实用采光好,祈福新村海晴居,祈福新村,3室1厅 ,77.8, 北 , 简装 ,6,2003, 板楼,15, 2个月以前发布,2030000.0,"26,093元/平",VR房源 房本满五年 随时看房 
大石怡景花园 电梯中层两房 采光好小区环境好交通便利,今日丽舍,大石,2室2厅 ,87.8, 北 , 精装 ,23,2000, 塔楼,33, 2个月以前发布,1950000.0,"22,210元/平",近地铁 VR看装修 房本满五年 随时看房 
急卖 方正全明两房 唯一省税  带仲元 保养好丨地铁口,吉祥北园C区,洛溪,2室1厅 ,60.5, 南 , 其他 ,7,1993, 板塔结合,9, 2个月以前发布,1490000.0,"24,629元/平",近地铁 VR房源 房本满五年 随时看房 
近地铁物业，80方精装两房，业主自住保养好,珠江花园,厦滘,2室2厅 ,79.5, 南 , 精装 ,28,1992, 塔楼,14, 5个月以前发布,2160000.0,"27,170元/平",近地铁 VR看装修 房本满两年 随时看房 
10月满五唯一，精致一房可明火精装，保养好,尚东尚筑,番禺客运站,1室1厅 ,51.62, 南 , 精装 ,17,2008, 塔楼,5, 3个月以前发布,1490000.0,"28,865元/平",VR房源 房本满两年 随时看房 
经理推荐：业主给增值税，保养好，视野佳。,南国奥林匹克花园,汉溪长隆,2室1厅 ,76.87, 西北 , 精装 ,6,2006, 板楼,268, 一年前发布,2370000.0,"30,832元/平",近地铁 VR看装修 房本满两年 随时看房 
天湖居三房1卫前无遮挡全屋无死角360度光线,祈福新村天湖居,祈福新村,3室2厅 ,102.66, 东 , 简装 ,19,2003, 塔楼,6, 3个月以前发布,2940000.0,"28,639元/平",VR房源 房本满五年 随时看房 
东南向 高楼层 别墅景观 安静 视野好 高档家私家电,万科欧泊,万博,3室2厅 ,95.49, 东南 , 精装 ,35,2012, 板塔结合,122, 一年前发布,4340000.0,"45,408元/平",VR看装修 房本满五年 随时看房 
广州产权碧桂园物业，给你一个放心的家,顺德碧桂园东苑,顺德碧桂园,3室2厅 ,96.3, 北 , 简装 ,6,2002, 塔楼,27, 一年前发布,1450000.0,"15,058元/平",VR看装修 房本满五年 随时看房 
万科欧泊高层单位望广州塔证够五唯一住宅有钥匙,万科欧泊,万博,2室1厅 ,80.02, 北 , 精装 ,32,2012, 板塔结合,7, 1个月以前发布,3550000.0,"44,364元/平",近地铁 VR看装修 房本满五年 随时看房 
丽茵一字厅三房，业主换房诚心卖,丽江花园丽茵楼,南浦,3室1厅 ,87.3, 东北 , 简装 ,9,1993, 塔楼,58, 7个月以前发布,1880000.0,"21,535元/平",近地铁 VR房源 房本满五年 随时看房 
丽字楼实用两房 楼层低 采光好 舒适安静 通风保养好,丽江花园丽荃楼,南浦,2室1厅 ,70.5, 西北 , 精装 ,9,1995, 塔楼,31, 10个月以前发布,1540000.0,"21,844元/平",VR看装修 房本满五年 随时看房 
满五唯一 精装修 东南向 电梯两房 近地铁,丽江花园丽茵楼,南浦,2室1厅 ,66.0, 东南 , 精装 ,9,1993, 塔楼,16, 3个月以前发布,1680000.0,"25,455元/平",近地铁 VR看装修 房本满五年 随时看房 
滨江绿园精装修方正两房楼层好满五税少,滨江绿园,大石,2室1厅 ,62.17, 南 , 精装 ,11,2004, 板塔结合,6, 1个月以前发布,2070000.0,"33,296元/平",VR看装修 房本满五年 随时看房 
丽江花园厅出阳台 高层电梯3房 采光通风好 证过5年,丽江花园康城居,南浦,3室2厅 ,105.2, 西南 西北 , 简装 ,9,1999, 塔楼,15, 7个月以前发布,2750000.0,"26,141元/平",VR看装修 房本满五年 随时看房 
