,位置,次数
1186,粤兴苑,7
1187,新景豪苑,3
1188,钻石豪园,1
1189,芷兰苑,1
1190,星缘美居,8
1191,阳光阁,1
1192,嘉豪雅苑,1
1193,雅兰苑,2
1194,万科兰乔圣菲,4
1195,花城苑,6
1196,花都西雅苑,5
1197,雄炜大厦,3
1198,永发大厦(花都),5
1199,玖珑湖悦沐庄,2
1200,雅居乐锦城花语集,5
1201,景园小区,1
1202,馨庭花园,3
1203,雅图奥园,1
1204,花都紫薇花园,1
1205,花都雅怡花园,2
1206,君兰苑,1
1207,桃花源,1
1208,华侨商业城,1
1209,南航碧花园月亮湾,1
1210,绿景苑,1
1211,南华苑,1
1212,花都站前路,1
1213,俊怡御景花园,6
1214,新城市花园,2
1215,金辉花园,2
1216,永发小区,2
1217,芙蓉绿茵豪苑,1
1218,鸿华干部楼小区,1
1219,金花园小区,1
1220,科技楼,2
1221,幸福花苑,1
1222,丽景大厦,3
1223,民盛楼,1
1224,骏辉雅苑,4
1225,豪逸名苑,2
1226,商业大道,4
1227,恒昌福邸,1
1228,华美苑,1
1229,雅居乐·岭会,5
1230,云山大道,2
1231,金联市场,2
1232,宾馆新村,1
1233,银雅华庭,3
1234,怡康花园(花都),2
1235,新华路,5
1236,隆晖苑,2
1237,怡尚雅居,2
1238,全鸿花园,1
1239,鸿雅轩,1
1240,花都紫荆苑,1
1241,花都雅景苑,5
1242,双赢如家公寓,3
1243,尚品雅居花荟,3
1244,远洋芙蓉墅,2
1245,紫光园,6
1246,建设北路114-1号,1
1247,农业大院,2
1248,胡忠大厦,2
1249,溢盈湖畔别墅,2
1250,宝华路(花都),1
1251,工业大道31号,1
1252,狮城新村,2
1253,花都晓翠苑,4
1254,明珠苑,1
1255,置业楼,1
1256,马鞍山一号,1
1257,东城花园,3
1258,宝裕苑,1
1259,雅乐轩,1
1260,华芳花园,2
1261,狮岭宝峰豪庭小区,1
1262,景雅轩,1
1263,云峰花园2期,1
1264,金豪雅苑,1
1265,雅图花园,1
1266,永福大厦,1
1267,嘉都汇,2
1268,都湖国际,2
1269,翡翠小区,1
1270,文化馆小区,2
1271,松园大道,1
1272,粤华小区,3
1273,银雅轩,2
1274,美力锦颐雅居,1
1275,丽景楼,1
1276,松园大道12号之四,1
1277,鸿翠阁,1
1278,大华一路,1
1279,松园里小区,1
1280,广发行小区,1
1281,农新路,1
1282,时代康桥,2
1283,京仕广场,1
1284,鸿基楼,1
1285,益登华庭,1
1286,碧桂园假日半岛映月湾,1
1287,京仕国际公寓,2
1288,雅豪苑,1
1289,桂华楼小区,1
1290,悦涛雅苑,10
1291,怡港花园,44
1292,佳兆业城市广场,85
1293,荔景园(黄埔区),4
1294,万科金色梦想,58
1295,时代天韵,53
1296,乙烯大院,10
1297,万科里享家,26
1298,实地常春藤,133
1299,保利罗兰国际,12
1300,万科幸福誉,66
1301,万科城市花园,27
1302,万科新里程,30
1303,万科城,13
1304,金碧领秀国际,25
1305,中鼎君和名城,11
1306,万科东荟城,108
1307,保利香雪山花园,10
1308,怡园小区,19
1309,合景天峻广场,68
1310,金碧世纪花园,46
1311,宏康花园四期康慧苑,12
1312,祥辉苑,1
1313,科城山庄锦泽园,15
1314,珠江嘉园,94
1315,万科尚城,4
1316,金融街融穗御府,15
1317,丰乐小区91号大院,3
1318,奥园春晓,31
1319,中海誉城北苑,12
1320,丰逸尚居,20
1321,黄埔花园,42
1322,保利学府里,21
1323,宏康花园五期宏康东筑,37
1324,龙光峰景华庭,83
1325,黄埔新村黄埔雅苑,7
1326,港湾路,6
1327,泰景花园东城华庭,11
1328,泰景花园,23
1329,保利林语山庄,21
1330,宏康花园三期建鑫苑,10
1331,东城雅苑,27
1332,宝能文化广场,12
1333,保利越秀岭南林语,45
1334,新福港鼎峰,8
1335,东苑小区,10
1336,中海誉城南苑,44
1337,科城山庄峻森园,14
1338,广州绿地城,51
1339,大沙地东路,3
1340,黄埔万科中心,37
1341,越秀岭南雅筑,3
1342,富域尚品居,3
1343,凯信东方华庭,14
1344,宏康花园宏康和园,12
1345,宏康小筑,3
1346,科城山庄,9
1347,万科金色悦府,20
1348,富力悦禧花园,28
1349,东港花园,9
1350,越秀保利爱特城,46
1351,时代春树里,45
1352,万科山景城,25
1353,奥园香雪公馆,12
1354,金隆园,5
1355,梅园小区长洲路,1
1356,越秀岭南山畔,16
1357,骏鸿花园,4
1358,银丰花园,10
1359,丰乐小区77号大院,2
1360,峰湖御境,21
1361,水韵翔庭,4
1362,榕景园,4
1363,港监宿舍,1
1364,港湾一村,7
1365,大壮国际广场,2
1366,雅居乐富春山居,31
1367,锦林山庄,12
1368,萝岗敏捷广场,26
1369,天伦东时区,6
1370,沁园,2
1371,省电力一局,9
1372,锐丰中心,10
1373,金逸雅居,16
1374,鹤林苑,5
1375,港湾五村,2
1376,冶炼厂宿舍,4
1377,石化生活区,22
1378,机关村,2
1379,飞晟文汇,10
1380,宝夏花园,3
1381,腾飞园中新里,25
1382,天虹花园,7
1383,墩美小区,8
1384,金丽园,1
1385,荔园小区,17
1386,美悦湾,6
1387,萝岗奥园广场,8
1388,佳兆业未来城,3
1389,普晖村,11
1390,蟹山远洋宿舍,1
1391,祥辉广场,6
1392,文冲商贸大厦,4
1393,丰乐小区,2
1394,萝岗明珠广场,1
1395,黄埔新村一期,5
1396,海关大院,13
1397,鱼木小区,4
1398,鸿森大厦,3
1399,明汇轩,6
1400,金港花园（金堂楼/金满楼),6
1401,悦时代花园心悦湾,5
1402,益庭阁,1
1403,珠冶小区,1
1404,东澳广场,10
1405,新世纪花苑,6
1406,龙光香悦山,1
1407,青年路,4
1408,利丰大厦,7
1409,绿苑楼,2
1410,海安小区,4
1411,奥园香雪华府,5
1412,金碧小区,1
1413,省机施大院,1
1414,信达大厦,3
1415,汇丽国际,4
1416,文船生活区东区,8
1417,海校航专宿舍,2
1418,宏康花园六期明悦居,4
1419,宏康花园一期,4
1420,荔香花园,13
1421,康大龙祥汇,1
1422,万科里享水韵,5
1423,宏康花园二期康晖苑,5
1424,华燊大厦,4
1425,梅园小区一区,1
1426,兴普紫园,1
1427,广州绿地中央广场,2
1428,蔚蓝大厦,2
1429,文船生活区西区,8
1430,万科城市之光,1
1431,乐苑小区,2
1432,中泰天境,1
1433,梅园小区二区,1
1434,尚品华庭,6
1435,东城国际大厦,1
1436,新景楼(黄埔区),3
1437,新安苑,1
1438,四海生活区,1
1439,盛景大厦,4
1440,鸿中楼,1
1441,港湾三村,2
1442,君合雅居,1
1443,萝岗金晖苑,5
1444,南康新村,1
1445,文船生活区新东区,2
1446,丰乐小区111号大院,5
1447,怡德苑(黄埔),1
1448,火电厂宿舍,1
1449,骏鸿苑,1
1450,港湾西四街66号大院,1
1451,海员路,1
1452,解放村,2
1453,光复北路,17
1454,红棉苑南区,35
1455,华发荔湾荟,50
1456,富力路,3
1457,恒宝华庭,10
1458,西门口广场,16
1459,富力环市西苑,34
1460,荔怡中心,4
1461,富力新居,17
1462,鸿图苑,64
1463,流花华侨新村,8
1464,逸翠湾,28
1465,龙湾广场,13
1466,荔湾路,14
1467,珠岛花园,136
1468,黄沙大道,8
1469,金花小区,34
1470,桥东小区,38
1471,保利塞纳维拉,74
1472,荔港南湾,103
1473,新丽苑,16
1474,誉领轩,2
1475,新世界凯粤湾,212
1476,恒荔湾畔,52
1477,中山七路,14
1478,泰安楼,4
1479,西场电器城,12
1480,宝华路(荔湾),6
1481,保利公园九里,76
1482,金兰苑,69
1483,五芳苑,12
1484,景晖苑(荔湾区),12
1485,中铁荔湾国际城,46
1486,西关大厦,10
1487,金道花园,42
1488,新世界逸彩庭园,119
1489,福州路,4
1490,城启晴轩,13
1491,路劲隽泷湾,55
1492,南源花园,9
1493,裕兴苑,4
1494,幸福新村,8
1495,隆城大厦,2
1496,芳华阁,14
1497,荔湾广场,18
1498,合兴苑,45
1499,文昌雅居,8
1500,悦江上品苑,19
1501,如意阁,6
1502,龙津西路,7
1503,怡芳苑,32
1504,金宇花园,45
1505,康王北路,6
1506,恒利翠竹苑,31
1507,万科柏悦湾,58
1508,乐怡居,24
1509,花地城广场,20
1510,花语水岸,35
1511,小康人家,20
1512,祥兴新村,10
1513,岭南湾畔,30
1514,丰年华庭,6
1515,万科金域华府,5
1516,业丰花园,13
1517,周门小区周门西街,16
1518,田间苑小区,6
1519,东鹏花园二期,4
1520,流花路39号大院,4
1521,远东御江豪庭,4
1522,富力广场T区,15
1523,宏新华庭,6
1524,长寿西路,2
1525,元邦明月星辉,10
1526,华福大厦,10
1527,文昌花园,8
1528,文昌南路,14
1529,桃源社区,4
1530,名汇商业大厦,8
1531,市政东苑,6
1532,骏业阁,16
1533,荔湖明苑,18
1534,周门小区周门街,12
1535,侨康大厦,5
1536,龙津华府,7
1537,富力广场D区,15
1538,荔新大厦,4
1539,周门小区中兴苑,10
1540,万科金色荔苑,4
1541,元邦明月水岸,25
1542,长乐花苑二期,11
1543,富力广场A区,6
1544,红棉苑北区,13
1545,芳村大道西,40
1546,力诚欣悦湾,12
1547,富力唐宁花园,12
1548,西关海,18
1549,万科金色康苑,9
1550,荔港南湾H区,7
1551,新光城市广场,20
1552,十八甫南路,4
1553,果品公司宿舍,2
1554,耀华社区耀华三约,2
1555,美荔心筑,7
1556,芳华苑,12
1557,站前路(荔湾),8
1558,葛洲坝保利曼城,4
1559,芳泰花园,10
1560,广钢鹤平小区,10
1561,龙锦大厦,6
1562,西湾路,11
1563,逢源路,3
1564,西华苑,8
1565,龙津大厦,6
1566,康乃馨苑,30
1567,和平新村,8
1568,辉洋苑,16
1569,汇鑫阁,12
1570,富邦大厦,6
1571,华贵路,6
1572,南岸路,4
1573,宝盛园,11
1574,耀华社区存善北街,2
1575,荔景华庭,6
1576,周门小区周门南路,4
1577,富凯星堤,4
1578,中信苑,8
1579,华康居,6
1580,西湾苑,10
1581,富力广场B区,16
1582,泰兴苑,4
1583,珠光御景壹號,2
1584,永安居,8
1585,富力君湖华庭,19
1586,金湾明珠,12
1587,汇城花园,8
1588,文苑楼,6
1589,芳雅苑,8
1590,和平南小区,12
1591,盛大蓝庭,10
1592,东鹏花园三期,17
1593,世纪广场,12
1594,东浚荔景苑,30
1595,西湾东路,8
1596,金信大厦,4
1597,流花君庭,4
1598,花地河湾,24
1599,鹅潭湾,4
1600,洞企石路,4
1601,远大芳华都汇,10
1602,邦华星际广场一期,17
1603,福盛花苑,22
1604,万兴苑（荔湾）,25
1605,人民中路,4
1606,芬芳小区,40
1607,广钢观鹤小区,18
1608,芳园居教师新村,21
1609,湖景阁,6
1610,芳村花园,56
1611,蓬莱花园,14
1612,环市西路,6
1613,文安花苑,2
1614,丽安大厦,16
1615,丽和华庭,8
1616,茶滘新村,14
1617,港丰大厦,16
1618,沙涌新村,9
1619,金鹤苑,15
1620,彩虹大厦,4
1621,贵贤上品,4
1622,塞坝路,8
1623,万科海上传奇,16
1624,站前横路,4
1625,粤电花园,4
1626,四季花园,30
1627,嘉茗华庭,6
1628,珠江金茂府,2
1629,怡福花园,12
1630,东安苑,16
1631,环翠园,22
1632,广船鹤园小区,35
1633,富力广场北区,2
1634,龙津花园,2
1635,荔江美筑,13
1636,富力广场S区,10
1637,成诺雅居,2
1638,富力盛悦居,2
1639,怡康苑,8
1640,乌石墩小区,12
1641,伟腾阁,4
1642,龙津东路,16
1643,中山八路,10
1644,下九路,2
1645,耀华社区存善西街,4
1646,郭村小区,14
1647,兴和阁,4
1648,龙泉居,6
1649,天侨阁,4
1650,南京路14号大院,4
1651,长寿东路,2
1652,府前阁,8
1653,光复中路,8
1654,周门小区周门北路,8
1655,沙面,2
1656,金平大厦,4
1657,站西路,4
1658,金达阁,6
1659,翠荷轩,6
1660,新锦龙大厦,4
1661,茶滘路10-30号小区,14
1662,西增路,2
1663,龙湾贰号,8
1664,文昌北路,2
1665,兴东路,8
1666,茂林苑,6
1667,怡花阁,2
1668,润盛花苑,11
1669,兰兴苑,8
1670,隆庆小区,10
1671,龙湾小区,2
1672,万盛苑,7
1673,司法大厦,10
1674,惠城花园,6
1675,金花苑,4
1676,省中医院宿舍,4
1677,荔情居,6
1678,芳建宿舍,10
1679,园林局宿舍,18
1680,流花路,4
1681,中海锦汇华庭（A区）,26
1682,六二三路,2
1683,接龙里小区,8
1684,丛桂路,6
1685,华丽苑,17
1686,香料厂宿舍,12
1687,荔尚国际,6
1688,宝源路,2
1689,中海花湾壹号（C区）,2
1690,广雅居,6
1691,中海锦御华庭（B区）,6
1692,上九路,2
1693,安富花园,6
1694,荷柳苑,4
1695,鹤洞路,2
1696,芳村大道东,2
1697,兴东阁,8
1698,广雅路,2
1699,陈岗路,2
1700,宏天楼,6
1701,钢琴厂宿舍,2
1702,光复大厦,2
1703,谊园小区,4
1704,祥日苑,2
1705,桥兴苑,2
1706,耀华社区安华里,2
1707,金翠苑,4
1708,逢源大厦,6
1709,多宝华厦,6
1710,十八甫路,2
1711,春蕾苑,2
1712,金奴大厦,6
1713,杨巷路,4
1714,桥中花园,2
1715,花蕾路,2
1716,康王阁,4
1717,荔京阁,6
1718,旭日大厦,16
1719,耀华社区耀华西街,2
1720,龙津世家,2
1721,东鹏花园一期,6
1722,宝华豪庭,4
1723,万和苑,15
1724,荔华楼,2
1725,逢源轩,2
1726,何济公大厦,4
1727,加怡大厦,10
1728,大鹏花园,2
1729,桥东大厦,12
1730,知道园小区,2
1731,牡丹阁,6
1732,带河路,2
1733,耀华社区存善正街,2
1734,红楼泳场宿舍,4
1735,广钢鹤翔小区鹤翔里,2
1736,合兴大厦,2
1737,芳景阁,3
1738,丽馨庭,2
1739,美华中学教师宿舍,3
1740,荔湾雅居,2
1741,文辰阁,2
1742,第十甫路,2
1743,穗芳阁,2
1744,丰隆轩,2
1745,心悦阁,4
1746,区府宿舍,3
1747,北大资源博雅1898,2
1748,维雅苑,2
1749,鹤洞路山顶,2
1750,广东省输变电工程公司上村小区,2
1751,蓬莱路,2
1752,皇上皇大厦,4
1753,芳信路中医院宿舍,2
1754,多宝路,2
1755,紫莱苑,7
1756,茶滘路,1
1757,鹤景楼,1
1758,鹤苑小区,1
1759,保利西悦湾,2
1760,恒润阁,2
1761,电业大院,1
1762,明桂苑,1
1763,茶滘公寓,2
1764,双喜大厦,1
1765,荔雅阁,1
1766,金门大厦,2
1767,和乐大厦,1
1768,南沙奥园,36
1769,万科府前一号,38
1770,阳光城丽景湾,49
1771,南沙大都汇,17
1772,南沙玫瑰花园,2
1773,南沙碧桂园,83
1774,广州时代云图,21
1775,叠翠峰,44
1776,碧桂园天玺湾,141
1777,中惠璧珑湾,5
1778,越秀滨海珺城,41
1779,凯德新玥,49
1780,南沙碧桂园豪庭,24
1781,时代长岛,24
1782,碧桂园蜜柚,43
1783,海力花园,43
1784,南沙涉外公馆,7
1785,南沙保利城,13
1786,越秀滨海悦城,17
1787,南沙境界家园,66
1788,南沙裕兴花园,3
1789,大岗翡翠蓝湾北区,28
1790,时代南湾,111
1791,越秀滨海隽城,35
1792,南沙珠江湾,29
1793,晴海岸,13
1794,龙光棕榈水岸北区,27
1795,南沙金茂湾,133
1796,广晟海韵兰庭,40
1797,南沙云山诗意,4
1798,南沙湾东苑,40
1799,越秀滨海御城,13
1800,逸涛雅苑,10
1801,明珠花园(南沙区),14
1802,龙光棕榈水岸南区,28
1803,海璟奥园,24
1804,优山悦海,34
1805,南沙万达广场,43
1806,中大城,11
1807,越秀滨海新城,3
1808,万科南方公元,10
1809,南沙心意华庭,16
1810,双晖轩小区,2
1811,中环华庭,1
1812,南沙万地雅涛阁,9
1813,逸涛半岛,3
1814,南沙城,11
1815,创鸿嘉园,33
1816,丰庭花园,47
1817,保利星海小镇,6
1818,锦江苑二期,1
1819,广州星河丹堤,19
1820,珠光南沙御景,10
1821,南沙滨海花园,7
1822,茗荔雅苑,1
1823,滨海水晶湾,4
1824,星河山海湾,2
1825,皇家花园,7
1826,海棠花园(南沙),5
1827,潭洲博爱商场,1
1828,丽雅明苑大厦,1
1829,南沙翡翠公馆,3
1830,南沙金湾,12
1831,滨海半岛,3
1832,大岗兴业花园,1
1833,悠山时光,14
1834,大岗绿庭雅苑,2
1835,誉名苑,1
1836,美福花园,5
1837,中海联南沙国贸中心,4
1838,富力天海湾,11
1839,阳光城丽景湾熙然府,1
1840,大岗翡翠蓝湾东区,5
1841,广晟圣淘沙,7
1842,阳光城香缇溪岸,4
1843,星河盛世,5
1844,大岗翡翠蓝湾南区,1
1845,广隆村,2
1846,富佳花园,7
1847,越秀国际总部广场,2
1848,紫茗花园,3
1849,珠江源昌花园,2
1850,长江数码花园(南沙),1
1851,新地路8号,1
1852,优山美墅,1
1853,瀚成华府,1
1854,大岗翡翠蓝湾西区,2
1855,南沙·富力唐宁,2
1856,名苑别墅,1
1857,大岗瑞华大厦,1
1858,东濠大厦,2
1859,敏捷君御国际,15
1860,阳光城丽景湾领悦,1
1861,中交汇通中心,11
1862,越秀滨海汇,6
1863,奥园中环广场,3
1864,星河壹号公馆,2
1865,香江国际金融中心,1
1866,中国铁建环球中心,2
1867,锦绣生态园,23
1868,尚上名筑二期,11
1869,华侨城(番禺),37
1870,广州碧桂园雅苑,8
1871,新城市宜家,2
1872,江南新村,17
1873,怡乐园(番禺),9
1874,大北路,3
1875,南国奥林匹克花园,52
1876,祈福新村绿怡居,9
1877,东怡新区东景园,5
1878,祈福新村祈福名都,21
1879,番禺海伦堡,5
1880,石桥新村,6
1881,祈福新村倚湖湾,18
1882,自在城市花园一二期,17
1883,东华花园,14
1884,丹桂园,3
1885,富豪山庄,27
1886,广州奥林匹克花园,28
1887,广地花园,18
1888,亚运城媒体南村,6
1889,金山谷四期,14
1890,東海花園,14
1891,祈福新村A区,14
1892,今日丽舍,11
1893,福景园,3
1894,万科欧泊,36
1895,桥虹花园,3
1896,祈福新村C区,21
1897,锦绣银湾,19
1898,番禺人民医院宿舍,2
1899,钟村商贸城,3
1900,祈福缤纷汇,20
1901,谷围新村,1
1902,丽江花园康城居,11
1903,南苑大厦,2
1904,西城花园,11
1905,海滨花园,12
1906,广州雅居乐花园雅逸庭,13
1907,海龙湾,21
1908,禺华园,1
1909,如意花园,3
1910,祈福新村康怡居,28
1911,广州雅居乐花园剑桥郡,51
1912,祈福新村湖景居,25
1913,康裕北苑,2
1914,东湖洲花园1区,9
1915,昊龙花园南区,7
1916,番禺万达广场,2
1917,富丽家园永富楼,2
1918,祈福新村山泉居,12
1919,丽江花园星海洲,11
1920,华南碧桂园翠山蓝天苑,25
1921,侨丰苑,2
1922,广州碧桂园美苑,8
1923,广州星河湾荟心园,13
1924,康富花园,5
1925,来福苑,4
1926,祈福新村海晴居,16
1927,万科金色城品,2
1928,祈福新村青怡居,28
1929,友谊大厦,1
1930,锦绣香江花园山水园,8
1931,东秀园,3
1932,锦绣香江花园山水华府,19
1933,广州碧桂园乐苑,3
1934,亚运城技术官员村,14
1935,富丽广场,9
1936,东方白云花园,19
1937,金山谷八期,2
1938,喜运楼,1
1939,南浦海滨花园,7
1940,亚运城媒体北村,9
1941,绿庭雅苑,6
1942,庄士映蝶蓝湾,13
1943,江丽苑(番禺区),1
1944,德安新村,1
1945,祈福新村E区,3
1946,田心社区,4
1947,金沙湾花园,9
1948,丽景花园,1
1949,东沙小区,2
1950,氮肥厂宿舍,4
1951,裕丰新村,2
1952,鸣翠苑,6
1953,华苑楼,4
1954,祈福新村倚湖湾二期,1
1955,番安宿舍,1
1956,雅居乐锦官城雍容南台,3
1957,锦绣半岛西区,19
1958,广州雅居乐花园一尺山居,18
1959,康乐园,5
1960,新月明珠花园,10
1961,丽江花园华林居,7
1962,工业路,2
1963,广州雅居乐花园新地沁园,4
1964,华南新城南区,17
1965,保利香逸花园,4
1966,广州星河湾赏心园,6
1967,雅澜苑,4
1968,祈福新村天湖居,12
1969,鸿城花园,5
1970,大东路,2
1971,鸿基花园,3
1972,祈福新村倚云居,10
1973,顺德碧桂园芷兰湾,10
1974,倚莲半岛花园,20
1975,瑞和园,2
1976,广州雅居乐花园雅悦庭,5
1977,丽江花园德荫楼,3
1978,市桥大南路,2
1979,亚运城天成2区,7
1980,尚东尚筑,17
1981,北丽园,12
1982,汇庭雅苑,1
1983,捷进中路,2
1984,番禺奥林匹克花园,8
1985,朗陶居,7
1986,水韵蓝湾南区,3
1987,珑翠花园,5
1988,东兴苑,3
1989,锦绣半岛金月湾,13
1990,锦绣香江花园第8期,4
1991,尚上名筑三期,8
1992,侨联社区新城区,2
1993,锦绣生态园趣园,18
1994,康泰花园(番禺区),1
1995,富丽家园百乐园,3
1996,丽江花园左岸,15
1997,富丽家园福泰园,2
1998,富丽家园永达大厦,1
1999,金山谷二期,4
2000,广州碧桂园华苑,10
2001,桥福园,11
2002,自在城市花园三期诺德名都,11
2003,祈福新村晓峰园,11
2004,富丽家园莲芳园,8
2005,广州雅居乐花园十年小雅,5
2006,番禺海伦堡花样年华三期,3
2007,富丽家园凯跃大厦,1
2008,华荟明苑,5
2009,芳华花园洛湖居,21
2010,亚运城天誉,18
2011,美心东苑,7
2012,华南碧桂园翠云山,10
2013,华南碧桂园漾翠苑,8
2014,尚上名筑一区,7
2015,亚运城天成,15
2016,祈福新村翠怡居,11
2017,富丽家园富海居,1
2018,珠殿苑,8
2019,顺德碧桂园东苑,5
2020,广州雅居乐花园雕刻时光,1
2021,冶金技术学校宿舍,1
2022,富丽家园富泽居,4
2023,富丽家园东发楼,1
2024,江南大厦,1
2025,星尚花园,3
2026,锦绣香江花园紫荆园,8
2027,锦绣香江花园紫藤园,1
2028,金业花园,1
2029,越秀可逸阳光,4
2030,广州雅居乐花园天域锦园,6
2031,莲花湾畔花园,1
2032,丽江花园丽彦楼,5
2033,祈福新村迎风阁,3
2034,番禺海伦堡御院,7
2035,信业悦都荟,3
2036,番禺海伦堡花样年华一期,2
2037,洛溪长大公司,4
2038,富丽家园三和大厦,3
2039,华发明苑,1
2040,恒盛花园,3
2041,广州碧桂园翠苑,3
2042,奥园城市天地,3
2043,荷景花园六区,2
2044,海怡花园,1
2045,吉祥楼,3
2046,石碁城市花园,6
2047,平康苑,3
2048,康裕园,13
2049,温馨里,8
2050,丽江花园丽波楼,4
2051,莲港城,1
2052,华进明苑,1
2053,祈福新村D区,7
2054,广州星河湾畅心园,1
2055,吉祥北园C区,4
2056,珠江花园,14
2057,丽江花园丽茵楼,3
2058,丽江花园丽荃楼,4
2059,滨江绿园,9
2060,丽江花园如英居,6
2061,华南碧桂园岭御苑,6
2062,富丽家园富昌花园,6
2063,东方花园3区,4
2064,华南碧桂园叠翠苑,2
2065,芳华花园洛涛居北区,4
2066,东怡新区东倩园,4
2067,富丽家园福宁园,6
2068,鸿禧华庭,13
2069,广州碧桂园丽苑,9
2070,美心翠拥华庭二期,3
2071,融穗澜湾,4
2072,鸿福花园(番禺),1
2073,荷景花园一区,5
2074,华南碧桂园翡翠苑,3
2075,富丽家园锦华楼,1
2076,侨基花园,5
2077,祈福水城,14
2078,北城雍雅园,1
2079,建桥大厦,3
2080,保利亚奥北苑,12
2081,星晨时代豪庭,1
2082,芳华花园洛涛居南区,9
2083,星汇文宇,2
2084,石中二路113号,1
2085,瑞华苑,3
2086,雅居乐七里海,3
2087,东怡新区东雅园,7
2088,广州星河湾星座,5
2089,番艺花园,8
2090,尚贤坊,1
2091,中环品悦,5
2092,南兴花园(番禺区),2
2093,祈福新村蝶舞轩,12
2094,番禺华景新城,8
2095,映月翠庭,2
2096,如意中心,3
2097,丽江花园德汇楼,6
2098,怡居新村,3
2099,东怡新区东信园,1
2100,亚运城天荟,11
2101,奥园广场,2
2102,奥园养生广场,4
2103,尚东数字居,1
2104,番禺海伦堡花样年华二期,3
2105,富丽家园百丰楼,1
2106,雅居乐城南源著,2
2107,保利大都汇,3
2108,广华苑,2
2109,敏捷华美国际,3
2110,大发大厦,2
2111,雅居乐君域公馆,3
2112,信业尚誉,2
2113,德兴园,2
2114,祈福新村绿怡南路,3
2115,富丽家园朝阳西路,1
2116,悦尚公馆,1
2117,美心翡翠明庭,8
2118,宝翠苑,2
2119,华筑翡翠湾,2
2120,祈福新村月明轩,10
2121,富丽家园丽水湾,4
2122,金城花园,10
2123,番禺奥林匹克花园爱巢,1
2124,吉祥北园B区,4
2125,金山谷,8
2126,富宾星悦国际,1
2127,盛会国际公寓,1
2128,敏捷伊顿公馆,4
2129,丽江花园棕榈滩,4
2130,时代倾城(番禺区),2
2131,奥园国际中心,1
2132,敏捷御峰国际,4
2133,中怡居,3
2134,方圆大学时光,3
2135,广州星河湾逸心园,2
2136,广州星河湾怡心园,1
2137,星海园,3
2138,金沙丽水,4
2139,富庭东园,1
2140,信基城,4
2141,祈福新村翠湖居,9
2142,吉祥北园D区,1
2143,华南碧桂园景翠苑,1
2144,柏丽星寓,1
2145,祺康园,3
2146,金海岸花园聚湖,11
2147,富丽家园富丽楼,3
2148,石碁绿庭雅苑,1
2149,富庭华园,3
2150,东方花园又一居,2
2151,富丽家园桔芳园,4
2152,梅山大厦,2
2153,广州星河湾朗心园,1
2154,广州雅居乐花园花巷,3
2155,鑫润花园,3
2156,番贸小区,1
2157,锦绣半岛东区,13
2158,金海岸花园金石碧苑,5
2159,丽江花园萃锦苑,2
2160,广州雅居乐花园上善若水,6
2161,丽江花园玉树别院,1
2162,顺景苑(番禺区),1
2163,西兴苑,4
2164,珊瑚湾畔,8
2165,东圆新村,4
2166,长江数码花园(番禺),2
2167,时代外滩,5
2168,华南新城北区,5
2169,雄峰城,1
2170,太子花园,1
2171,富华花园,4
2172,侨宫苑,4
2173,鑫隆世家,6
2174,富都华苑,1
2175,华葆明苑,3
2176,环城西路(市桥),1
2177,广州雅居乐花园时光九篇,8
2178,富丽家园香江商业大厦,1
2179,桃花路,1
2180,东湖洲花园2区,12
2181,石楼碧桂园,2
2182,丽江花园九如通津,3
2183,水韵蓝湾北区,4
2184,裕景花园西区,2
2185,金山谷尚层,4
2186,美心山庄,1
2187,华南碧桂园翠宏台,7
2188,广州碧桂园康苑,2
2189,北城白云花园,3
2190,东发大厦,2
2191,裕福花园,3
2192,祈福新村湖畔豪庭,1
2193,彩晴轩,3
2194,百事佳花园,1
2195,广州星河湾盛荟园,1
2196,奥园莲峰圣境,11
2197,旭晖园,1
2198,金沙湾花园金沙御苑,2
2199,星河湾半岛三号园,1
2200,吉祥道,2
2201,中海蓝湾,2
2202,锦绣香江花园紫荆雅园,1
2203,南浦长大公司,1
2204,吉祥北园,3
2205,富丽家园中行宿舍,1
2206,繁华路,2
2207,华新智汇+,1
2208,信联大厦,2
2209,星河湾半岛一号园,3
2210,绿茵庭园,4
2211,美心花园,2
2212,海印又一城海印星玥,5
2213,荔园地产中心,1
2214,敏捷时空壹号,2
2215,柏丽甜果公馆,1
2216,敏捷上城商务中心,1
2217,富丽家园华贵大厦,1
2218,美心翠拥华庭一期,1
2219,东湖洲花园3区,2
2220,华怡居,1
2221,敏捷上品公馆,1
2222,锦绣华庭,2
2223,亚运城运动员村一区,2
2224,荔新苑,3
2225,祈福新村都市活力花园,1
2226,康泰苑,3
2227,金沙诚筑,1
2228,江南花苑,5
2229,富丽家园金山大厦,1
2230,璇玑金村,1
2231,德丰园,2
2232,海天花园,1
2233,新世纪花园,1
2234,富丽家园乳芳园,6
2235,西秀园,3
2236,兴业花园,4
2237,恒盛苑,2
2238,东逸华庭,1
2239,华南碧桂园紫翠苑,1
2240,丽江花园丽影楼,1
2241,喜盈雅境,4
2242,华南碧桂园锦翠苑,4
2243,禺雅园,6
2244,金碧园,1
2245,广州雅居乐花园雅翠庭,3
2246,康裕大厦,3
2247,星誉花园,1
2248,华海大厦,3
2249,广州星河湾悦心园,7
2250,华茵明苑,3
2251,东晟明珠花园,3
2252,广州星河湾星河六号园,2
2253,江山帝景,3
